Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:29:05;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:29:05;2018-08-17 10:52:11;2018-08-17 10:58:19;;1;BatchSubProcess;PARALLEL;
1;B;2018-08-17 10:52:11;2018-08-17 10:52:11;2018-08-17 10:54:15;WorkerB_#0;1;BatchSubProcess;PARALLEL;
1;C;2018-08-17 10:54:15;2018-08-17 10:54:15;2018-08-17 10:57:19;WorkerC_#0;1;BatchSubProcess;PARALLEL;
1;D;2018-08-17 10:54:15;2018-08-17 10:54:15;2018-08-17 10:58:19;WorkerD_#0;1;BatchSubProcess;PARALLEL;
1;E;2018-08-17 10:58:19;2018-08-17 10:58:19;2018-08-17 10:59:23;WorkerE_#0;;;;
1;F;2018-08-17 10:59:23;2018-08-17 10:59:23;2018-08-17 11:00:27;WorkerF_#0;;;;
1;G;2018-08-17 11:00:27;2018-08-17 11:00:27;2018-08-17 11:01:31;WorkerG_#0;;;;
1;H;2018-08-17 11:01:31;2018-08-17 11:01:31;2018-08-17 11:02:35;WorkerH_#0;;;;
2;A;2018-08-17 10:35:05;2018-08-17 10:35:05;2018-08-17 10:40:49;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:40:49;2018-08-17 10:52:11;2018-08-17 10:58:19;;1;BatchSubProcess;PARALLEL;
2;B;2018-08-17 10:52:11;2018-08-17 10:52:11;2018-08-17 10:54:15;WorkerB_#0;1;BatchSubProcess;PARALLEL;
2;C;2018-08-17 10:54:15;2018-08-17 10:54:15;2018-08-17 10:57:19;WorkerC_#0;1;BatchSubProcess;PARALLEL;
2;D;2018-08-17 10:54:15;2018-08-17 10:54:15;2018-08-17 10:58:19;WorkerD_#0;1;BatchSubProcess;PARALLEL;
2;E;2018-08-17 10:58:19;2018-08-17 10:58:19;2018-08-17 11:01:03;WorkerE_#1;;;;
2;F;2018-08-17 11:01:03;2018-08-17 11:01:03;2018-08-17 11:03:47;WorkerF_#1;;;;
2;G;2018-08-17 11:03:47;2018-08-17 11:03:47;2018-08-17 11:06:31;WorkerG_#1;;;;
2;H;2018-08-17 11:06:31;2018-08-17 11:06:31;2018-08-17 11:08:53;WorkerH_#0;;;;
3;A;2018-08-17 10:46:49;2018-08-17 10:46:49;2018-08-17 10:52:11;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:52:11;2018-08-17 10:52:11;2018-08-17 10:58:19;;1;BatchSubProcess;PARALLEL;
3;B;2018-08-17 10:52:11;2018-08-17 10:52:11;2018-08-17 10:54:15;WorkerB_#0;1;BatchSubProcess;PARALLEL;
3;C;2018-08-17 10:54:15;2018-08-17 10:54:15;2018-08-17 10:57:19;WorkerC_#0;1;BatchSubProcess;PARALLEL;
3;D;2018-08-17 10:54:15;2018-08-17 10:54:15;2018-08-17 10:58:19;WorkerD_#0;1;BatchSubProcess;PARALLEL;
3;E;2018-08-17 10:58:19;2018-08-17 10:59:23;2018-08-17 11:01:45;WorkerE_#0;;;;
3;F;2018-08-17 11:01:45;2018-08-17 11:01:45;2018-08-17 11:04:07;WorkerF_#0;;;;
3;G;2018-08-17 11:04:07;2018-08-17 11:04:07;2018-08-17 11:06:29;WorkerG_#0;;;;
3;H;2018-08-17 11:06:29;2018-08-17 11:06:29;2018-08-17 11:09:13;WorkerH_#1;;;;
4;A;2018-08-17 10:58:11;2018-08-17 10:58:11;2018-08-17 11:03:19;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:03:19;2018-08-17 11:25:50;2018-08-17 11:35:18;;2;BatchSubProcess;PARALLEL;
4;B;2018-08-17 11:25:50;2018-08-17 11:25:50;2018-08-17 11:29:34;WorkerB_#1;2;BatchSubProcess;PARALLEL;
4;C;2018-08-17 11:29:34;2018-08-17 11:29:34;2018-08-17 11:34:18;WorkerC_#1;2;BatchSubProcess;PARALLEL;
4;D;2018-08-17 11:29:34;2018-08-17 11:29:34;2018-08-17 11:35:18;WorkerD_#1;2;BatchSubProcess;PARALLEL;
4;E;2018-08-17 11:35:18;2018-08-17 11:35:18;2018-08-17 11:37:26;WorkerE_#1;;;;
4;F;2018-08-17 11:37:26;2018-08-17 11:37:26;2018-08-17 11:39:33;WorkerF_#0;;;;
4;G;2018-08-17 11:39:33;2018-08-17 11:39:33;2018-08-17 11:41:40;WorkerG_#1;;;;
4;H;2018-08-17 11:41:40;2018-08-17 11:41:40;2018-08-17 11:43:48;WorkerH_#0;;;;
5;A;2018-08-17 11:09:19;2018-08-17 11:09:19;2018-08-17 11:14:26;WorkerA_#0;;;;
5;Batch Activity;2018-08-17 11:14:26;2018-08-17 11:25:50;2018-08-17 11:35:18;;2;BatchSubProcess;PARALLEL;
5;B;2018-08-17 11:25:50;2018-08-17 11:25:50;2018-08-17 11:29:34;WorkerB_#1;2;BatchSubProcess;PARALLEL;
5;C;2018-08-17 11:29:34;2018-08-17 11:29:34;2018-08-17 11:34:18;WorkerC_#1;2;BatchSubProcess;PARALLEL;
5;D;2018-08-17 11:29:34;2018-08-17 11:29:34;2018-08-17 11:35:18;WorkerD_#1;2;BatchSubProcess;PARALLEL;
5;E;2018-08-17 11:35:18;2018-08-17 11:35:18;2018-08-17 11:37:25;WorkerE_#0;;;;
5;F;2018-08-17 11:37:25;2018-08-17 11:37:25;2018-08-17 11:39:33;WorkerF_#1;;;;
5;G;2018-08-17 11:39:33;2018-08-17 11:39:33;2018-08-17 11:41:41;WorkerG_#0;;;;
5;H;2018-08-17 11:41:41;2018-08-17 11:41:41;2018-08-17 11:43:48;WorkerH_#1;;;;
6;A;2018-08-17 11:20:26;2018-08-17 11:20:26;2018-08-17 11:25:50;WorkerA_#1;;;;
