Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:29:11;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:29:11;2018-08-17 10:50:12;2018-08-17 11:20:45;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;B;2018-08-17 10:50:12;2018-08-17 10:50:12;2018-08-17 10:52:22;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:29:11
1;C;2018-08-17 10:52:22;2018-08-17 10:52:22;2018-08-17 10:55:32;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;D;2018-08-17 10:52:22;2018-08-17 10:55:32;2018-08-17 10:59:42;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;E;2018-08-17 11:20:45;2018-08-17 11:20:45;2018-08-17 11:21:55;WorkerE_#0;;;;
1;F;2018-08-17 11:21:55;2018-08-17 11:21:55;2018-08-17 11:23:00;WorkerF_#1;;;;
1;G;2018-08-17 11:23:00;2018-08-17 11:23:00;2018-08-17 11:24:05;WorkerG_#1;;;;
1;H;2018-08-17 11:24:05;2018-08-17 11:24:05;2018-08-17 11:25:15;WorkerH_#0;;;;
2;A;2018-08-17 10:35:11;2018-08-17 10:35:11;2018-08-17 10:39:16;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:39:16;2018-08-17 10:50:12;2018-08-17 11:20:45;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;B;2018-08-17 10:59:42;2018-08-17 10:59:42;2018-08-17 11:01:47;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:39:16
2;C;2018-08-17 11:01:47;2018-08-17 11:01:47;2018-08-17 11:04:52;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;D;2018-08-17 11:01:47;2018-08-17 11:04:52;2018-08-17 11:08:57;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;E;2018-08-17 11:20:45;2018-08-17 11:20:45;2018-08-17 11:21:50;WorkerE_#1;;;;
2;F;2018-08-17 11:21:50;2018-08-17 11:21:50;2018-08-17 11:23:00;WorkerF_#0;;;;
2;G;2018-08-17 11:23:00;2018-08-17 11:23:00;2018-08-17 11:24:10;WorkerG_#0;;;;
