"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:29:26";"WorkerA_#0";NA;"";"";""
1;"B";"2018-08-17 10:29:26";"2018-08-17 10:29:26";"2018-08-17 10:31:51";"WorkerB_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:31:50";"2018-08-17 10:54:52";"2018-08-17 11:15:45";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"D";"2018-08-17 10:54:52";"2018-08-17 10:54:52";"2018-08-17 10:59:18";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:31:50"
1;"E";"2018-08-17 10:54:52";"2018-08-17 10:59:17";"2018-08-17 11:00:43";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"F";"2018-08-17 11:15:45";"2018-08-17 11:15:45";"2018-08-17 11:17:10";"WorkerF_#0";NA;"";"";""
1;"G";"2018-08-17 11:17:10";"2018-08-17 11:17:10";"2018-08-17 11:18:35";"WorkerG_#0";NA;"";"";""
1;"H";"2018-08-17 11:18:35";"2018-08-17 11:18:35";"2018-08-17 11:20:00";"WorkerH_#0";NA;"";"";""
2;"A";"2018-08-17 10:35:26";"2018-08-17 10:35:26";"2018-08-17 10:41:01";"WorkerA_#1";NA;"";"";""
2;"B";"2018-08-17 10:41:01";"2018-08-17 10:41:01";"2018-08-17 10:44:36";"WorkerB_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:44:35";"2018-08-17 10:54:52";"2018-08-17 11:15:45";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
2;"D";"2018-08-17 11:00:42";"2018-08-17 11:00:42";"2018-08-17 11:06:18";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:44:35"
2;"E";"2018-08-17 11:00:42";"2018-08-17 11:06:17";"2018-08-17 11:08:53";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
