"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:30:34";"WorkerA_#0";NA;"";"";""
1;"B";"2018-08-17 10:30:34";"2018-08-17 10:30:34";"2018-08-17 10:34:07";"WorkerB_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:34:06";"2018-08-17 10:55:14";"2018-08-17 11:10:47";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
1;"D";"2018-08-17 10:55:14";"2018-08-17 10:55:14";"2018-08-17 11:00:48";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:55:14"
1;"C";"2018-08-17 10:55:14";"2018-08-17 10:55:14";"2018-08-17 10:59:48";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:34:06"
1;"F";"2018-08-17 11:10:47";"2018-08-17 11:10:47";"2018-08-17 11:13:20";"WorkerF_#0";NA;"";"";""
1;"G";"2018-08-17 11:13:20";"2018-08-17 11:13:20";"2018-08-17 11:15:37";"WorkerG_#1";NA;"";"";""
1;"H";"2018-08-17 11:15:37";"2018-08-17 11:15:37";"2018-08-17 11:17:54";"WorkerH_#1";NA;"";"";""
2;"A";"2018-08-17 10:36:34";"2018-08-17 10:36:34";"2018-08-17 10:41:51";"WorkerA_#1";NA;"";"";""
2;"B";"2018-08-17 10:41:51";"2018-08-17 10:41:51";"2018-08-17 10:45:08";"WorkerB_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:45:07";"2018-08-17 10:55:14";"2018-08-17 11:10:47";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
2;"C";"2018-08-17 10:59:47";"2018-08-17 10:59:47";"2018-08-17 11:04:05";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:45:07"
2;"D";"2018-08-17 11:00:47";"2018-08-17 11:00:47";"2018-08-17 11:06:05";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:55:14"
2;"F";"2018-08-17 11:10:47";"2018-08-17 11:10:47";"2018-08-17 11:13:04";"WorkerF_#1";NA;"";"";""
2;"G";"2018-08-17 11:13:04";"2018-08-17 11:13:04";"2018-08-17 11:15:37";"WorkerG_#0";NA;"";"";""
2;"H";"2018-08-17 11:15:37";"2018-08-17 11:15:37";"2018-08-17 11:18:10";"WorkerH_#0";NA;"";"";""
3;"A";"2018-08-17 10:47:51";"2018-08-17 10:47:51";"2018-08-17 10:52:33";"WorkerA_#0";NA;"";"";""
3;"B";"2018-08-17 10:52:33";"2018-08-17 10:52:33";"2018-08-17 10:55:15";"WorkerB_#0";NA;"";"";""
3;"Batch Activity";"2018-08-17 10:55:14";"2018-08-17 10:55:14";"2018-08-17 11:10:47";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
3;"C";"2018-08-17 11:04:04";"2018-08-17 11:04:04";"2018-08-17 11:07:47";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:55:14"
3;"D";"2018-08-17 11:06:04";"2018-08-17 11:06:04";"2018-08-17 11:10:47";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:55:14"
3;"F";"2018-08-17 11:10:47";"2018-08-17 11:13:04";"2018-08-17 11:14:46";"WorkerF_#1";NA;"";"";""
3;"G";"2018-08-17 11:14:46";"2018-08-17 11:15:37";"2018-08-17 11:17:19";"WorkerG_#0";NA;"";"";""
3;"H";"2018-08-17 11:17:19";"2018-08-17 11:17:54";"2018-08-17 11:19:36";"WorkerH_#1";NA;"";"";""
4;"A";"2018-08-17 10:58:33";"2018-08-17 10:58:33";"2018-08-17 11:04:11";"WorkerA_#1";NA;"";"";""
4;"B";"2018-08-17 11:04:11";"2018-08-17 11:04:11";"2018-08-17 11:07:49";"WorkerB_#1";NA;"";"";""
4;"Batch Activity";"2018-08-17 11:07:48";"2018-08-17 11:27:51";"2018-08-17 11:42:33";"";2;"BatchSubProcess";"CONCURRENT_TASKBASED";""
4;"D";"2018-08-17 11:27:51";"2018-08-17 11:27:51";"2018-08-17 11:33:30";"WorkerD_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:27:51"
4;"C";"2018-08-17 11:27:51";"2018-08-17 11:27:51";"2018-08-17 11:32:30";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:07:48"
4;"F";"2018-08-17 11:42:33";"2018-08-17 11:42:33";"2018-08-17 11:45:11";"WorkerF_#0";NA;"";"";""
4;"G";"2018-08-17 11:45:11";"2018-08-17 11:45:11";"2018-08-17 11:46:36";"WorkerG_#0";NA;"";"";""
4;"H";"2018-08-17 11:46:36";"2018-08-17 11:46:36";"2018-08-17 11:48:01";"WorkerH_#1";NA;"";"";""
5;"A";"2018-08-17 11:10:11";"2018-08-17 11:10:11";"2018-08-17 11:14:36";"WorkerA_#0";NA;"";"";""
5;"B";"2018-08-17 11:14:36";"2018-08-17 11:14:36";"2018-08-17 11:17:01";"WorkerB_#0";NA;"";"";""
5;"Batch Activity";"2018-08-17 11:17:00";"2018-08-17 11:27:51";"2018-08-17 11:42:33";"";2;"BatchSubProcess";"CONCURRENT_TASKBASED";""
5;"C";"2018-08-17 11:32:29";"2018-08-17 11:32:29";"2018-08-17 11:35:55";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:17:00"
5;"D";"2018-08-17 11:33:29";"2018-08-17 11:33:29";"2018-08-17 11:37:55";"WorkerD_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:27:51"
5;"F";"2018-08-17 11:42:33";"2018-08-17 11:42:33";"2018-08-17 11:43:58";"WorkerF_#1";NA;"";"";""
5;"G";"2018-08-17 11:43:58";"2018-08-17 11:43:58";"2018-08-17 11:46:36";"WorkerG_#1";NA;"";"";""
5;"H";"2018-08-17 11:46:36";"2018-08-17 11:46:36";"2018-08-17 11:49:14";"WorkerH_#0";NA;"";"";""
6;"A";"2018-08-17 11:20:36";"2018-08-17 11:20:36";"2018-08-17 11:25:14";"WorkerA_#1";NA;"";"";""
6;"B";"2018-08-17 11:25:14";"2018-08-17 11:25:14";"2018-08-17 11:27:52";"WorkerB_#1";NA;"";"";""
6;"Batch Activity";"2018-08-17 11:27:51";"2018-08-17 11:27:51";"2018-08-17 11:42:33";"";2;"BatchSubProcess";"CONCURRENT_TASKBASED";""
6;"C";"2018-08-17 11:35:54";"2018-08-17 11:35:54";"2018-08-17 11:39:33";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:27:51"
6;"D";"2018-08-17 11:37:54";"2018-08-17 11:37:54";"2018-08-17 11:42:33";"WorkerD_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:27:51"
