Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:18;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:30:18;2018-08-17 10:52:15;2018-08-17 11:00:49;;1;BatchSubProcess;PARALLEL;
1;B;2018-08-17 10:52:15;2018-08-17 10:52:15;2018-08-17 10:55:32;WorkerB_#0;1;BatchSubProcess;PARALLEL;
1;D;2018-08-17 10:55:32;2018-08-17 10:55:32;2018-08-17 11:00:49;WorkerD_#0;1;BatchSubProcess;PARALLEL;
1;E;2018-08-17 10:55:32;2018-08-17 10:55:32;2018-08-17 10:57:49;WorkerE_#0;1;BatchSubProcess;PARALLEL;
1;F;2018-08-17 11:00:49;2018-08-17 11:00:49;2018-08-17 11:03:06;WorkerF_#0;;;;
1;G;2018-08-17 11:03:06;2018-08-17 11:03:06;2018-08-17 11:04:48;WorkerG_#1;;;;
1;H;2018-08-17 11:04:48;2018-08-17 11:04:48;2018-08-17 11:06:30;WorkerH_#1;;;;
2;A;2018-08-17 10:36:18;2018-08-17 10:36:18;2018-08-17 10:41:00;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:41:00;2018-08-17 10:52:15;2018-08-17 11:00:49;;1;BatchSubProcess;PARALLEL;
2;B;2018-08-17 10:52:15;2018-08-17 10:52:15;2018-08-17 10:55:32;WorkerB_#0;1;BatchSubProcess;PARALLEL;
2;D;2018-08-17 10:55:32;2018-08-17 10:55:32;2018-08-17 11:00:49;WorkerD_#0;1;BatchSubProcess;PARALLEL;
2;E;2018-08-17 10:55:32;2018-08-17 10:55:32;2018-08-17 10:57:49;WorkerE_#0;1;BatchSubProcess;PARALLEL;
2;F;2018-08-17 11:00:49;2018-08-17 11:00:49;2018-08-17 11:02:31;WorkerF_#1;;;;
2;G;2018-08-17 11:02:31;2018-08-17 11:02:31;2018-08-17 11:04:48;WorkerG_#0;;;;
2;H;2018-08-17 11:04:48;2018-08-17 11:04:48;2018-08-17 11:07:05;WorkerH_#0;;;;
3;A;2018-08-17 10:47:00;2018-08-17 10:47:00;2018-08-17 10:52:15;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:52:15;2018-08-17 10:52:15;2018-08-17 11:00:49;;1;BatchSubProcess;PARALLEL;
3;B;2018-08-17 10:52:15;2018-08-17 10:52:15;2018-08-17 10:55:32;WorkerB_#0;1;BatchSubProcess;PARALLEL;
3;D;2018-08-17 10:55:32;2018-08-17 10:55:32;2018-08-17 11:00:49;WorkerD_#0;1;BatchSubProcess;PARALLEL;
3;E;2018-08-17 10:55:32;2018-08-17 10:55:32;2018-08-17 10:57:49;WorkerE_#0;1;BatchSubProcess;PARALLEL;
3;F;2018-08-17 11:00:49;2018-08-17 11:02:31;2018-08-17 11:04:46;WorkerF_#1;;;;
3;G;2018-08-17 11:04:46;2018-08-17 11:04:48;2018-08-17 11:07:03;WorkerG_#0;;;;
3;H;2018-08-17 11:07:03;2018-08-17 11:07:03;2018-08-17 11:09:18;WorkerH_#1;;;;
4;A;2018-08-17 10:58:15;2018-08-17 10:58:15;2018-08-17 11:03:45;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:03:45;2018-08-17 11:25:47;2018-08-17 11:33:11;;2;BatchSubProcess;PARALLEL;
4;B;2018-08-17 11:25:47;2018-08-17 11:25:47;2018-08-17 11:28:29;WorkerB_#1;2;BatchSubProcess;PARALLEL;
