Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:54;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:30:54;2018-08-17 10:52:48;2018-08-17 11:25:09;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;B;2018-08-17 10:52:48;2018-08-17 10:52:48;2018-08-17 10:56:41;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:30:54
1;D;2018-08-17 10:56:41;2018-08-17 10:56:41;2018-08-17 11:02:34;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;E;2018-08-17 10:56:41;2018-08-17 11:02:34;2018-08-17 11:05:27;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;F;2018-08-17 11:25:09;2018-08-17 11:25:09;2018-08-17 11:28:02;WorkerF_#0;;;;
1;G;2018-08-17 11:28:02;2018-08-17 11:28:02;2018-08-17 11:30:52;WorkerG_#1;;;;
1;H;2018-08-17 11:30:52;2018-08-17 11:30:52;2018-08-17 11:33:42;WorkerH_#1;;;;
2;A;2018-08-17 10:36:54;2018-08-17 10:36:54;2018-08-17 10:42:44;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:42:44;2018-08-17 10:52:48;2018-08-17 11:25:09;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;B;2018-08-17 11:05:27;2018-08-17 11:05:27;2018-08-17 11:09:17;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:42:44
2;D;2018-08-17 11:09:17;2018-08-17 11:09:17;2018-08-17 11:15:07;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;E;2018-08-17 11:09:17;2018-08-17 11:15:07;2018-08-17 11:17:57;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;F;2018-08-17 11:25:09;2018-08-17 11:25:09;2018-08-17 11:27:59;WorkerF_#1;;;;
2;G;2018-08-17 11:27:59;2018-08-17 11:27:59;2018-08-17 11:30:52;WorkerG_#0;;;;
2;H;2018-08-17 11:30:52;2018-08-17 11:30:52;2018-08-17 11:33:45;WorkerH_#0;;;;
3;A;2018-08-17 10:48:44;2018-08-17 10:48:44;2018-08-17 10:52:48;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:52:48;2018-08-17 10:52:48;2018-08-17 11:25:09;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
3;B;2018-08-17 11:17:57;2018-08-17 11:17:57;2018-08-17 11:20:01;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:52:48
3;D;2018-08-17 11:20:01;2018-08-17 11:20:01;2018-08-17 11:24:05;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
3;E;2018-08-17 11:20:01;2018-08-17 11:24:05;2018-08-17 11:25:09;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
3;F;2018-08-17 11:25:09;2018-08-17 11:27:59;2018-08-17 11:29:03;WorkerF_#1;;;;
3;G;2018-08-17 11:29:03;2018-08-17 11:30:52;2018-08-17 11:31:56;WorkerG_#0;;;;
3;H;2018-08-17 11:31:56;2018-08-17 11:33:42;2018-08-17 11:34:46;WorkerH_#1;;;;
4;A;2018-08-17 10:58:48;2018-08-17 10:58:48;2018-08-17 11:03:15;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:03:15;2018-08-17 11:26:26;2018-08-17 11:58:20;;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
4;B;2018-08-17 11:26:26;2018-08-17 11:26:26;2018-08-17 11:28:53;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:03:15
4;D;2018-08-17 11:28:53;2018-08-17 11:28:53;2018-08-17 11:33:20;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
4;E;2018-08-17 11:28:53;2018-08-17 11:33:20;2018-08-17 11:34:47;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
4;F;2018-08-17 11:58:20;2018-08-17 11:58:20;2018-08-17 11:59:47;WorkerF_#0;;;;
4;G;2018-08-17 11:59:47;2018-08-17 11:59:47;2018-08-17 12:01:14;WorkerG_#1;;;;
4;H;2018-08-17 12:01:14;2018-08-17 12:01:14;2018-08-17 12:02:41;WorkerH_#0;;;;
5;A;2018-08-17 11:09:15;2018-08-17 11:09:15;2018-08-17 11:15:01;WorkerA_#0;;;;
5;Batch Activity;2018-08-17 11:15:01;2018-08-17 11:26:26;2018-08-17 11:58:20;;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
5;B;2018-08-17 11:34:47;2018-08-17 11:34:47;2018-08-17 11:38:33;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:15:01
5;D;2018-08-17 11:38:33;2018-08-17 11:38:33;2018-08-17 11:44:19;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
