"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:30:34";"WorkerA_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:30:33";"2018-08-17 10:51:36";"2018-08-17 11:23:01";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"B";"2018-08-17 10:51:36";"2018-08-17 10:51:36";"2018-08-17 10:55:10";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:30:33"
1;"C";"2018-08-17 10:55:09";"2018-08-17 10:55:09";"2018-08-17 10:59:43";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"D";"2018-08-17 10:59:42";"2018-08-17 10:59:42";"2018-08-17 11:02:16";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"E";"2018-08-17 11:02:15";"2018-08-17 11:02:15";"2018-08-17 11:04:49";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"F";"2018-08-17 11:23:01";"2018-08-17 11:23:01";"2018-08-17 11:25:34";"WorkerF_#0";NA;"";"";""
1;"G";"2018-08-17 11:25:34";"2018-08-17 11:25:34";"2018-08-17 11:27:09";"WorkerG_#1";NA;"";"";""
1;"H";"2018-08-17 11:27:09";"2018-08-17 11:27:09";"2018-08-17 11:28:44";"WorkerH_#1";NA;"";"";""
2;"A";"2018-08-17 10:36:34";"2018-08-17 10:36:34";"2018-08-17 10:41:09";"WorkerA_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:41:08";"2018-08-17 10:51:36";"2018-08-17 11:23:01";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
2;"B";"2018-08-17 11:04:48";"2018-08-17 11:04:48";"2018-08-17 11:07:24";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:41:08"
2;"C";"2018-08-17 11:07:23";"2018-08-17 11:07:23";"2018-08-17 11:10:59";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
2;"D";"2018-08-17 11:10:58";"2018-08-17 11:10:58";"2018-08-17 11:12:34";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
2;"E";"2018-08-17 11:12:33";"2018-08-17 11:12:33";"2018-08-17 11:14:09";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
2;"F";"2018-08-17 11:23:01";"2018-08-17 11:23:01";"2018-08-17 11:24:36";"WorkerF_#1";NA;"";"";""
2;"G";"2018-08-17 11:24:36";"2018-08-17 11:24:36";"2018-08-17 11:27:09";"WorkerG_#0";NA;"";"";""
2;"H";"2018-08-17 11:27:09";"2018-08-17 11:27:09";"2018-08-17 11:29:42";"WorkerH_#0";NA;"";"";""
3;"A";"2018-08-17 10:47:09";"2018-08-17 10:47:09";"2018-08-17 10:51:37";"WorkerA_#0";NA;"";"";""
3;"Batch Activity";"2018-08-17 10:51:36";"2018-08-17 10:51:36";"2018-08-17 11:23:01";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
3;"B";"2018-08-17 11:14:08";"2018-08-17 11:14:08";"2018-08-17 11:16:37";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:51:36"
3;"C";"2018-08-17 11:16:36";"2018-08-17 11:16:36";"2018-08-17 11:20:05";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
3;"D";"2018-08-17 11:20:04";"2018-08-17 11:20:04";"2018-08-17 11:21:33";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
3;"E";"2018-08-17 11:21:32";"2018-08-17 11:21:32";"2018-08-17 11:23:01";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
3;"F";"2018-08-17 11:23:01";"2018-08-17 11:24:36";"2018-08-17 11:26:04";"WorkerF_#1";NA;"";"";""
3;"G";"2018-08-17 11:26:04";"2018-08-17 11:27:09";"2018-08-17 11:28:37";"WorkerG_#0";NA;"";"";""
3;"H";"2018-08-17 11:28:37";"2018-08-17 11:28:44";"2018-08-17 11:30:12";"WorkerH_#1";NA;"";"";""
4;"A";"2018-08-17 10:57:37";"2018-08-17 10:57:37";"2018-08-17 11:03:26";"WorkerA_#1";NA;"";"";""
4;"Batch Activity";"2018-08-17 11:03:25";"2018-08-17 11:24:47";"2018-08-17 11:58:32";"";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
4;"B";"2018-08-17 11:24:47";"2018-08-17 11:24:47";"2018-08-17 11:28:37";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:03:25"
4;"C";"2018-08-17 11:28:36";"2018-08-17 11:28:36";"2018-08-17 11:33:26";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
4;"D";"2018-08-17 11:33:25";"2018-08-17 11:33:25";"2018-08-17 11:36:15";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
4;"E";"2018-08-17 11:36:14";"2018-08-17 11:36:14";"2018-08-17 11:39:04";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
4;"F";"2018-08-17 11:58:32";"2018-08-17 11:58:32";"2018-08-17 12:01:21";"WorkerF_#0";NA;"";"";""
4;"G";"2018-08-17 12:01:21";"2018-08-17 12:01:21";"2018-08-17 12:02:39";"WorkerG_#0";NA;"";"";""
4;"H";"2018-08-17 12:02:39";"2018-08-17 12:02:39";"2018-08-17 12:03:57";"WorkerH_#1";NA;"";"";""
5;"A";"2018-08-17 11:09:26";"2018-08-17 11:09:26";"2018-08-17 11:13:44";"WorkerA_#0";NA;"";"";""
5;"Batch Activity";"2018-08-17 11:13:43";"2018-08-17 11:24:47";"2018-08-17 11:58:32";"";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
5;"B";"2018-08-17 11:39:03";"2018-08-17 11:39:03";"2018-08-17 11:41:22";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:13:43"
5;"C";"2018-08-17 11:41:21";"2018-08-17 11:41:21";"2018-08-17 11:44:40";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
5;"D";"2018-08-17 11:44:39";"2018-08-17 11:44:39";"2018-08-17 11:45:58";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
5;"E";"2018-08-17 11:45:57";"2018-08-17 11:45:57";"2018-08-17 11:47:16";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
5;"F";"2018-08-17 11:58:32";"2018-08-17 11:58:32";"2018-08-17 11:59:50";"WorkerF_#1";NA;"";"";""
5;"G";"2018-08-17 11:59:50";"2018-08-17 11:59:50";"2018-08-17 12:02:39";"WorkerG_#1";NA;"";"";""
5;"H";"2018-08-17 12:02:39";"2018-08-17 12:02:39";"2018-08-17 12:05:28";"WorkerH_#0";NA;"";"";""
6;"A";"2018-08-17 11:19:44";"2018-08-17 11:19:44";"2018-08-17 11:24:48";"WorkerA_#1";NA;"";"";""
6;"Batch Activity";"2018-08-17 11:24:47";"2018-08-17 11:24:47";"2018-08-17 11:58:32";"";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
6;"B";"2018-08-17 11:47:15";"2018-08-17 11:47:15";"2018-08-17 11:50:20";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:24:47"
6;"C";"2018-08-17 11:50:19";"2018-08-17 11:50:19";"2018-08-17 11:54:24";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
6;"D";"2018-08-17 11:54:23";"2018-08-17 11:54:23";"2018-08-17 11:56:28";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
6;"E";"2018-08-17 11:56:27";"2018-08-17 11:56:27";"2018-08-17 11:58:32";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
6;"F";"2018-08-17 11:58:32";"2018-08-17 11:59:50";"2018-08-17 12:01:54";"WorkerF_#1";NA;"";"";""
6;"G";"2018-08-17 12:01:54";"2018-08-17 12:02:39";"2018-08-17 12:04:43";"WorkerG_#1";NA;"";"";""
6;"H";"2018-08-17 12:04:43";"2018-08-17 12:04:43";"2018-08-17 12:06:47";"WorkerH_#1";NA;"";"";""
7;"A";"2018-08-17 11:30:48";"2018-08-17 11:30:48";"2018-08-17 11:35:19";"WorkerA_#0";NA;"";"";""
7;"Batch Activity";"2018-08-17 11:35:18";"2018-08-17 11:58:20";"2018-08-17 12:33:33";"";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
7;"B";"2018-08-17 11:58:20";"2018-08-17 11:58:20";"2018-08-17 12:00:52";"WorkerB_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:35:18"
7;"C";"2018-08-17 12:00:51";"2018-08-17 12:00:51";"2018-08-17 12:04:23";"WorkerB_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
7;"D";"2018-08-17 12:04:22";"2018-08-17 12:04:22";"2018-08-17 12:05:54";"WorkerB_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
7;"E";"2018-08-17 12:05:53";"2018-08-17 12:05:53";"2018-08-17 12:07:25";"WorkerB_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
7;"F";"2018-08-17 12:33:33";"2018-08-17 12:33:33";"2018-08-17 12:35:04";"WorkerF_#0";NA;"";"";""
7;"G";"2018-08-17 12:35:04";"2018-08-17 12:35:04";"2018-08-17 12:36:35";"WorkerG_#0";NA;"";"";""
7;"H";"2018-08-17 12:36:35";"2018-08-17 12:36:35";"2018-08-17 12:38:06";"WorkerH_#0";NA;"";"";""
8;"A";"2018-08-17 11:41:19";"2018-08-17 11:41:19";"2018-08-17 11:46:22";"WorkerA_#1";NA;"";"";""
8;"Batch Activity";"2018-08-17 11:46:21";"2018-08-17 11:58:20";"2018-08-17 12:33:33";"";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
8;"B";"2018-08-17 12:07:24";"2018-08-17 12:07:24";"2018-08-17 12:10:28";"WorkerB_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:46:21"
8;"C";"2018-08-17 12:10:27";"2018-08-17 12:10:27";"2018-08-17 12:14:31";"WorkerB_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
8;"D";"2018-08-17 12:14:30";"2018-08-17 12:14:30";"2018-08-17 12:16:34";"WorkerB_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
