"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:30:43";"WorkerA_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:30:42";"2018-08-17 10:51:54";"2018-08-17 11:12:43";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
1;"B";"2018-08-17 10:51:54";"2018-08-17 10:51:54";"2018-08-17 10:55:37";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:30:42"
1;"C";"2018-08-17 11:00:48";"2018-08-17 11:00:48";"2018-08-17 11:05:31";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:00:48"
1;"D";"2018-08-17 11:12:43";"2018-08-17 11:12:43";"2018-08-17 11:15:25";"WorkerD_#0";NA;"";"";""
1;"E";"2018-08-17 11:15:25";"2018-08-17 11:15:25";"2018-08-17 11:17:23";"WorkerE_#1";NA;"";"";""
1;"Batch Activity";"2018-08-17 11:17:22";"2018-08-17 11:18:36";"2018-08-17 11:30:25";"";1;"BatchSubProcess2";"CONCURRENT_TASKBASED";""
1;"F";"2018-08-17 11:21:18";"2018-08-17 11:21:18";"2018-08-17 11:23:17";"WorkerF_#0";1;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:17:22"
1;"G";"2018-08-17 11:27:12";"2018-08-17 11:27:12";"2018-08-17 11:29:11";"WorkerG_#0";1;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:24:30"
1;"H";"2018-08-17 11:30:25";"2018-08-17 11:30:25";"2018-08-17 11:32:23";"WorkerH_#1";NA;"";"";""
2;"A";"2018-08-17 10:36:43";"2018-08-17 10:36:43";"2018-08-17 10:41:41";"WorkerA_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:41:40";"2018-08-17 10:51:54";"2018-08-17 11:12:43";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
2;"B";"2018-08-17 10:55:36";"2018-08-17 10:55:36";"2018-08-17 10:58:35";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:41:40"
2;"C";"2018-08-17 11:05:30";"2018-08-17 11:05:30";"2018-08-17 11:09:29";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:00:48"
2;"D";"2018-08-17 11:12:43";"2018-08-17 11:12:43";"2018-08-17 11:14:41";"WorkerD_#1";NA;"";"";""
2;"E";"2018-08-17 11:14:41";"2018-08-17 11:14:41";"2018-08-17 11:17:23";"WorkerE_#0";NA;"";"";""
2;"Batch Activity";"2018-08-17 11:17:22";"2018-08-17 11:18:36";"2018-08-17 11:30:25";"";1;"BatchSubProcess2";"CONCURRENT_TASKBASED";""
2;"F";"2018-08-17 11:18:36";"2018-08-17 11:18:36";"2018-08-17 11:21:19";"WorkerF_#0";1;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:17:22"
2;"G";"2018-08-17 11:24:30";"2018-08-17 11:24:30";"2018-08-17 11:27:13";"WorkerG_#0";1;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:24:30"
2;"H";"2018-08-17 11:30:25";"2018-08-17 11:30:25";"2018-08-17 11:33:07";"WorkerH_#0";NA;"";"";""
3;"A";"2018-08-17 10:47:41";"2018-08-17 10:47:41";"2018-08-17 10:51:55";"WorkerA_#0";NA;"";"";""
3;"Batch Activity";"2018-08-17 10:51:54";"2018-08-17 10:51:54";"2018-08-17 11:12:43";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
3;"B";"2018-08-17 10:58:34";"2018-08-17 10:58:34";"2018-08-17 11:00:49";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:51:54"
3;"C";"2018-08-17 11:09:28";"2018-08-17 11:09:28";"2018-08-17 11:12:43";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:00:48"
3;"D";"2018-08-17 11:12:43";"2018-08-17 11:14:41";"2018-08-17 11:15:55";"WorkerD_#1";NA;"";"";""
3;"E";"2018-08-17 11:15:55";"2018-08-17 11:17:23";"2018-08-17 11:18:37";"WorkerE_#0";NA;"";"";""
3;"Batch Activity";"2018-08-17 11:18:36";"2018-08-17 11:18:36";"2018-08-17 11:30:25";"";1;"BatchSubProcess2";"CONCURRENT_TASKBASED";""
3;"F";"2018-08-17 11:23:16";"2018-08-17 11:23:16";"2018-08-17 11:24:31";"WorkerF_#0";1;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:18:36"
3;"G";"2018-08-17 11:29:10";"2018-08-17 11:29:10";"2018-08-17 11:30:25";"WorkerG_#0";1;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:24:30"
3;"H";"2018-08-17 11:30:25";"2018-08-17 11:32:23";"2018-08-17 11:33:37";"WorkerH_#1";NA;"";"";""
4;"A";"2018-08-17 10:57:55";"2018-08-17 10:57:55";"2018-08-17 11:03:29";"WorkerA_#1";NA;"";"";""
4;"Batch Activity";"2018-08-17 11:03:28";"2018-08-17 11:25:10";"2018-08-17 11:46:43";"";2;"BatchSubProcess";"CONCURRENT_TASKBASED";""
4;"B";"2018-08-17 11:25:10";"2018-08-17 11:25:10";"2018-08-17 11:28:45";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:03:28"
4;"C";"2018-08-17 11:34:26";"2018-08-17 11:34:26";"2018-08-17 11:39:01";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:34:26"
4;"D";"2018-08-17 11:46:43";"2018-08-17 11:46:43";"2018-08-17 11:49:17";"WorkerD_#0";NA;"";"";""
4;"E";"2018-08-17 11:49:17";"2018-08-17 11:49:17";"2018-08-17 11:51:06";"WorkerE_#0";NA;"";"";""
4;"Batch Activity";"2018-08-17 11:51:05";"2018-08-17 11:52:58";"2018-08-17 12:05:31";"";2;"BatchSubProcess2";"CONCURRENT_TASKBASED";""
4;"F";"2018-08-17 11:55:32";"2018-08-17 11:55:32";"2018-08-17 11:57:22";"WorkerF_#1";2;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:51:05"
4;"G";"2018-08-17 12:01:48";"2018-08-17 12:01:48";"2018-08-17 12:03:38";"WorkerG_#1";2;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:59:14"
4;"H";"2018-08-17 12:05:31";"2018-08-17 12:05:31";"2018-08-17 12:07:20";"WorkerH_#1";NA;"";"";""
5;"A";"2018-08-17 11:09:29";"2018-08-17 11:09:29";"2018-08-17 11:14:18";"WorkerA_#0";NA;"";"";""
5;"Batch Activity";"2018-08-17 11:14:17";"2018-08-17 11:25:10";"2018-08-17 11:46:43";"";2;"BatchSubProcess";"CONCURRENT_TASKBASED";""
5;"B";"2018-08-17 11:28:44";"2018-08-17 11:28:44";"2018-08-17 11:31:34";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:14:17"
5;"C";"2018-08-17 11:39:00";"2018-08-17 11:39:00";"2018-08-17 11:42:50";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:34:26"
5;"D";"2018-08-17 11:46:43";"2018-08-17 11:46:43";"2018-08-17 11:48:32";"WorkerD_#1";NA;"";"";""
5;"E";"2018-08-17 11:48:32";"2018-08-17 11:48:32";"2018-08-17 11:51:06";"WorkerE_#1";NA;"";"";""
5;"Batch Activity";"2018-08-17 11:51:05";"2018-08-17 11:52:58";"2018-08-17 12:05:31";"";2;"BatchSubProcess2";"CONCURRENT_TASKBASED";""
5;"F";"2018-08-17 11:52:58";"2018-08-17 11:52:58";"2018-08-17 11:55:33";"WorkerF_#1";2;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:51:05"
5;"G";"2018-08-17 11:59:14";"2018-08-17 11:59:14";"2018-08-17 12:01:49";"WorkerG_#1";2;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:59:14"
5;"H";"2018-08-17 12:05:31";"2018-08-17 12:05:31";"2018-08-17 12:08:05";"WorkerH_#0";NA;"";"";""
6;"A";"2018-08-17 11:20:18";"2018-08-17 11:20:18";"2018-08-17 11:25:11";"WorkerA_#1";NA;"";"";""
6;"Batch Activity";"2018-08-17 11:25:10";"2018-08-17 11:25:10";"2018-08-17 11:46:43";"";2;"BatchSubProcess";"CONCURRENT_TASKBASED";""
6;"B";"2018-08-17 11:31:33";"2018-08-17 11:31:33";"2018-08-17 11:34:27";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:25:10"
6;"C";"2018-08-17 11:42:49";"2018-08-17 11:42:49";"2018-08-17 11:46:43";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:34:26"
6;"D";"2018-08-17 11:46:43";"2018-08-17 11:48:32";"2018-08-17 11:50:25";"WorkerD_#1";NA;"";"";""
6;"E";"2018-08-17 11:50:25";"2018-08-17 11:51:06";"2018-08-17 11:52:59";"WorkerE_#1";NA;"";"";""
6;"Batch Activity";"2018-08-17 11:52:58";"2018-08-17 11:52:58";"2018-08-17 12:05:31";"";2;"BatchSubProcess2";"CONCURRENT_TASKBASED";""
6;"F";"2018-08-17 11:57:21";"2018-08-17 11:57:21";"2018-08-17 11:59:15";"WorkerF_#1";2;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:52:58"
6;"G";"2018-08-17 12:03:37";"2018-08-17 12:03:37";"2018-08-17 12:05:31";"WorkerG_#1";2;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 11:59:14"
6;"H";"2018-08-17 12:05:31";"2018-08-17 12:07:20";"2018-08-17 12:09:13";"WorkerH_#1";NA;"";"";""
7;"A";"2018-08-17 11:31:11";"2018-08-17 11:31:11";"2018-08-17 11:36:21";"WorkerA_#0";NA;"";"";""
7;"Batch Activity";"2018-08-17 11:36:20";"2018-08-17 11:57:58";"2018-08-17 12:18:35";"";3;"BatchSubProcess";"CONCURRENT_TASKBASED";""
7;"B";"2018-08-17 11:57:58";"2018-08-17 11:57:58";"2018-08-17 12:01:09";"WorkerB_#0";3;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:36:20"
7;"C";"2018-08-17 12:06:46";"2018-08-17 12:06:46";"2018-08-17 12:10:57";"WorkerC_#0";3;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 12:06:46"
7;"D";"2018-08-17 12:18:35";"2018-08-17 12:18:35";"2018-08-17 12:20:45";"WorkerD_#0";NA;"";"";""
7;"E";"2018-08-17 12:20:45";"2018-08-17 12:20:45";"2018-08-17 12:22:02";"WorkerE_#1";NA;"";"";""
7;"Batch Activity";"2018-08-17 12:22:01";"2018-08-17 12:24:33";"2018-08-17 12:36:10";"";3;"BatchSubProcess2";"CONCURRENT_TASKBASED";""
7;"F";"2018-08-17 12:26:43";"2018-08-17 12:26:43";"2018-08-17 12:28:01";"WorkerF_#0";3;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 12:22:01"
7;"G";"2018-08-17 12:32:31";"2018-08-17 12:32:31";"2018-08-17 12:33:49";"WorkerG_#0";3;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 12:30:21"
7;"H";"2018-08-17 12:36:10";"2018-08-17 12:36:10";"2018-08-17 12:37:27";"WorkerH_#1";NA;"";"";""
8;"A";"2018-08-17 11:42:21";"2018-08-17 11:42:21";"2018-08-17 11:46:38";"WorkerA_#1";NA;"";"";""
8;"Batch Activity";"2018-08-17 11:46:37";"2018-08-17 11:57:58";"2018-08-17 12:18:35";"";3;"BatchSubProcess";"CONCURRENT_TASKBASED";""
8;"B";"2018-08-17 12:01:08";"2018-08-17 12:01:08";"2018-08-17 12:03:26";"WorkerB_#0";3;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:46:37"
8;"C";"2018-08-17 12:10:56";"2018-08-17 12:10:56";"2018-08-17 12:14:14";"WorkerC_#0";3;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 12:06:46"
8;"D";"2018-08-17 12:18:35";"2018-08-17 12:18:35";"2018-08-17 12:19:52";"WorkerD_#1";NA;"";"";""
8;"E";"2018-08-17 12:19:52";"2018-08-17 12:19:52";"2018-08-17 12:22:02";"WorkerE_#0";NA;"";"";""
8;"Batch Activity";"2018-08-17 12:22:01";"2018-08-17 12:24:33";"2018-08-17 12:36:10";"";3;"BatchSubProcess2";"CONCURRENT_TASKBASED";""
8;"F";"2018-08-17 12:24:33";"2018-08-17 12:24:33";"2018-08-17 12:26:44";"WorkerF_#0";3;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 12:22:01"
8;"G";"2018-08-17 12:30:21";"2018-08-17 12:30:21";"2018-08-17 12:32:32";"WorkerG_#0";3;"BatchSubProcess2";"CONCURRENT_TASKBASED";"2018-08-17 12:30:21"
8;"H";"2018-08-17 12:36:10";"2018-08-17 12:36:10";"2018-08-17 12:38:20";"WorkerH_#0";NA;"";"";""
9;"A";"2018-08-17 11:52:38";"2018-08-17 11:52:38";"2018-08-17 11:57:59";"WorkerA_#0";NA;"";"";""
9;"Batch Activity";"2018-08-17 11:57:58";"2018-08-17 11:57:58";"2018-08-17 12:18:35";"";3;"BatchSubProcess";"CONCURRENT_TASKBASED";""
