Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:29:19;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:29:19;2018-08-17 10:50:48;2018-08-17 11:09:22;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;B;2018-08-17 10:50:48;2018-08-17 10:50:48;2018-08-17 10:53:06;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:29:19
1;C;2018-08-17 10:53:06;2018-08-17 10:53:06;2018-08-17 10:56:24;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;D;2018-08-17 11:09:22;2018-08-17 11:09:22;2018-08-17 11:10:40;WorkerD_#0;;;;
1;E;2018-08-17 11:10:40;2018-08-17 11:10:40;2018-08-17 11:11:58;WorkerE_#0;;;;
1;Batch Activity;2018-08-17 11:11:58;2018-08-17 11:14:08;2018-08-17 11:23:42;;1;BatchSubProcess2;SEQUENTIAL_CASEBASED;
1;F;2018-08-17 11:14:08;2018-08-17 11:14:08;2018-08-17 11:15:26;WorkerF_#0;1;BatchSubProcess2;SEQUENTIAL_CASEBASED;2018-08-17 11:11:58
1;G;2018-08-17 11:15:26;2018-08-17 11:15:26;2018-08-17 11:16:44;WorkerF_#0;1;BatchSubProcess2;SEQUENTIAL_CASEBASED;
1;H;2018-08-17 11:23:42;2018-08-17 11:23:42;2018-08-17 11:25:00;WorkerH_#0;;;;
2;A;2018-08-17 10:35:19;2018-08-17 10:35:19;2018-08-17 10:40:04;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:40:04;2018-08-17 10:50:48;2018-08-17 11:09:22;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;B;2018-08-17 10:56:24;2018-08-17 10:56:24;2018-08-17 10:59:09;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:40:04
2;C;2018-08-17 10:59:09;2018-08-17 10:59:09;2018-08-17 11:02:54;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;D;2018-08-17 11:09:22;2018-08-17 11:09:22;2018-08-17 11:11:07;WorkerD_#1;;;;
2;E;2018-08-17 11:11:07;2018-08-17 11:11:07;2018-08-17 11:12:52;WorkerE_#1;;;;
2;Batch Activity;2018-08-17 11:12:52;2018-08-17 11:14:08;2018-08-17 11:23:42;;1;BatchSubProcess2;SEQUENTIAL_CASEBASED;
2;F;2018-08-17 11:16:44;2018-08-17 11:16:44;2018-08-17 11:18:29;WorkerF_#0;1;BatchSubProcess2;SEQUENTIAL_CASEBASED;2018-08-17 11:12:52
2;G;2018-08-17 11:18:29;2018-08-17 11:18:29;2018-08-17 11:20:14;WorkerF_#0;1;BatchSubProcess2;SEQUENTIAL_CASEBASED;
2;H;2018-08-17 11:23:42;2018-08-17 11:23:42;2018-08-17 11:25:27;WorkerH_#1;;;;
3;A;2018-08-17 10:46:04;2018-08-17 10:46:04;2018-08-17 10:50:48;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:50:48;2018-08-17 10:50:48;2018-08-17 11:09:22;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
3;B;2018-08-17 11:02:54;2018-08-17 11:02:54;2018-08-17 11:05:38;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:50:48
3;C;2018-08-17 11:05:38;2018-08-17 11:05:38;2018-08-17 11:09:22;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
3;D;2018-08-17 11:09:22;2018-08-17 11:10:40;2018-08-17 11:12:24;WorkerD_#0;;;;
3;E;2018-08-17 11:12:24;2018-08-17 11:12:24;2018-08-17 11:14:08;WorkerE_#0;;;;
3;Batch Activity;2018-08-17 11:14:08;2018-08-17 11:14:08;2018-08-17 11:23:42;;1;BatchSubProcess2;SEQUENTIAL_CASEBASED;
3;F;2018-08-17 11:20:14;2018-08-17 11:20:14;2018-08-17 11:21:58;WorkerF_#0;1;BatchSubProcess2;SEQUENTIAL_CASEBASED;2018-08-17 11:14:08
3;G;2018-08-17 11:21:58;2018-08-17 11:21:58;2018-08-17 11:23:42;WorkerF_#0;1;BatchSubProcess2;SEQUENTIAL_CASEBASED;
3;H;2018-08-17 11:23:42;2018-08-17 11:25:00;2018-08-17 11:26:44;WorkerH_#0;;;;
4;A;2018-08-17 10:56:48;2018-08-17 10:56:48;2018-08-17 11:01:43;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:01:43;2018-08-17 11:23:41;2018-08-17 11:44:27;;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
4;B;2018-08-17 11:23:41;2018-08-17 11:23:41;2018-08-17 11:26:36;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:01:43
4;C;2018-08-17 11:26:36;2018-08-17 11:26:36;2018-08-17 11:30:31;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
4;D;2018-08-17 11:44:27;2018-08-17 11:44:27;2018-08-17 11:46:22;WorkerD_#1;;;;
4;E;2018-08-17 11:46:22;2018-08-17 11:46:22;2018-08-17 11:47:34;WorkerE_#0;;;;
4;Batch Activity;2018-08-17 11:47:34;2018-08-17 11:51:11;2018-08-17 12:02:57;;2;BatchSubProcess2;SEQUENTIAL_CASEBASED;
4;F;2018-08-17 11:55:01;2018-08-17 11:55:01;2018-08-17 11:56:13;WorkerF_#1;2;BatchSubProcess2;SEQUENTIAL_CASEBASED;2018-08-17 11:47:34
4;G;2018-08-17 11:56:13;2018-08-17 11:56:13;2018-08-17 11:57:25;WorkerF_#1;2;BatchSubProcess2;SEQUENTIAL_CASEBASED;
4;H;2018-08-17 12:02:57;2018-08-17 12:02:57;2018-08-17 12:04:09;WorkerH_#0;;;;
5;A;2018-08-17 11:07:43;2018-08-17 11:07:43;2018-08-17 11:11:55;WorkerA_#0;;;;
5;Batch Activity;2018-08-17 11:11:55;2018-08-17 11:23:41;2018-08-17 11:44:27;;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
5;B;2018-08-17 11:30:31;2018-08-17 11:30:31;2018-08-17 11:32:43;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:11:55
5;C;2018-08-17 11:32:43;2018-08-17 11:32:43;2018-08-17 11:35:55;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
5;D;2018-08-17 11:44:27;2018-08-17 11:44:27;2018-08-17 11:45:39;WorkerD_#0;;;;
5;E;2018-08-17 11:45:39;2018-08-17 11:45:39;2018-08-17 11:47:34;WorkerE_#1;;;;
5;Batch Activity;2018-08-17 11:47:34;2018-08-17 11:51:11;2018-08-17 12:02:57;;2;BatchSubProcess2;SEQUENTIAL_CASEBASED;
5;F;2018-08-17 11:51:11;2018-08-17 11:51:11;2018-08-17 11:53:06;WorkerF_#1;2;BatchSubProcess2;SEQUENTIAL_CASEBASED;2018-08-17 11:47:34
5;G;2018-08-17 11:53:06;2018-08-17 11:53:06;2018-08-17 11:55:01;WorkerF_#1;2;BatchSubProcess2;SEQUENTIAL_CASEBASED;
5;H;2018-08-17 12:02:57;2018-08-17 12:02:57;2018-08-17 12:04:52;WorkerH_#1;;;;
6;A;2018-08-17 11:17:55;2018-08-17 11:17:55;2018-08-17 11:23:41;WorkerA_#1;;;;
6;Batch Activity;2018-08-17 11:23:41;2018-08-17 11:23:41;2018-08-17 11:44:27;;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
6;B;2018-08-17 11:35:55;2018-08-17 11:35:55;2018-08-17 11:39:41;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:23:41
6;C;2018-08-17 11:39:41;2018-08-17 11:39:41;2018-08-17 11:44:27;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
6;D;2018-08-17 11:44:27;2018-08-17 11:45:39;2018-08-17 11:48:25;WorkerD_#0;;;;
6;E;2018-08-17 11:48:25;2018-08-17 11:48:25;2018-08-17 11:51:11;WorkerE_#1;;;;
6;Batch Activity;2018-08-17 11:51:11;2018-08-17 11:51:11;2018-08-17 12:02:57;;2;BatchSubProcess2;SEQUENTIAL_CASEBASED;
6;F;2018-08-17 11:57:25;2018-08-17 11:57:25;2018-08-17 12:00:11;WorkerF_#1;2;BatchSubProcess2;SEQUENTIAL_CASEBASED;2018-08-17 11:51:11
6;G;2018-08-17 12:00:11;2018-08-17 12:00:11;2018-08-17 12:02:57;WorkerF_#1;2;BatchSubProcess2;SEQUENTIAL_CASEBASED;
6;H;2018-08-17 12:02:57;2018-08-17 12:04:09;2018-08-17 12:06:55;WorkerH_#0;;;;
7;A;2018-08-17 11:29:41;2018-08-17 11:29:41;2018-08-17 11:34:53;WorkerA_#0;;;;
7;Batch Activity;2018-08-17 11:34:53;2018-08-17 11:56:25;2018-08-17 12:16:53;;3;BatchSubProcess;SEQUENTIAL_CASEBASED;
7;B;2018-08-17 11:56:25;2018-08-17 11:56:25;2018-08-17 11:59:37;WorkerB_#0;3;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:34:53
7;C;2018-08-17 11:59:37;2018-08-17 11:59:37;2018-08-17 12:03:49;WorkerB_#0;3;BatchSubProcess;SEQUENTIAL_CASEBASED;
7;D;2018-08-17 12:16:53;2018-08-17 12:16:53;2018-08-17 12:19:05;WorkerD_#1;;;;
7;E;2018-08-17 12:19:05;2018-08-17 12:19:05;2018-08-17 12:20:41;WorkerE_#1;;;;
7;Batch Activity;2018-08-17 12:20:41;2018-08-17 12:22:37;2018-08-17 12:34:05;;3;BatchSubProcess2;SEQUENTIAL_CASEBASED;
7;F;2018-08-17 12:27:01;2018-08-17 12:27:01;2018-08-17 12:28:37;WorkerF_#0;3;BatchSubProcess2;SEQUENTIAL_CASEBASED;2018-08-17 12:20:41
7;G;2018-08-17 12:28:37;2018-08-17 12:28:37;2018-08-17 12:30:13;WorkerF_#0;3;BatchSubProcess2;SEQUENTIAL_CASEBASED;
7;H;2018-08-17 12:34:05;2018-08-17 12:34:05;2018-08-17 12:35:41;WorkerH_#0;;;;
8;A;2018-08-17 11:40:53;2018-08-17 11:40:53;2018-08-17 11:45:29;WorkerA_#1;;;;
8;Batch Activity;2018-08-17 11:45:29;2018-08-17 11:56:25;2018-08-17 12:16:53;;3;BatchSubProcess;SEQUENTIAL_CASEBASED;
8;B;2018-08-17 12:03:49;2018-08-17 12:03:49;2018-08-17 12:06:25;WorkerB_#0;3;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:45:29
8;C;2018-08-17 12:06:25;2018-08-17 12:06:25;2018-08-17 12:10:01;WorkerB_#0;3;BatchSubProcess;SEQUENTIAL_CASEBASED;
8;D;2018-08-17 12:16:53;2018-08-17 12:16:53;2018-08-17 12:18:29;WorkerD_#0;;;;
8;E;2018-08-17 12:18:29;2018-08-17 12:18:29;2018-08-17 12:20:41;WorkerE_#0;;;;
8;Batch Activity;2018-08-17 12:20:41;2018-08-17 12:22:37;2018-08-17 12:34:05;;3;BatchSubProcess2;SEQUENTIAL_CASEBASED;
