"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:30:41";"WorkerA_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:30:40";"2018-08-17 10:52:38";"2018-08-17 11:14:55";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
1;"B";"2018-08-17 10:52:38";"2018-08-17 10:52:38";"2018-08-17 10:56:19";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:30:40"
1;"C";"2018-08-17 11:02:16";"2018-08-17 11:02:16";"2018-08-17 11:06:57";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:16"
1;"D";"2018-08-17 11:14:55";"2018-08-17 11:14:55";"2018-08-17 11:17:35";"WorkerD_#0";NA;"";"";""
1;"E";"2018-08-17 11:17:35";"2018-08-17 11:17:35";"2018-08-17 11:20:02";"WorkerE_#1";NA;"";"";""
1;"F";"2018-08-17 11:20:02";"2018-08-17 11:20:02";"2018-08-17 11:22:29";"WorkerF_#1";NA;"";"";""
1;"G";"2018-08-17 11:22:29";"2018-08-17 11:22:29";"2018-08-17 11:25:09";"WorkerG_#0";NA;"";"";""
1;"H";"2018-08-17 11:25:09";"2018-08-17 11:25:09";"2018-08-17 11:27:49";"WorkerH_#0";NA;"";"";""
2;"A";"2018-08-17 10:36:41";"2018-08-17 10:36:41";"2018-08-17 10:42:08";"WorkerA_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:42:07";"2018-08-17 10:52:38";"2018-08-17 11:14:55";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
2;"B";"2018-08-17 10:56:18";"2018-08-17 10:56:18";"2018-08-17 10:59:46";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:42:07"
2;"C";"2018-08-17 11:06:56";"2018-08-17 11:06:56";"2018-08-17 11:11:24";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:16"
2;"D";"2018-08-17 11:14:55";"2018-08-17 11:14:55";"2018-08-17 11:17:22";"WorkerD_#1";NA;"";"";""
2;"E";"2018-08-17 11:17:22";"2018-08-17 11:17:22";"2018-08-17 11:20:02";"WorkerE_#0";NA;"";"";""
2;"F";"2018-08-17 11:20:02";"2018-08-17 11:20:02";"2018-08-17 11:22:42";"WorkerF_#0";NA;"";"";""
2;"G";"2018-08-17 11:22:42";"2018-08-17 11:22:42";"2018-08-17 11:25:09";"WorkerG_#1";NA;"";"";""
2;"H";"2018-08-17 11:25:09";"2018-08-17 11:25:09";"2018-08-17 11:27:36";"WorkerH_#1";NA;"";"";""
3;"A";"2018-08-17 10:48:08";"2018-08-17 10:48:08";"2018-08-17 10:52:39";"WorkerA_#0";NA;"";"";""
3;"Batch Activity";"2018-08-17 10:52:38";"2018-08-17 10:52:38";"2018-08-17 11:14:55";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
3;"B";"2018-08-17 10:59:45";"2018-08-17 10:59:45";"2018-08-17 11:02:17";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:52:38"
3;"C";"2018-08-17 11:11:23";"2018-08-17 11:11:23";"2018-08-17 11:14:55";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:16"
3;"D";"2018-08-17 11:14:55";"2018-08-17 11:17:22";"2018-08-17 11:18:53";"WorkerD_#1";NA;"";"";""
3;"E";"2018-08-17 11:18:53";"2018-08-17 11:20:02";"2018-08-17 11:21:33";"WorkerE_#0";NA;"";"";""
3;"F";"2018-08-17 11:21:33";"2018-08-17 11:22:29";"2018-08-17 11:24:00";"WorkerF_#1";NA;"";"";""
