"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:30:36";"WorkerA_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:30:35";"2018-08-17 10:51:58";"2018-08-17 11:12:55";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"B";"2018-08-17 10:51:58";"2018-08-17 10:51:58";"2018-08-17 10:55:34";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:30:35"
1;"C";"2018-08-17 10:55:33";"2018-08-17 10:55:33";"2018-08-17 11:00:09";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"D";"2018-08-17 11:12:55";"2018-08-17 11:12:55";"2018-08-17 11:15:30";"WorkerD_#0";NA;"";"";""
1;"E";"2018-08-17 11:15:30";"2018-08-17 11:15:30";"2018-08-17 11:17:04";"WorkerE_#1";NA;"";"";""
1;"F";"2018-08-17 11:17:04";"2018-08-17 11:17:04";"2018-08-17 11:18:38";"WorkerF_#1";NA;"";"";""
1;"G";"2018-08-17 11:18:38";"2018-08-17 11:18:38";"2018-08-17 11:21:13";"WorkerG_#0";NA;"";"";""
1;"H";"2018-08-17 11:21:13";"2018-08-17 11:21:13";"2018-08-17 11:23:48";"WorkerH_#0";NA;"";"";""
2;"A";"2018-08-17 10:36:36";"2018-08-17 10:36:36";"2018-08-17 10:41:10";"WorkerA_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:41:09";"2018-08-17 10:51:58";"2018-08-17 11:12:55";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
2;"B";"2018-08-17 11:00:08";"2018-08-17 11:00:08";"2018-08-17 11:02:43";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:41:09"
2;"C";"2018-08-17 11:02:42";"2018-08-17 11:02:42";"2018-08-17 11:06:17";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
2;"D";"2018-08-17 11:12:55";"2018-08-17 11:12:55";"2018-08-17 11:14:29";"WorkerD_#1";NA;"";"";""
2;"E";"2018-08-17 11:14:29";"2018-08-17 11:14:29";"2018-08-17 11:17:04";"WorkerE_#0";NA;"";"";""
2;"F";"2018-08-17 11:17:04";"2018-08-17 11:17:04";"2018-08-17 11:19:39";"WorkerF_#0";NA;"";"";""
2;"G";"2018-08-17 11:19:39";"2018-08-17 11:19:39";"2018-08-17 11:21:13";"WorkerG_#1";NA;"";"";""
2;"H";"2018-08-17 11:21:13";"2018-08-17 11:21:13";"2018-08-17 11:22:47";"WorkerH_#1";NA;"";"";""
3;"A";"2018-08-17 10:47:10";"2018-08-17 10:47:10";"2018-08-17 10:51:59";"WorkerA_#0";NA;"";"";""
3;"Batch Activity";"2018-08-17 10:51:58";"2018-08-17 10:51:58";"2018-08-17 11:12:55";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
3;"B";"2018-08-17 11:06:16";"2018-08-17 11:06:16";"2018-08-17 11:09:06";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:51:58"
3;"C";"2018-08-17 11:09:05";"2018-08-17 11:09:05";"2018-08-17 11:12:55";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
3;"D";"2018-08-17 11:12:55";"2018-08-17 11:14:29";"2018-08-17 11:16:18";"WorkerD_#1";NA;"";"";""
3;"E";"2018-08-17 11:16:18";"2018-08-17 11:17:04";"2018-08-17 11:18:53";"WorkerE_#0";NA;"";"";""
3;"F";"2018-08-17 11:18:53";"2018-08-17 11:18:53";"2018-08-17 11:20:42";"WorkerF_#1";NA;"";"";""
3;"G";"2018-08-17 11:20:42";"2018-08-17 11:21:13";"2018-08-17 11:23:02";"WorkerG_#0";NA;"";"";""
3;"H";"2018-08-17 11:23:02";"2018-08-17 11:23:02";"2018-08-17 11:24:51";"WorkerH_#1";NA;"";"";""
4;"A";"2018-08-17 10:57:59";"2018-08-17 10:57:59";"2018-08-17 11:02:05";"WorkerA_#1";NA;"";"";""
4;"Batch Activity";"2018-08-17 11:02:04";"2018-08-17 11:22:56";"2018-08-17 11:39:53";"";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
4;"B";"2018-08-17 11:22:56";"2018-08-17 11:22:56";"2018-08-17 11:25:03";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:02:04"
4;"C";"2018-08-17 11:25:02";"2018-08-17 11:25:02";"2018-08-17 11:28:09";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
4;"D";"2018-08-17 11:39:53";"2018-08-17 11:39:53";"2018-08-17 11:40:59";"WorkerD_#0";NA;"";"";""
4;"E";"2018-08-17 11:40:59";"2018-08-17 11:40:59";"2018-08-17 11:42:05";"WorkerE_#1";NA;"";"";""
4;"F";"2018-08-17 11:42:05";"2018-08-17 11:42:05";"2018-08-17 11:43:11";"WorkerF_#0";NA;"";"";""
4;"G";"2018-08-17 11:43:11";"2018-08-17 11:43:11";"2018-08-17 11:44:17";"WorkerG_#1";NA;"";"";""
4;"H";"2018-08-17 11:44:17";"2018-08-17 11:44:17";"2018-08-17 11:45:23";"WorkerH_#0";NA;"";"";""
5;"A";"2018-08-17 11:08:05";"2018-08-17 11:08:05";"2018-08-17 11:12:15";"WorkerA_#0";NA;"";"";""
5;"Batch Activity";"2018-08-17 11:12:14";"2018-08-17 11:22:56";"2018-08-17 11:39:53";"";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
5;"B";"2018-08-17 11:28:08";"2018-08-17 11:28:08";"2018-08-17 11:30:19";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:12:14"
5;"C";"2018-08-17 11:30:18";"2018-08-17 11:30:18";"2018-08-17 11:33:29";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
5;"D";"2018-08-17 11:39:53";"2018-08-17 11:39:53";"2018-08-17 11:41:03";"WorkerD_#1";NA;"";"";""
5;"E";"2018-08-17 11:41:03";"2018-08-17 11:41:03";"2018-08-17 11:42:13";"WorkerE_#0";NA;"";"";""
5;"F";"2018-08-17 11:42:13";"2018-08-17 11:42:13";"2018-08-17 11:43:23";"WorkerF_#1";NA;"";"";""
5;"G";"2018-08-17 11:43:23";"2018-08-17 11:43:23";"2018-08-17 11:44:33";"WorkerG_#0";NA;"";"";""
5;"H";"2018-08-17 11:44:33";"2018-08-17 11:44:33";"2018-08-17 11:45:43";"WorkerH_#1";NA;"";"";""
6;"A";"2018-08-17 11:18:15";"2018-08-17 11:18:15";"2018-08-17 11:22:57";"WorkerA_#1";NA;"";"";""
6;"Batch Activity";"2018-08-17 11:22:56";"2018-08-17 11:22:56";"2018-08-17 11:39:53";"";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
6;"B";"2018-08-17 11:33:28";"2018-08-17 11:33:28";"2018-08-17 11:36:11";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:22:56"
6;"C";"2018-08-17 11:36:10";"2018-08-17 11:36:10";"2018-08-17 11:39:53";"WorkerB_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
6;"D";"2018-08-17 11:39:53";"2018-08-17 11:40:59";"2018-08-17 11:42:41";"WorkerD_#0";NA;"";"";""
6;"E";"2018-08-17 11:42:41";"2018-08-17 11:42:41";"2018-08-17 11:44:23";"WorkerE_#1";NA;"";"";""
6;"F";"2018-08-17 11:44:23";"2018-08-17 11:44:23";"2018-08-17 11:46:05";"WorkerF_#0";NA;"";"";""
