Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:34;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:30:34;2018-08-17 10:52:32;2018-08-17 11:00:38;;1;BatchSubProcess;PARALLEL;
1;B;2018-08-17 10:52:32;2018-08-17 10:52:32;2018-08-17 10:56:05;WorkerB_#0;1;BatchSubProcess;PARALLEL;
1;C;2018-08-17 10:56:05;2018-08-17 10:56:05;2018-08-17 11:00:38;WorkerC_#0;1;BatchSubProcess;PARALLEL;
1;D;2018-08-17 11:00:38;2018-08-17 11:00:38;2018-08-17 11:03:11;WorkerD_#0;;;;
1;E;2018-08-17 11:03:11;2018-08-17 11:03:11;2018-08-17 11:05:22;WorkerE_#1;;;;
1;F;2018-08-17 11:05:22;2018-08-17 11:05:22;2018-08-17 11:07:33;WorkerF_#1;;;;
1;G;2018-08-17 11:07:33;2018-08-17 11:07:33;2018-08-17 11:10:06;WorkerG_#0;;;;
1;H;2018-08-17 11:10:06;2018-08-17 11:10:06;2018-08-17 11:12:39;WorkerH_#0;;;;
2;A;2018-08-17 10:36:34;2018-08-17 10:36:34;2018-08-17 10:41:45;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:41:45;2018-08-17 10:52:32;2018-08-17 11:00:38;;1;BatchSubProcess;PARALLEL;
2;B;2018-08-17 10:52:32;2018-08-17 10:52:32;2018-08-17 10:56:05;WorkerB_#0;1;BatchSubProcess;PARALLEL;
2;C;2018-08-17 10:56:05;2018-08-17 10:56:05;2018-08-17 11:00:38;WorkerC_#0;1;BatchSubProcess;PARALLEL;
2;D;2018-08-17 11:00:38;2018-08-17 11:00:38;2018-08-17 11:02:49;WorkerD_#1;;;;
2;E;2018-08-17 11:02:49;2018-08-17 11:02:49;2018-08-17 11:05:22;WorkerE_#0;;;;
2;F;2018-08-17 11:05:22;2018-08-17 11:05:22;2018-08-17 11:07:55;WorkerF_#0;;;;
2;G;2018-08-17 11:07:55;2018-08-17 11:07:55;2018-08-17 11:10:06;WorkerG_#1;;;;
2;H;2018-08-17 11:10:06;2018-08-17 11:10:06;2018-08-17 11:12:17;WorkerH_#1;;;;
3;A;2018-08-17 10:47:45;2018-08-17 10:47:45;2018-08-17 10:52:32;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:52:32;2018-08-17 10:52:32;2018-08-17 11:00:38;;1;BatchSubProcess;PARALLEL;
3;B;2018-08-17 10:52:32;2018-08-17 10:52:32;2018-08-17 10:56:05;WorkerB_#0;1;BatchSubProcess;PARALLEL;
3;C;2018-08-17 10:56:05;2018-08-17 10:56:05;2018-08-17 11:00:38;WorkerC_#0;1;BatchSubProcess;PARALLEL;
3;D;2018-08-17 11:00:38;2018-08-17 11:02:49;2018-08-17 11:04:36;WorkerD_#1;;;;
3;E;2018-08-17 11:04:36;2018-08-17 11:05:22;2018-08-17 11:07:09;WorkerE_#0;;;;
3;F;2018-08-17 11:07:09;2018-08-17 11:07:33;2018-08-17 11:09:20;WorkerF_#1;;;;
3;G;2018-08-17 11:09:20;2018-08-17 11:10:06;2018-08-17 11:11:53;WorkerG_#0;;;;
3;H;2018-08-17 11:11:53;2018-08-17 11:12:17;2018-08-17 11:14:04;WorkerH_#1;;;;
4;A;2018-08-17 10:58:32;2018-08-17 10:58:32;2018-08-17 11:04:13;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:04:13;2018-08-17 11:26:25;2018-08-17 11:33:47;;2;BatchSubProcess;PARALLEL;
4;B;2018-08-17 11:26:25;2018-08-17 11:26:25;2018-08-17 11:29:36;WorkerB_#1;2;BatchSubProcess;PARALLEL;
4;C;2018-08-17 11:29:36;2018-08-17 11:29:36;2018-08-17 11:33:47;WorkerC_#1;2;BatchSubProcess;PARALLEL;
4;D;2018-08-17 11:33:47;2018-08-17 11:33:47;2018-08-17 11:36:28;WorkerD_#0;;;;
4;E;2018-08-17 11:36:28;2018-08-17 11:36:28;2018-08-17 11:39:09;WorkerE_#1;;;;
4;F;2018-08-17 11:39:09;2018-08-17 11:39:09;2018-08-17 11:41:50;WorkerF_#0;;;;
4;G;2018-08-17 11:41:50;2018-08-17 11:41:50;2018-08-17 11:44:31;WorkerG_#1;;;;
4;H;2018-08-17 11:44:31;2018-08-17 11:44:31;2018-08-17 11:47:12;WorkerH_#0;;;;
5;A;2018-08-17 11:10:13;2018-08-17 11:10:13;2018-08-17 11:15:56;WorkerA_#0;;;;
5;Batch Activity;2018-08-17 11:15:56;2018-08-17 11:26:25;2018-08-17 11:33:47;;2;BatchSubProcess;PARALLEL;
5;B;2018-08-17 11:26:25;2018-08-17 11:26:25;2018-08-17 11:29:36;WorkerB_#1;2;BatchSubProcess;PARALLEL;
5;C;2018-08-17 11:29:36;2018-08-17 11:29:36;2018-08-17 11:33:47;WorkerC_#1;2;BatchSubProcess;PARALLEL;
5;D;2018-08-17 11:33:47;2018-08-17 11:33:47;2018-08-17 11:36:30;WorkerD_#1;;;;
5;E;2018-08-17 11:36:30;2018-08-17 11:36:30;2018-08-17 11:39:13;WorkerE_#0;;;;
5;F;2018-08-17 11:39:13;2018-08-17 11:39:13;2018-08-17 11:41:56;WorkerF_#1;;;;
5;G;2018-08-17 11:41:56;2018-08-17 11:41:56;2018-08-17 11:44:39;WorkerG_#0;;;;
5;H;2018-08-17 11:44:39;2018-08-17 11:44:39;2018-08-17 11:47:22;WorkerH_#1;;;;
6;A;2018-08-17 11:21:56;2018-08-17 11:21:56;2018-08-17 11:26:25;WorkerA_#1;;;;
6;Batch Activity;2018-08-17 11:26:25;2018-08-17 11:26:25;2018-08-17 11:33:47;;2;BatchSubProcess;PARALLEL;
6;B;2018-08-17 11:26:25;2018-08-17 11:26:25;2018-08-17 11:29:36;WorkerB_#1;2;BatchSubProcess;PARALLEL;
6;C;2018-08-17 11:29:36;2018-08-17 11:29:36;2018-08-17 11:33:47;WorkerC_#1;2;BatchSubProcess;PARALLEL;
6;D;2018-08-17 11:33:47;2018-08-17 11:36:28;2018-08-17 11:37:57;WorkerD_#0;;;;
6;E;2018-08-17 11:37:57;2018-08-17 11:39:09;2018-08-17 11:40:38;WorkerE_#1;;;;
6;F;2018-08-17 11:40:38;2018-08-17 11:41:50;2018-08-17 11:43:19;WorkerF_#0;;;;
6;G;2018-08-17 11:43:19;2018-08-17 11:44:31;2018-08-17 11:46:00;WorkerG_#1;;;;
6;H;2018-08-17 11:46:00;2018-08-17 11:47:12;2018-08-17 11:48:41;WorkerH_#0;;;;
7;A;2018-08-17 11:32:25;2018-08-17 11:32:25;2018-08-17 11:36:56;WorkerA_#0;;;;
7;Batch Activity;2018-08-17 11:36:56;2018-08-17 11:57:17;2018-08-17 12:03:51;;3;BatchSubProcess;PARALLEL;
7;B;2018-08-17 11:57:17;2018-08-17 11:57:17;2018-08-17 12:00:04;WorkerB_#0;3;BatchSubProcess;PARALLEL;
7;C;2018-08-17 12:00:04;2018-08-17 12:00:04;2018-08-17 12:03:51;WorkerC_#0;3;BatchSubProcess;PARALLEL;
7;D;2018-08-17 12:03:51;2018-08-17 12:03:51;2018-08-17 12:05:22;WorkerD_#1;;;;
7;E;2018-08-17 12:05:22;2018-08-17 12:05:22;2018-08-17 12:06:22;WorkerE_#1;;;;
7;F;2018-08-17 12:06:22;2018-08-17 12:06:22;2018-08-17 12:07:22;WorkerF_#0;;;;
7;G;2018-08-17 12:07:22;2018-08-17 12:07:22;2018-08-17 12:08:53;WorkerG_#0;;;;
7;H;2018-08-17 12:08:53;2018-08-17 12:08:53;2018-08-17 12:10:24;WorkerH_#1;;;;
8;A;2018-08-17 11:42:56;2018-08-17 11:42:56;2018-08-17 11:46:56;WorkerA_#1;;;;
8;Batch Activity;2018-08-17 11:46:56;2018-08-17 11:57:17;2018-08-17 12:03:51;;3;BatchSubProcess;PARALLEL;
8;B;2018-08-17 11:57:17;2018-08-17 11:57:17;2018-08-17 12:00:04;WorkerB_#0;3;BatchSubProcess;PARALLEL;
8;C;2018-08-17 12:00:04;2018-08-17 12:00:04;2018-08-17 12:03:51;WorkerC_#0;3;BatchSubProcess;PARALLEL;
8;D;2018-08-17 12:03:51;2018-08-17 12:03:51;2018-08-17 12:04:51;WorkerD_#0;;;;
8;E;2018-08-17 12:04:51;2018-08-17 12:04:51;2018-08-17 12:06:22;WorkerE_#0;;;;
8;F;2018-08-17 12:06:22;2018-08-17 12:06:22;2018-08-17 12:07:53;WorkerF_#1;;;;
8;G;2018-08-17 12:07:53;2018-08-17 12:07:53;2018-08-17 12:08:53;WorkerG_#1;;;;
8;H;2018-08-17 12:08:53;2018-08-17 12:08:53;2018-08-17 12:09:53;WorkerH_#0;;;;
9;A;2018-08-17 11:52:56;2018-08-17 11:52:56;2018-08-17 11:57:17;WorkerA_#0;;;;
9;Batch Activity;2018-08-17 11:57:17;2018-08-17 11:57:17;2018-08-17 12:03:51;;3;BatchSubProcess;PARALLEL;
9;B;2018-08-17 11:57:17;2018-08-17 11:57:17;2018-08-17 12:00:04;WorkerB_#0;3;BatchSubProcess;PARALLEL;
9;C;2018-08-17 12:00:04;2018-08-17 12:00:04;2018-08-17 12:03:51;WorkerC_#0;3;BatchSubProcess;PARALLEL;
9;D;2018-08-17 12:03:51;2018-08-17 12:04:51;2018-08-17 12:06:12;WorkerD_#0;;;;
9;E;2018-08-17 12:06:12;2018-08-17 12:06:22;2018-08-17 12:07:43;WorkerE_#0;;;;
9;F;2018-08-17 12:07:43;2018-08-17 12:07:43;2018-08-17 12:09:04;WorkerF_#0;;;;
9;G;2018-08-17 12:09:04;2018-08-17 12:09:04;2018-08-17 12:10:25;WorkerG_#0;;;;
9;H;2018-08-17 12:10:25;2018-08-17 12:10:25;2018-08-17 12:11:46;WorkerH_#0;;;;
10;A;2018-08-17 12:03:17;2018-08-17 12:03:17;2018-08-17 12:07:43;WorkerA_#1;;;;
10;Batch Activity;2018-08-17 12:07:43;2018-08-17 12:29:52;2018-08-17 12:38:14;;4;BatchSubProcess;PARALLEL;
10;B;2018-08-17 12:29:52;2018-08-17 12:29:52;2018-08-17 12:33:33;WorkerB_#1;4;BatchSubProcess;PARALLEL;
10;C;2018-08-17 12:33:33;2018-08-17 12:33:33;2018-08-17 12:38:14;WorkerC_#1;4;BatchSubProcess;PARALLEL;
10;D;2018-08-17 12:38:14;2018-08-17 12:38:14;2018-08-17 12:39:40;WorkerD_#1;;;;
10;E;2018-08-17 12:39:40;2018-08-17 12:39:40;2018-08-17 12:41:06;WorkerE_#1;;;;
10;F;2018-08-17 12:41:06;2018-08-17 12:41:06;2018-08-17 12:42:32;WorkerF_#1;;;;
10;G;2018-08-17 12:42:32;2018-08-17 12:42:32;2018-08-17 12:43:58;WorkerG_#1;;;;
10;H;2018-08-17 12:43:58;2018-08-17 12:43:58;2018-08-17 12:45:24;WorkerH_#1;;;;
11;A;2018-08-17 12:13:43;2018-08-17 12:13:43;2018-08-17 12:19:03;WorkerA_#0;;;;
11;Batch Activity;2018-08-17 12:19:03;2018-08-17 12:29:52;2018-08-17 12:38:14;;4;BatchSubProcess;PARALLEL;
11;B;2018-08-17 12:29:52;2018-08-17 12:29:52;2018-08-17 12:33:33;WorkerB_#1;4;BatchSubProcess;PARALLEL;
11;C;2018-08-17 12:33:33;2018-08-17 12:33:33;2018-08-17 12:38:14;WorkerC_#1;4;BatchSubProcess;PARALLEL;
11;D;2018-08-17 12:38:14;2018-08-17 12:38:14;2018-08-17 12:40:34;WorkerD_#0;;;;
11;E;2018-08-17 12:40:34;2018-08-17 12:40:34;2018-08-17 12:42:54;WorkerE_#0;;;;
11;F;2018-08-17 12:42:54;2018-08-17 12:42:54;2018-08-17 12:45:14;WorkerF_#0;;;;
11;G;2018-08-17 12:45:14;2018-08-17 12:45:14;2018-08-17 12:47:03;WorkerG_#1;;;;
11;H;2018-08-17 12:47:03;2018-08-17 12:47:03;2018-08-17 12:49:23;WorkerH_#0;;;;
12;A;2018-08-17 12:25:03;2018-08-17 12:25:03;2018-08-17 12:29:52;WorkerA_#1;;;;
12;Batch Activity;2018-08-17 12:29:52;2018-08-17 12:29:52;2018-08-17 12:38:14;;4;BatchSubProcess;PARALLEL;
12;B;2018-08-17 12:29:52;2018-08-17 12:29:52;2018-08-17 12:33:33;WorkerB_#1;4;BatchSubProcess;PARALLEL;
12;C;2018-08-17 12:33:33;2018-08-17 12:33:33;2018-08-17 12:38:14;WorkerC_#1;4;BatchSubProcess;PARALLEL;
12;D;2018-08-17 12:38:14;2018-08-17 12:39:40;2018-08-17 12:41:29;WorkerD_#1;;;;
12;E;2018-08-17 12:41:29;2018-08-17 12:41:29;2018-08-17 12:43:18;WorkerE_#1;;;;
12;F;2018-08-17 12:43:18;2018-08-17 12:43:18;2018-08-17 12:45:07;WorkerF_#1;;;;
12;G;2018-08-17 12:45:07;2018-08-17 12:45:07;2018-08-17 12:47:27;WorkerG_#0;;;;
12;H;2018-08-17 12:47:27;2018-08-17 12:47:27;2018-08-17 12:49:16;WorkerH_#1;;;;
