Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:36;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:30:36;2018-08-17 10:51:59;2018-08-17 11:12:55;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;B;2018-08-17 10:51:59;2018-08-17 10:51:59;2018-08-17 10:55:34;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:30:36
1;C;2018-08-17 10:55:34;2018-08-17 10:55:34;2018-08-17 11:00:09;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;D;2018-08-17 11:12:55;2018-08-17 11:12:55;2018-08-17 11:15:30;WorkerD_#0;;;;
1;E;2018-08-17 11:15:30;2018-08-17 11:15:30;2018-08-17 11:17:04;WorkerE_#1;;;;
1;F;2018-08-17 11:17:04;2018-08-17 11:17:04;2018-08-17 11:18:38;WorkerF_#1;;;;
1;G;2018-08-17 11:18:38;2018-08-17 11:18:38;2018-08-17 11:21:13;WorkerG_#0;;;;
1;H;2018-08-17 11:21:13;2018-08-17 11:21:13;2018-08-17 11:23:48;WorkerH_#0;;;;
2;A;2018-08-17 10:36:36;2018-08-17 10:36:36;2018-08-17 10:41:10;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:41:10;2018-08-17 10:51:59;2018-08-17 11:12:55;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;B;2018-08-17 11:00:09;2018-08-17 11:00:09;2018-08-17 11:02:43;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:41:10
2;C;2018-08-17 11:02:43;2018-08-17 11:02:43;2018-08-17 11:06:17;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;D;2018-08-17 11:12:55;2018-08-17 11:12:55;2018-08-17 11:14:29;WorkerD_#1;;;;
2;E;2018-08-17 11:14:29;2018-08-17 11:14:29;2018-08-17 11:17:04;WorkerE_#0;;;;
2;F;2018-08-17 11:17:04;2018-08-17 11:17:04;2018-08-17 11:19:39;WorkerF_#0;;;;
2;G;2018-08-17 11:19:39;2018-08-17 11:19:39;2018-08-17 11:21:13;WorkerG_#1;;;;
2;H;2018-08-17 11:21:13;2018-08-17 11:21:13;2018-08-17 11:22:47;WorkerH_#1;;;;
3;A;2018-08-17 10:47:10;2018-08-17 10:47:10;2018-08-17 10:51:59;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:51:59;2018-08-17 10:51:59;2018-08-17 11:12:55;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
3;B;2018-08-17 11:06:17;2018-08-17 11:06:17;2018-08-17 11:09:06;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:51:59
3;C;2018-08-17 11:09:06;2018-08-17 11:09:06;2018-08-17 11:12:55;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
3;D;2018-08-17 11:12:55;2018-08-17 11:14:29;2018-08-17 11:16:18;WorkerD_#1;;;;
3;E;2018-08-17 11:16:18;2018-08-17 11:17:04;2018-08-17 11:18:53;WorkerE_#0;;;;
3;F;2018-08-17 11:18:53;2018-08-17 11:18:53;2018-08-17 11:20:42;WorkerF_#1;;;;
3;G;2018-08-17 11:20:42;2018-08-17 11:21:13;2018-08-17 11:23:02;WorkerG_#0;;;;
3;H;2018-08-17 11:23:02;2018-08-17 11:23:02;2018-08-17 11:24:51;WorkerH_#1;;;;
4;A;2018-08-17 10:57:59;2018-08-17 10:57:59;2018-08-17 11:02:05;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:02:05;2018-08-17 11:22:57;2018-08-17 11:39:53;;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
