"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:29:12";"WorkerA_#0";NA;"";"";""
1;"B";"2018-08-17 10:29:12";"2018-08-17 10:29:12";"2018-08-17 10:31:23";"WorkerB_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:31:22";"2018-08-17 10:54:46";"2018-08-17 11:09:09";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"D";"2018-08-17 10:54:46";"2018-08-17 10:54:46";"2018-08-17 10:58:58";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:31:22"
1;"E";"2018-08-17 11:09:09";"2018-08-17 11:09:09";"2018-08-17 11:10:20";"WorkerE_#0";NA;"";"";""
1;"F";"2018-08-17 11:10:20";"2018-08-17 11:10:20";"2018-08-17 11:11:31";"WorkerF_#0";NA;"";"";""
1;"G";"2018-08-17 11:11:31";"2018-08-17 11:11:31";"2018-08-17 11:12:42";"WorkerG_#0";NA;"";"";""
1;"H";"2018-08-17 11:12:42";"2018-08-17 11:12:42";"2018-08-17 11:13:53";"WorkerH_#0";NA;"";"";""
2;"A";"2018-08-17 10:35:12";"2018-08-17 10:35:12";"2018-08-17 10:39:59";"WorkerA_#1";NA;"";"";""
2;"B";"2018-08-17 10:39:59";"2018-08-17 10:39:59";"2018-08-17 10:42:46";"WorkerB_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:42:45";"2018-08-17 10:54:46";"2018-08-17 11:09:09";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
2;"D";"2018-08-17 10:58:57";"2018-08-17 10:58:57";"2018-08-17 11:03:45";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:42:45"
