"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:30:26";"WorkerA_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:30:25";"2018-08-17 10:52:38";"2018-08-17 11:14:55";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
1;"B";"2018-08-17 10:52:38";"2018-08-17 10:52:38";"2018-08-17 10:56:04";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:30:25"
1;"C";"2018-08-17 11:02:16";"2018-08-17 11:02:16";"2018-08-17 11:06:42";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:16"
1;"E";"2018-08-17 11:14:55";"2018-08-17 11:14:55";"2018-08-17 11:17:20";"WorkerE_#0";NA;"";"";""
1;"F";"2018-08-17 11:17:20";"2018-08-17 11:17:20";"2018-08-17 11:19:45";"WorkerF_#0";NA;"";"";""
1;"G";"2018-08-17 11:19:45";"2018-08-17 11:19:45";"2018-08-17 11:22:10";"WorkerG_#0";NA;"";"";""
1;"H";"2018-08-17 11:22:10";"2018-08-17 11:22:10";"2018-08-17 11:24:35";"WorkerH_#0";NA;"";"";""
2;"A";"2018-08-17 10:36:26";"2018-08-17 10:36:26";"2018-08-17 10:41:54";"WorkerA_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:41:53";"2018-08-17 10:52:38";"2018-08-17 11:14:55";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
2;"B";"2018-08-17 10:56:03";"2018-08-17 10:56:03";"2018-08-17 10:59:32";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:41:53"
2;"C";"2018-08-17 11:06:41";"2018-08-17 11:06:41";"2018-08-17 11:11:10";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:16"
2;"E";"2018-08-17 11:14:55";"2018-08-17 11:14:55";"2018-08-17 11:17:23";"WorkerE_#1";NA;"";"";""
2;"F";"2018-08-17 11:17:23";"2018-08-17 11:17:23";"2018-08-17 11:19:51";"WorkerF_#1";NA;"";"";""
2;"G";"2018-08-17 11:19:51";"2018-08-17 11:19:51";"2018-08-17 11:22:19";"WorkerG_#1";NA;"";"";""
2;"H";"2018-08-17 11:22:19";"2018-08-17 11:22:19";"2018-08-17 11:24:47";"WorkerH_#1";NA;"";"";""
