Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:01;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:30:01;2018-08-17 10:53:18;2018-08-17 11:00:18;;1;BatchSubProcess;PARALLEL;
1;B;2018-08-17 10:53:18;2018-08-17 10:53:18;2018-08-17 10:56:18;WorkerB_#0;1;BatchSubProcess;PARALLEL;
1;C;2018-08-17 10:56:18;2018-08-17 10:56:18;2018-08-17 11:00:18;WorkerC_#0;1;BatchSubProcess;PARALLEL;
1;E;2018-08-17 11:00:18;2018-08-17 11:00:18;2018-08-17 11:02:18;WorkerE_#0;;;;
1;F;2018-08-17 11:02:18;2018-08-17 11:02:18;2018-08-17 11:04:18;WorkerF_#0;;;;
1;G;2018-08-17 11:04:18;2018-08-17 11:04:18;2018-08-17 11:06:18;WorkerG_#0;;;;
1;H;2018-08-17 11:06:18;2018-08-17 11:06:18;2018-08-17 11:08:18;WorkerH_#0;;;;
2;A;2018-08-17 10:36:01;2018-08-17 10:36:01;2018-08-17 10:41:45;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:41:45;2018-08-17 10:53:18;2018-08-17 11:00:18;;1;BatchSubProcess;PARALLEL;
2;B;2018-08-17 10:53:18;2018-08-17 10:53:18;2018-08-17 10:56:18;WorkerB_#0;1;BatchSubProcess;PARALLEL;
2;C;2018-08-17 10:56:18;2018-08-17 10:56:18;2018-08-17 11:00:18;WorkerC_#0;1;BatchSubProcess;PARALLEL;
2;E;2018-08-17 11:00:18;2018-08-17 11:00:18;2018-08-17 11:03:02;WorkerE_#1;;;;
2;F;2018-08-17 11:03:02;2018-08-17 11:03:02;2018-08-17 11:05:46;WorkerF_#1;;;;
2;G;2018-08-17 11:05:46;2018-08-17 11:05:46;2018-08-17 11:08:30;WorkerG_#1;;;;
2;H;2018-08-17 11:08:30;2018-08-17 11:08:30;2018-08-17 11:11:14;WorkerH_#1;;;;
3;A;2018-08-17 10:47:45;2018-08-17 10:47:45;2018-08-17 10:53:18;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:53:18;2018-08-17 10:53:18;2018-08-17 11:00:18;;1;BatchSubProcess;PARALLEL;
3;B;2018-08-17 10:53:18;2018-08-17 10:53:18;2018-08-17 10:56:18;WorkerB_#0;1;BatchSubProcess;PARALLEL;
3;C;2018-08-17 10:56:18;2018-08-17 10:56:18;2018-08-17 11:00:18;WorkerC_#0;1;BatchSubProcess;PARALLEL;
3;E;2018-08-17 11:00:18;2018-08-17 11:02:18;2018-08-17 11:04:51;WorkerE_#0;;;;
3;F;2018-08-17 11:04:51;2018-08-17 11:04:51;2018-08-17 11:07:24;WorkerF_#0;;;;
3;G;2018-08-17 11:07:24;2018-08-17 11:07:24;2018-08-17 11:09:57;WorkerG_#0;;;;
3;H;2018-08-17 11:09:57;2018-08-17 11:09:57;2018-08-17 11:12:30;WorkerH_#0;;;;
4;A;2018-08-17 10:59:18;2018-08-17 10:59:18;2018-08-17 11:03:36;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:03:36;2018-08-17 11:25:35;2018-08-17 11:34:03;;2;BatchSubProcess;PARALLEL;
4;B;2018-08-17 11:25:35;2018-08-17 11:25:35;2018-08-17 11:29:19;WorkerB_#1;2;BatchSubProcess;PARALLEL;
4;C;2018-08-17 11:29:19;2018-08-17 11:29:19;2018-08-17 11:34:03;WorkerC_#1;2;BatchSubProcess;PARALLEL;
4;E;2018-08-17 11:34:03;2018-08-17 11:34:03;2018-08-17 11:35:21;WorkerE_#1;;;;
4;F;2018-08-17 11:35:21;2018-08-17 11:35:21;2018-08-17 11:36:38;WorkerF_#0;;;;
4;G;2018-08-17 11:36:38;2018-08-17 11:36:38;2018-08-17 11:37:55;WorkerG_#0;;;;
4;H;2018-08-17 11:37:55;2018-08-17 11:37:55;2018-08-17 11:39:13;WorkerH_#1;;;;
5;A;2018-08-17 11:09:36;2018-08-17 11:09:36;2018-08-17 11:13:53;WorkerA_#0;;;;
