Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:29:40;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:29:40;2018-08-17 10:52:09;2018-08-17 11:16:25;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;B;2018-08-17 10:52:09;2018-08-17 10:52:09;2018-08-17 10:54:48;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:29:40
1;D;2018-08-17 10:54:48;2018-08-17 10:54:48;2018-08-17 10:59:27;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;E;2018-08-17 11:16:25;2018-08-17 11:16:25;2018-08-17 11:18:04;WorkerE_#0;;;;
1;F;2018-08-17 11:18:04;2018-08-17 11:18:04;2018-08-17 11:19:43;WorkerF_#0;;;;
1;G;2018-08-17 11:19:43;2018-08-17 11:19:43;2018-08-17 11:21:22;WorkerG_#0;;;;
1;H;2018-08-17 11:21:22;2018-08-17 11:21:22;2018-08-17 11:23:01;WorkerH_#0;;;;
2;A;2018-08-17 10:35:40;2018-08-17 10:35:40;2018-08-17 10:41:27;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:41:27;2018-08-17 10:52:09;2018-08-17 11:16:25;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;B;2018-08-17 10:59:27;2018-08-17 10:59:27;2018-08-17 11:03:14;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:41:27
2;D;2018-08-17 11:03:14;2018-08-17 11:03:14;2018-08-17 11:09:01;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;E;2018-08-17 11:16:25;2018-08-17 11:16:25;2018-08-17 11:19:12;WorkerE_#1;;;;
