Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:26;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:30:26;2018-08-17 10:52:39;2018-08-17 11:14:55;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
1;B;2018-08-17 10:52:39;2018-08-17 10:52:39;2018-08-17 10:56:04;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:30:26
1;C;2018-08-17 11:02:17;2018-08-17 11:02:17;2018-08-17 11:06:42;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:02:17
1;E;2018-08-17 11:14:55;2018-08-17 11:14:55;2018-08-17 11:17:20;WorkerE_#0;;;;
1;F;2018-08-17 11:17:20;2018-08-17 11:17:20;2018-08-17 11:19:45;WorkerF_#0;;;;
1;G;2018-08-17 11:19:45;2018-08-17 11:19:45;2018-08-17 11:22:10;WorkerG_#0;;;;
1;H;2018-08-17 11:22:10;2018-08-17 11:22:10;2018-08-17 11:24:35;WorkerH_#0;;;;
2;A;2018-08-17 10:36:26;2018-08-17 10:36:26;2018-08-17 10:41:54;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:41:54;2018-08-17 10:52:39;2018-08-17 11:14:55;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
2;B;2018-08-17 10:56:04;2018-08-17 10:56:04;2018-08-17 10:59:32;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:41:54
2;C;2018-08-17 11:06:42;2018-08-17 11:06:42;2018-08-17 11:11:10;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:02:17
2;E;2018-08-17 11:14:55;2018-08-17 11:14:55;2018-08-17 11:17:23;WorkerE_#1;;;;
2;F;2018-08-17 11:17:23;2018-08-17 11:17:23;2018-08-17 11:19:51;WorkerF_#1;;;;
2;G;2018-08-17 11:19:51;2018-08-17 11:19:51;2018-08-17 11:22:19;WorkerG_#1;;;;
2;H;2018-08-17 11:22:19;2018-08-17 11:22:19;2018-08-17 11:24:47;WorkerH_#1;;;;
3;A;2018-08-17 10:47:54;2018-08-17 10:47:54;2018-08-17 10:52:39;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:52:39;2018-08-17 10:52:39;2018-08-17 11:14:55;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
3;B;2018-08-17 10:59:32;2018-08-17 10:59:32;2018-08-17 11:02:17;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:52:39
3;C;2018-08-17 11:11:10;2018-08-17 11:11:10;2018-08-17 11:14:55;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:02:17
3;E;2018-08-17 11:14:55;2018-08-17 11:17:20;2018-08-17 11:19:05;WorkerE_#0;;;;
3;F;2018-08-17 11:19:05;2018-08-17 11:19:45;2018-08-17 11:21:30;WorkerF_#0;;;;
3;G;2018-08-17 11:21:30;2018-08-17 11:22:10;2018-08-17 11:23:55;WorkerG_#0;;;;
3;H;2018-08-17 11:23:55;2018-08-17 11:24:35;2018-08-17 11:26:20;WorkerH_#0;;;;
4;A;2018-08-17 10:58:39;2018-08-17 10:58:39;2018-08-17 11:02:50;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:02:50;2018-08-17 11:25:06;2018-08-17 11:45:00;;2;BatchSubProcess;SEQUENTIAL_TASKBASED;
4;B;2018-08-17 11:25:06;2018-08-17 11:25:06;2018-08-17 11:27:17;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:02:50
4;C;2018-08-17 11:33:33;2018-08-17 11:33:33;2018-08-17 11:36:44;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:33:33
4;E;2018-08-17 11:45:00;2018-08-17 11:45:00;2018-08-17 11:46:11;WorkerE_#1;;;;
4;F;2018-08-17 11:46:11;2018-08-17 11:46:11;2018-08-17 11:47:22;WorkerF_#1;;;;
4;G;2018-08-17 11:47:22;2018-08-17 11:47:22;2018-08-17 11:48:33;WorkerG_#1;;;;
4;H;2018-08-17 11:48:33;2018-08-17 11:48:33;2018-08-17 11:49:44;WorkerH_#1;;;;
5;A;2018-08-17 11:08:50;2018-08-17 11:08:50;2018-08-17 11:14:47;WorkerA_#0;;;;
5;Batch Activity;2018-08-17 11:14:47;2018-08-17 11:25:06;2018-08-17 11:45:00;;2;BatchSubProcess;SEQUENTIAL_TASKBASED;
5;B;2018-08-17 11:27:17;2018-08-17 11:27:17;2018-08-17 11:31:14;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:14:47
5;C;2018-08-17 11:36:44;2018-08-17 11:36:44;2018-08-17 11:41:41;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:33:33
5;E;2018-08-17 11:45:00;2018-08-17 11:45:00;2018-08-17 11:47:57;WorkerE_#0;;;;
5;F;2018-08-17 11:47:57;2018-08-17 11:47:57;2018-08-17 11:49:16;WorkerF_#1;;;;
5;G;2018-08-17 11:49:16;2018-08-17 11:49:16;2018-08-17 11:52:13;WorkerG_#0;;;;
5;H;2018-08-17 11:52:13;2018-08-17 11:52:13;2018-08-17 11:53:32;WorkerH_#1;;;;
6;A;2018-08-17 11:20:47;2018-08-17 11:20:47;2018-08-17 11:25:06;WorkerA_#1;;;;
6;Batch Activity;2018-08-17 11:25:06;2018-08-17 11:25:06;2018-08-17 11:45:00;;2;BatchSubProcess;SEQUENTIAL_TASKBASED;
6;B;2018-08-17 11:31:14;2018-08-17 11:31:14;2018-08-17 11:33:33;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:25:06
6;C;2018-08-17 11:41:41;2018-08-17 11:41:41;2018-08-17 11:45:00;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:33:33
6;E;2018-08-17 11:45:00;2018-08-17 11:46:11;2018-08-17 11:47:30;WorkerE_#1;;;;
6;F;2018-08-17 11:47:30;2018-08-17 11:47:30;2018-08-17 11:50:27;WorkerF_#0;;;;
6;G;2018-08-17 11:50:27;2018-08-17 11:50:27;2018-08-17 11:51:46;WorkerG_#1;;;;
6;H;2018-08-17 11:51:46;2018-08-17 11:51:46;2018-08-17 11:54:43;WorkerH_#0;;;;
7;A;2018-08-17 11:31:06;2018-08-17 11:31:06;2018-08-17 11:35:51;WorkerA_#0;;;;
7;Batch Activity;2018-08-17 11:35:51;2018-08-17 11:57:19;2018-08-17 12:21:10;;3;BatchSubProcess;SEQUENTIAL_TASKBASED;
7;B;2018-08-17 11:57:19;2018-08-17 11:57:19;2018-08-17 12:00:04;WorkerB_#0;3;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:35:51
7;D;2018-08-17 12:05:32;2018-08-17 12:05:32;2018-08-17 12:10:57;WorkerD_#0;3;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 12:05:32
7;E;2018-08-17 12:21:10;2018-08-17 12:21:10;2018-08-17 12:22:55;WorkerE_#1;;;;
7;F;2018-08-17 12:22:55;2018-08-17 12:22:55;2018-08-17 12:24:22;WorkerF_#0;;;;
7;G;2018-08-17 12:24:22;2018-08-17 12:24:22;2018-08-17 12:25:49;WorkerG_#0;;;;
7;H;2018-08-17 12:25:49;2018-08-17 12:25:49;2018-08-17 12:27:34;WorkerH_#1;;;;
8;A;2018-08-17 11:41:51;2018-08-17 11:41:51;2018-08-17 11:46:18;WorkerA_#1;;;;
8;Batch Activity;2018-08-17 11:46:18;2018-08-17 11:57:19;2018-08-17 12:21:10;;3;BatchSubProcess;SEQUENTIAL_TASKBASED;
8;B;2018-08-17 12:00:04;2018-08-17 12:00:04;2018-08-17 12:02:31;WorkerB_#0;3;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:46:18
8;D;2018-08-17 12:10:57;2018-08-17 12:10:57;2018-08-17 12:16:25;WorkerD_#0;3;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 12:05:32
8;E;2018-08-17 12:21:10;2018-08-17 12:21:10;2018-08-17 12:22:37;WorkerE_#0;;;;
8;F;2018-08-17 12:22:37;2018-08-17 12:22:37;2018-08-17 12:24:22;WorkerF_#1;;;;
8;G;2018-08-17 12:24:22;2018-08-17 12:24:22;2018-08-17 12:26:07;WorkerG_#1;;;;
8;H;2018-08-17 12:26:07;2018-08-17 12:26:07;2018-08-17 12:27:34;WorkerH_#0;;;;
9;A;2018-08-17 11:52:18;2018-08-17 11:52:18;2018-08-17 11:57:19;WorkerA_#0;;;;
9;Batch Activity;2018-08-17 11:57:19;2018-08-17 11:57:19;2018-08-17 12:21:10;;3;BatchSubProcess;SEQUENTIAL_TASKBASED;
9;B;2018-08-17 12:02:31;2018-08-17 12:02:31;2018-08-17 12:05:32;WorkerB_#0;3;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:57:19
9;D;2018-08-17 12:16:25;2018-08-17 12:16:25;2018-08-17 12:21:10;WorkerD_#0;3;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 12:05:32
9;E;2018-08-17 12:21:10;2018-08-17 12:22:37;2018-08-17 12:24:38;WorkerE_#0;;;;
9;F;2018-08-17 12:24:38;2018-08-17 12:24:38;2018-08-17 12:26:39;WorkerF_#1;;;;
9;G;2018-08-17 12:26:39;2018-08-17 12:26:39;2018-08-17 12:28:40;WorkerG_#0;;;;
9;H;2018-08-17 12:28:40;2018-08-17 12:28:40;2018-08-17 12:30:41;WorkerH_#1;;;;
10;A;2018-08-17 12:03:19;2018-08-17 12:03:19;2018-08-17 12:07:30;WorkerA_#1;;;;
10;Batch Activity;2018-08-17 12:07:30;2018-08-17 12:30:29;2018-08-17 12:54:06;;4;BatchSubProcess;SEQUENTIAL_TASKBASED;
10;B;2018-08-17 12:30:29;2018-08-17 12:30:29;2018-08-17 12:32:40;WorkerB_#1;4;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 12:07:30
10;D;2018-08-17 12:39:39;2018-08-17 12:39:39;2018-08-17 12:43:50;WorkerD_#1;4;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 12:39:39
10;E;2018-08-17 12:54:06;2018-08-17 12:54:06;2018-08-17 12:55:17;WorkerE_#1;;;;
10;F;2018-08-17 12:55:17;2018-08-17 12:55:17;2018-08-17 12:56:28;WorkerF_#0;;;;
10;G;2018-08-17 12:56:28;2018-08-17 12:56:28;2018-08-17 12:57:39;WorkerG_#1;;;;
10;H;2018-08-17 12:57:39;2018-08-17 12:57:39;2018-08-17 12:58:50;WorkerH_#0;;;;
11;A;2018-08-17 12:13:30;2018-08-17 12:13:30;2018-08-17 12:19:19;WorkerA_#0;;;;
11;Batch Activity;2018-08-17 12:19:19;2018-08-17 12:30:29;2018-08-17 12:54:06;;4;BatchSubProcess;SEQUENTIAL_TASKBASED;
11;B;2018-08-17 12:32:40;2018-08-17 12:32:40;2018-08-17 12:36:29;WorkerB_#1;4;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 12:19:19
11;D;2018-08-17 12:43:50;2018-08-17 12:43:50;2018-08-17 12:49:47;WorkerD_#1;4;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 12:39:39
11;E;2018-08-17 12:54:06;2018-08-17 12:54:06;2018-08-17 12:56:55;WorkerE_#0;;;;
11;F;2018-08-17 12:56:55;2018-08-17 12:56:55;2018-08-17 12:59:44;WorkerF_#1;;;;
11;G;2018-08-17 12:59:44;2018-08-17 12:59:44;2018-08-17 13:01:54;WorkerG_#1;;;;
11;H;2018-08-17 13:01:54;2018-08-17 13:01:54;2018-08-17 13:04:43;WorkerH_#1;;;;
12;A;2018-08-17 12:25:19;2018-08-17 12:25:19;2018-08-17 12:30:29;WorkerA_#1;;;;
12;Batch Activity;2018-08-17 12:30:29;2018-08-17 12:30:29;2018-08-17 12:54:06;;4;BatchSubProcess;SEQUENTIAL_TASKBASED;
12;B;2018-08-17 12:36:29;2018-08-17 12:36:29;2018-08-17 12:39:39;WorkerB_#1;4;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 12:30:29
12;D;2018-08-17 12:49:47;2018-08-17 12:49:47;2018-08-17 12:54:06;WorkerD_#1;4;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 12:39:39
12;E;2018-08-17 12:54:06;2018-08-17 12:55:17;2018-08-17 12:57:27;WorkerE_#1;;;;
12;F;2018-08-17 12:57:27;2018-08-17 12:57:27;2018-08-17 12:59:37;WorkerF_#0;;;;
12;G;2018-08-17 12:59:37;2018-08-17 12:59:37;2018-08-17 13:02:26;WorkerG_#0;;;;
12;H;2018-08-17 13:02:26;2018-08-17 13:02:26;2018-08-17 13:04:36;WorkerH_#0;;;;
