"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:30:16";"WorkerA_#0";NA;"";"";""
1;"B";"2018-08-17 10:30:16";"2018-08-17 10:30:16";"2018-08-17 10:33:31";"WorkerB_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:33:30";"2018-08-17 10:56:59";"2018-08-17 11:26:34";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"C";"2018-08-17 10:56:59";"2018-08-17 10:56:59";"2018-08-17 11:01:15";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:33:30"
1;"D";"2018-08-17 10:56:59";"2018-08-17 11:01:14";"2018-08-17 11:06:30";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
1;"E";"2018-08-17 11:26:34";"2018-08-17 11:26:34";"2018-08-17 11:28:49";"WorkerE_#0";NA;"";"";""
1;"F";"2018-08-17 11:28:49";"2018-08-17 11:28:49";"2018-08-17 11:31:04";"WorkerF_#0";NA;"";"";""
1;"G";"2018-08-17 11:31:04";"2018-08-17 11:31:04";"2018-08-17 11:33:19";"WorkerG_#0";NA;"";"";""
1;"H";"2018-08-17 11:33:19";"2018-08-17 11:33:19";"2018-08-17 11:35:34";"WorkerH_#0";NA;"";"";""
2;"A";"2018-08-17 10:36:16";"2018-08-17 10:36:16";"2018-08-17 10:41:36";"WorkerA_#1";NA;"";"";""
2;"B";"2018-08-17 10:41:36";"2018-08-17 10:41:36";"2018-08-17 10:44:56";"WorkerB_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:44:55";"2018-08-17 10:56:59";"2018-08-17 11:26:34";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
2;"C";"2018-08-17 11:06:29";"2018-08-17 11:06:29";"2018-08-17 11:10:50";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:44:55"
2;"D";"2018-08-17 11:06:29";"2018-08-17 11:10:49";"2018-08-17 11:16:10";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
2;"E";"2018-08-17 11:26:34";"2018-08-17 11:26:34";"2018-08-17 11:28:54";"WorkerE_#1";NA;"";"";""
2;"F";"2018-08-17 11:28:54";"2018-08-17 11:28:54";"2018-08-17 11:31:14";"WorkerF_#1";NA;"";"";""
2;"G";"2018-08-17 11:31:14";"2018-08-17 11:31:14";"2018-08-17 11:33:34";"WorkerG_#1";NA;"";"";""
2;"H";"2018-08-17 11:33:34";"2018-08-17 11:33:34";"2018-08-17 11:35:54";"WorkerH_#1";NA;"";"";""
3;"A";"2018-08-17 10:47:36";"2018-08-17 10:47:36";"2018-08-17 10:53:18";"WorkerA_#0";NA;"";"";""
3;"B";"2018-08-17 10:53:18";"2018-08-17 10:53:18";"2018-08-17 10:57:00";"WorkerB_#0";NA;"";"";""
3;"Batch Activity";"2018-08-17 10:56:59";"2018-08-17 10:56:59";"2018-08-17 11:26:34";"";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
3;"C";"2018-08-17 11:16:09";"2018-08-17 11:16:09";"2018-08-17 11:20:52";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 10:56:59"
3;"D";"2018-08-17 11:16:09";"2018-08-17 11:20:51";"2018-08-17 11:26:34";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_CASEBASED";""
3;"E";"2018-08-17 11:26:34";"2018-08-17 11:28:49";"2018-08-17 11:31:31";"WorkerE_#0";NA;"";"";""
3;"F";"2018-08-17 11:31:31";"2018-08-17 11:31:31";"2018-08-17 11:34:13";"WorkerF_#0";NA;"";"";""
3;"G";"2018-08-17 11:34:13";"2018-08-17 11:34:13";"2018-08-17 11:36:55";"WorkerG_#0";NA;"";"";""
3;"H";"2018-08-17 11:36:55";"2018-08-17 11:36:55";"2018-08-17 11:39:37";"WorkerH_#0";NA;"";"";""
4;"A";"2018-08-17 10:59:18";"2018-08-17 10:59:18";"2018-08-17 11:04:21";"WorkerA_#1";NA;"";"";""
4;"B";"2018-08-17 11:04:21";"2018-08-17 11:04:21";"2018-08-17 11:07:24";"WorkerB_#1";NA;"";"";""
4;"Batch Activity";"2018-08-17 11:07:23";"2018-08-17 11:28:33";"2018-08-17 11:55:18";"";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
4;"C";"2018-08-17 11:28:33";"2018-08-17 11:28:33";"2018-08-17 11:32:37";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:07:23"
4;"D";"2018-08-17 11:28:33";"2018-08-17 11:32:36";"2018-08-17 11:37:40";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
4;"E";"2018-08-17 11:55:18";"2018-08-17 11:55:18";"2018-08-17 11:57:21";"WorkerE_#1";NA;"";"";""
4;"F";"2018-08-17 11:57:21";"2018-08-17 11:57:21";"2018-08-17 11:59:24";"WorkerF_#1";NA;"";"";""
4;"G";"2018-08-17 11:59:24";"2018-08-17 11:59:24";"2018-08-17 12:01:27";"WorkerG_#1";NA;"";"";""
4;"H";"2018-08-17 12:01:27";"2018-08-17 12:01:27";"2018-08-17 12:03:30";"WorkerH_#1";NA;"";"";""
5;"A";"2018-08-17 11:10:21";"2018-08-17 11:10:21";"2018-08-17 11:15:46";"WorkerA_#0";NA;"";"";""
5;"B";"2018-08-17 11:15:46";"2018-08-17 11:15:46";"2018-08-17 11:19:11";"WorkerB_#0";NA;"";"";""
5;"Batch Activity";"2018-08-17 11:19:10";"2018-08-17 11:28:33";"2018-08-17 11:55:18";"";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
5;"C";"2018-08-17 11:37:39";"2018-08-17 11:37:39";"2018-08-17 11:42:05";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:19:10"
5;"D";"2018-08-17 11:37:39";"2018-08-17 11:42:04";"2018-08-17 11:47:30";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
5;"E";"2018-08-17 11:55:18";"2018-08-17 11:55:18";"2018-08-17 11:57:43";"WorkerE_#0";NA;"";"";""
5;"F";"2018-08-17 11:57:43";"2018-08-17 11:57:43";"2018-08-17 12:00:08";"WorkerF_#0";NA;"";"";""
5;"G";"2018-08-17 12:00:08";"2018-08-17 12:00:08";"2018-08-17 12:02:33";"WorkerG_#0";NA;"";"";""
5;"H";"2018-08-17 12:02:33";"2018-08-17 12:02:33";"2018-08-17 12:04:58";"WorkerH_#0";NA;"";"";""
6;"A";"2018-08-17 11:21:46";"2018-08-17 11:21:46";"2018-08-17 11:26:10";"WorkerA_#1";NA;"";"";""
6;"B";"2018-08-17 11:26:10";"2018-08-17 11:26:10";"2018-08-17 11:28:34";"WorkerB_#1";NA;"";"";""
6;"Batch Activity";"2018-08-17 11:28:33";"2018-08-17 11:28:33";"2018-08-17 11:55:18";"";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
6;"C";"2018-08-17 11:47:29";"2018-08-17 11:47:29";"2018-08-17 11:50:54";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:28:33"
6;"D";"2018-08-17 11:47:29";"2018-08-17 11:50:53";"2018-08-17 11:55:18";"WorkerC_#1";2;"BatchSubProcess";"CONCURRENT_CASEBASED";""
6;"E";"2018-08-17 11:55:18";"2018-08-17 11:57:21";"2018-08-17 11:58:45";"WorkerE_#1";NA;"";"";""
6;"F";"2018-08-17 11:58:45";"2018-08-17 11:59:24";"2018-08-17 12:00:48";"WorkerF_#1";NA;"";"";""
6;"G";"2018-08-17 12:00:48";"2018-08-17 12:01:27";"2018-08-17 12:02:51";"WorkerG_#1";NA;"";"";""
6;"H";"2018-08-17 12:02:51";"2018-08-17 12:03:30";"2018-08-17 12:04:54";"WorkerH_#1";NA;"";"";""
7;"A";"2018-08-17 11:32:10";"2018-08-17 11:32:10";"2018-08-17 11:37:25";"WorkerA_#0";NA;"";"";""
7;"B";"2018-08-17 11:37:25";"2018-08-17 11:37:25";"2018-08-17 11:40:40";"WorkerB_#0";NA;"";"";""
7;"Batch Activity";"2018-08-17 11:40:39";"2018-08-17 12:03:33";"2018-08-17 12:32:40";"";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
7;"C";"2018-08-17 12:03:33";"2018-08-17 12:03:33";"2018-08-17 12:07:49";"WorkerC_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:40:39"
7;"D";"2018-08-17 12:03:33";"2018-08-17 12:07:48";"2018-08-17 12:13:04";"WorkerC_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
7;"E";"2018-08-17 12:32:40";"2018-08-17 12:32:40";"2018-08-17 12:34:55";"WorkerE_#0";NA;"";"";""
7;"F";"2018-08-17 12:34:55";"2018-08-17 12:34:55";"2018-08-17 12:37:10";"WorkerF_#0";NA;"";"";""
7;"G";"2018-08-17 12:37:10";"2018-08-17 12:37:10";"2018-08-17 12:39:25";"WorkerG_#0";NA;"";"";""
7;"H";"2018-08-17 12:39:25";"2018-08-17 12:39:25";"2018-08-17 12:41:40";"WorkerH_#1";NA;"";"";""
8;"A";"2018-08-17 11:43:25";"2018-08-17 11:43:25";"2018-08-17 11:48:52";"WorkerA_#1";NA;"";"";""
8;"B";"2018-08-17 11:48:52";"2018-08-17 11:48:52";"2018-08-17 11:52:19";"WorkerB_#1";NA;"";"";""
8;"Batch Activity";"2018-08-17 11:52:18";"2018-08-17 12:03:33";"2018-08-17 12:32:40";"";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
8;"C";"2018-08-17 12:13:03";"2018-08-17 12:13:03";"2018-08-17 12:17:31";"WorkerC_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 11:52:18"
8;"D";"2018-08-17 12:13:03";"2018-08-17 12:17:30";"2018-08-17 12:22:58";"WorkerC_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
8;"E";"2018-08-17 12:32:40";"2018-08-17 12:32:40";"2018-08-17 12:35:07";"WorkerE_#1";NA;"";"";""
8;"F";"2018-08-17 12:35:07";"2018-08-17 12:35:07";"2018-08-17 12:37:34";"WorkerF_#1";NA;"";"";""
8;"G";"2018-08-17 12:37:34";"2018-08-17 12:37:34";"2018-08-17 12:40:01";"WorkerG_#1";NA;"";"";""
8;"H";"2018-08-17 12:40:01";"2018-08-17 12:40:01";"2018-08-17 12:42:28";"WorkerH_#0";NA;"";"";""
9;"A";"2018-08-17 11:54:52";"2018-08-17 11:54:52";"2018-08-17 12:00:13";"WorkerA_#0";NA;"";"";""
9;"B";"2018-08-17 12:00:13";"2018-08-17 12:00:13";"2018-08-17 12:03:34";"WorkerB_#0";NA;"";"";""
9;"Batch Activity";"2018-08-17 12:03:33";"2018-08-17 12:03:33";"2018-08-17 12:32:40";"";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
9;"C";"2018-08-17 12:22:57";"2018-08-17 12:22:57";"2018-08-17 12:27:19";"WorkerC_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 12:03:33"
9;"D";"2018-08-17 12:22:57";"2018-08-17 12:27:18";"2018-08-17 12:32:40";"WorkerC_#0";3;"BatchSubProcess";"CONCURRENT_CASEBASED";""
9;"E";"2018-08-17 12:32:40";"2018-08-17 12:34:55";"2018-08-17 12:37:16";"WorkerE_#0";NA;"";"";""
9;"F";"2018-08-17 12:37:16";"2018-08-17 12:37:16";"2018-08-17 12:39:37";"WorkerF_#0";NA;"";"";""
9;"G";"2018-08-17 12:39:37";"2018-08-17 12:39:37";"2018-08-17 12:41:58";"WorkerG_#0";NA;"";"";""
9;"H";"2018-08-17 12:41:58";"2018-08-17 12:41:58";"2018-08-17 12:44:19";"WorkerH_#1";NA;"";"";""
10;"A";"2018-08-17 12:06:13";"2018-08-17 12:06:13";"2018-08-17 12:10:38";"WorkerA_#1";NA;"";"";""
10;"B";"2018-08-17 12:10:38";"2018-08-17 12:10:38";"2018-08-17 12:13:03";"WorkerB_#1";NA;"";"";""
10;"Batch Activity";"2018-08-17 12:13:02";"2018-08-17 12:34:09";"2018-08-17 12:58:42";"";4;"BatchSubProcess";"CONCURRENT_CASEBASED";""
10;"C";"2018-08-17 12:34:09";"2018-08-17 12:34:09";"2018-08-17 12:37:35";"WorkerC_#1";4;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 12:13:02"
10;"D";"2018-08-17 12:34:09";"2018-08-17 12:37:34";"2018-08-17 12:42:00";"WorkerC_#1";4;"BatchSubProcess";"CONCURRENT_CASEBASED";""
10;"E";"2018-08-17 12:58:42";"2018-08-17 12:58:42";"2018-08-17 13:00:07";"WorkerE_#1";NA;"";"";""
10;"F";"2018-08-17 13:00:07";"2018-08-17 13:00:07";"2018-08-17 13:01:32";"WorkerF_#1";NA;"";"";""
10;"G";"2018-08-17 13:01:32";"2018-08-17 13:01:32";"2018-08-17 13:02:57";"WorkerG_#1";NA;"";"";""
10;"H";"2018-08-17 13:02:57";"2018-08-17 13:02:57";"2018-08-17 13:04:22";"WorkerH_#0";NA;"";"";""
11;"A";"2018-08-17 12:16:38";"2018-08-17 12:16:38";"2018-08-17 12:21:48";"WorkerA_#0";NA;"";"";""
11;"B";"2018-08-17 12:21:48";"2018-08-17 12:21:48";"2018-08-17 12:24:58";"WorkerB_#0";NA;"";"";""
11;"Batch Activity";"2018-08-17 12:24:57";"2018-08-17 12:34:09";"2018-08-17 12:58:42";"";4;"BatchSubProcess";"CONCURRENT_CASEBASED";""
11;"C";"2018-08-17 12:41:59";"2018-08-17 12:41:59";"2018-08-17 12:46:10";"WorkerC_#1";4;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 12:24:57"
11;"D";"2018-08-17 12:41:59";"2018-08-17 12:46:09";"2018-08-17 12:51:20";"WorkerC_#1";4;"BatchSubProcess";"CONCURRENT_CASEBASED";""
11;"E";"2018-08-17 12:58:42";"2018-08-17 12:58:42";"2018-08-17 13:00:52";"WorkerE_#0";NA;"";"";""
11;"F";"2018-08-17 13:00:52";"2018-08-17 13:00:52";"2018-08-17 13:03:02";"WorkerF_#0";NA;"";"";""
11;"G";"2018-08-17 13:03:02";"2018-08-17 13:03:02";"2018-08-17 13:04:13";"WorkerG_#1";NA;"";"";""
11;"H";"2018-08-17 13:04:13";"2018-08-17 13:04:13";"2018-08-17 13:06:23";"WorkerH_#1";NA;"";"";""
12;"A";"2018-08-17 12:27:48";"2018-08-17 12:27:48";"2018-08-17 12:31:59";"WorkerA_#1";NA;"";"";""
12;"B";"2018-08-17 12:31:59";"2018-08-17 12:31:59";"2018-08-17 12:34:10";"WorkerB_#1";NA;"";"";""
12;"Batch Activity";"2018-08-17 12:34:09";"2018-08-17 12:34:09";"2018-08-17 12:58:42";"";4;"BatchSubProcess";"CONCURRENT_CASEBASED";""
12;"C";"2018-08-17 12:51:19";"2018-08-17 12:51:19";"2018-08-17 12:54:31";"WorkerC_#1";4;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 12:34:09"
12;"D";"2018-08-17 12:51:19";"2018-08-17 12:54:30";"2018-08-17 12:58:42";"WorkerC_#1";4;"BatchSubProcess";"CONCURRENT_CASEBASED";""
12;"E";"2018-08-17 12:58:42";"2018-08-17 13:00:07";"2018-08-17 13:01:18";"WorkerE_#1";NA;"";"";""
12;"F";"2018-08-17 13:01:18";"2018-08-17 13:01:32";"2018-08-17 13:02:43";"WorkerF_#1";NA;"";"";""
12;"G";"2018-08-17 13:02:43";"2018-08-17 13:02:43";"2018-08-17 13:04:53";"WorkerG_#0";NA;"";"";""
12;"H";"2018-08-17 13:04:53";"2018-08-17 13:04:53";"2018-08-17 13:06:04";"WorkerH_#0";NA;"";"";""
13;"A";"2018-08-17 12:37:59";"2018-08-17 12:37:59";"2018-08-17 12:42:31";"WorkerA_#0";NA;"";"";""
13;"B";"2018-08-17 12:42:31";"2018-08-17 12:42:31";"2018-08-17 12:45:03";"WorkerB_#0";NA;"";"";""
13;"Batch Activity";"2018-08-17 12:45:02";"2018-08-17 13:07:56";"2018-08-17 13:35:21";"";5;"BatchSubProcess";"CONCURRENT_CASEBASED";""
13;"C";"2018-08-17 13:07:56";"2018-08-17 13:07:56";"2018-08-17 13:11:29";"WorkerC_#0";5;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 12:45:02"
13;"D";"2018-08-17 13:07:56";"2018-08-17 13:11:28";"2018-08-17 13:16:01";"WorkerC_#0";5;"BatchSubProcess";"CONCURRENT_CASEBASED";""
13;"E";"2018-08-17 13:35:21";"2018-08-17 13:35:21";"2018-08-17 13:36:53";"WorkerE_#0";NA;"";"";""
13;"F";"2018-08-17 13:36:53";"2018-08-17 13:36:53";"2018-08-17 13:38:25";"WorkerF_#1";NA;"";"";""
13;"G";"2018-08-17 13:38:25";"2018-08-17 13:38:25";"2018-08-17 13:39:57";"WorkerG_#1";NA;"";"";""
13;"H";"2018-08-17 13:39:57";"2018-08-17 13:39:57";"2018-08-17 13:41:29";"WorkerH_#0";NA;"";"";""
14;"A";"2018-08-17 12:48:31";"2018-08-17 12:48:31";"2018-08-17 12:54:25";"WorkerA_#1";NA;"";"";""
14;"B";"2018-08-17 12:54:25";"2018-08-17 12:54:25";"2018-08-17 12:58:19";"WorkerB_#1";NA;"";"";""
14;"Batch Activity";"2018-08-17 12:58:18";"2018-08-17 13:07:56";"2018-08-17 13:35:21";"";5;"BatchSubProcess";"CONCURRENT_CASEBASED";""
14;"C";"2018-08-17 13:16:00";"2018-08-17 13:16:00";"2018-08-17 13:20:55";"WorkerC_#0";5;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 12:58:18"
14;"D";"2018-08-17 13:16:00";"2018-08-17 13:20:54";"2018-08-17 13:26:49";"WorkerC_#0";5;"BatchSubProcess";"CONCURRENT_CASEBASED";""
14;"E";"2018-08-17 13:35:21";"2018-08-17 13:35:21";"2018-08-17 13:38:15";"WorkerE_#1";NA;"";"";""
14;"F";"2018-08-17 13:38:15";"2018-08-17 13:38:15";"2018-08-17 13:41:09";"WorkerF_#0";NA;"";"";""
14;"G";"2018-08-17 13:41:09";"2018-08-17 13:41:09";"2018-08-17 13:42:55";"WorkerG_#1";NA;"";"";""
14;"H";"2018-08-17 13:42:55";"2018-08-17 13:42:55";"2018-08-17 13:45:49";"WorkerH_#1";NA;"";"";""
15;"A";"2018-08-17 13:00:25";"2018-08-17 13:00:25";"2018-08-17 13:05:11";"WorkerA_#0";NA;"";"";""
15;"B";"2018-08-17 13:05:11";"2018-08-17 13:05:11";"2018-08-17 13:07:57";"WorkerB_#0";NA;"";"";""
15;"Batch Activity";"2018-08-17 13:07:56";"2018-08-17 13:07:56";"2018-08-17 13:35:21";"";5;"BatchSubProcess";"CONCURRENT_CASEBASED";""
15;"C";"2018-08-17 13:26:48";"2018-08-17 13:26:48";"2018-08-17 13:30:35";"WorkerC_#0";5;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 13:07:56"
15;"D";"2018-08-17 13:26:48";"2018-08-17 13:30:34";"2018-08-17 13:35:21";"WorkerC_#0";5;"BatchSubProcess";"CONCURRENT_CASEBASED";""
15;"E";"2018-08-17 13:35:21";"2018-08-17 13:36:53";"2018-08-17 13:38:39";"WorkerE_#0";NA;"";"";""
15;"F";"2018-08-17 13:38:39";"2018-08-17 13:38:39";"2018-08-17 13:40:25";"WorkerF_#1";NA;"";"";""
15;"G";"2018-08-17 13:40:25";"2018-08-17 13:40:25";"2018-08-17 13:43:19";"WorkerG_#0";NA;"";"";""
15;"H";"2018-08-17 13:43:19";"2018-08-17 13:43:19";"2018-08-17 13:45:05";"WorkerH_#0";NA;"";"";""
16;"A";"2018-08-17 13:11:11";"2018-08-17 13:11:11";"2018-08-17 13:16:33";"WorkerA_#1";NA;"";"";""
16;"B";"2018-08-17 13:16:33";"2018-08-17 13:16:33";"2018-08-17 13:19:55";"WorkerB_#1";NA;"";"";""
16;"Batch Activity";"2018-08-17 13:19:54";"2018-08-17 13:41:08";"2018-08-17 14:07:49";"";6;"BatchSubProcess";"CONCURRENT_CASEBASED";""
16;"C";"2018-08-17 13:41:08";"2018-08-17 13:41:08";"2018-08-17 13:45:31";"WorkerC_#1";6;"BatchSubProcess";"CONCURRENT_CASEBASED";"2018-08-17 13:19:54"
16;"D";"2018-08-17 13:41:08";"2018-08-17 13:45:30";"2018-08-17 13:50:53";"WorkerC_#1";6;"BatchSubProcess";"CONCURRENT_CASEBASED";""
16;"E";"2018-08-17 14:07:49";"2018-08-17 14:07:49";"2018-08-17 14:10:11";"WorkerE_#1";NA;"";"";""
16;"F";"2018-08-17 14:10:11";"2018-08-17 14:10:11";"2018-08-17 14:11:31";"WorkerF_#0";NA;"";"";""
16;"G";"2018-08-17 14:11:31";"2018-08-17 14:11:31";"2018-08-17 14:12:51";"WorkerG_#0";NA;"";"";""
16;"H";"2018-08-17 14:12:51";"2018-08-17 14:12:51";"2018-08-17 14:15:13";"WorkerH_#0";NA;"";"";""
17;"A";"2018-08-17 13:22:33";"2018-08-17 13:22:33";"2018-08-17 13:26:53";"WorkerA_#0";NA;"";"";""
17;"B";"2018-08-17 13:26:53";"2018-08-17 13:26:53";"2018-08-17 13:29:13";"WorkerB_#0";NA;"";"";""
17;"Batch Activity";"2018-08-17 13:29:12";"2018-08-17 13:41:08";"2018-08-17 14:07:49";"";6;"BatchSubProcess";"CONCURRENT_CASEBASED";""
