"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:30:52";"WorkerA_#0";NA;"";"";""
1;"B";"2018-08-17 10:30:52";"2018-08-17 10:30:52";"2018-08-17 10:34:43";"WorkerB_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:34:42";"2018-08-17 10:57:58";"2018-08-17 11:15:05";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
1;"C";"2018-08-17 10:57:58";"2018-08-17 10:57:58";"2018-08-17 11:02:50";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:34:42"
1;"D";"2018-08-17 10:57:58";"2018-08-17 10:57:58";"2018-08-17 11:03:50";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:57:58"
1;"E";"2018-08-17 11:15:05";"2018-08-17 11:15:05";"2018-08-17 11:17:56";"WorkerE_#0";NA;"";"";""
1;"F";"2018-08-17 11:17:56";"2018-08-17 11:17:56";"2018-08-17 11:20:19";"WorkerF_#1";NA;"";"";""
1;"G";"2018-08-17 11:20:19";"2018-08-17 11:20:19";"2018-08-17 11:22:42";"WorkerG_#1";NA;"";"";""
1;"H";"2018-08-17 11:22:42";"2018-08-17 11:22:42";"2018-08-17 11:25:33";"WorkerH_#0";NA;"";"";""
2;"A";"2018-08-17 10:36:52";"2018-08-17 10:36:52";"2018-08-17 10:42:15";"WorkerA_#1";NA;"";"";""
2;"B";"2018-08-17 10:42:15";"2018-08-17 10:42:15";"2018-08-17 10:45:38";"WorkerB_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:45:37";"2018-08-17 10:57:58";"2018-08-17 11:15:05";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
2;"C";"2018-08-17 11:02:49";"2018-08-17 11:02:49";"2018-08-17 11:07:13";"WorkerC_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:45:37"
2;"D";"2018-08-17 11:03:49";"2018-08-17 11:03:49";"2018-08-17 11:09:13";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:57:58"
2;"E";"2018-08-17 11:15:05";"2018-08-17 11:15:05";"2018-08-17 11:17:28";"WorkerE_#1";NA;"";"";""
