Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:16;WorkerA_#0;;;;
1;B;2018-08-17 10:30:16;2018-08-17 10:30:16;2018-08-17 10:33:31;WorkerB_#0;;;;
1;Batch Activity;2018-08-17 10:33:31;2018-08-17 10:57:00;2018-08-17 11:26:34;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;C;2018-08-17 10:57:00;2018-08-17 10:57:00;2018-08-17 11:01:15;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:33:31
1;D;2018-08-17 10:57:00;2018-08-17 11:01:15;2018-08-17 11:06:30;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;E;2018-08-17 11:26:34;2018-08-17 11:26:34;2018-08-17 11:28:49;WorkerE_#0;;;;
1;F;2018-08-17 11:28:49;2018-08-17 11:28:49;2018-08-17 11:31:04;WorkerF_#0;;;;
1;G;2018-08-17 11:31:04;2018-08-17 11:31:04;2018-08-17 11:33:19;WorkerG_#0;;;;
1;H;2018-08-17 11:33:19;2018-08-17 11:33:19;2018-08-17 11:35:34;WorkerH_#0;;;;
2;A;2018-08-17 10:36:16;2018-08-17 10:36:16;2018-08-17 10:41:36;WorkerA_#1;;;;
2;B;2018-08-17 10:41:36;2018-08-17 10:41:36;2018-08-17 10:44:56;WorkerB_#1;;;;
2;Batch Activity;2018-08-17 10:44:56;2018-08-17 10:57:00;2018-08-17 11:26:34;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;C;2018-08-17 11:06:30;2018-08-17 11:06:30;2018-08-17 11:10:50;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:44:56
2;D;2018-08-17 11:06:30;2018-08-17 11:10:50;2018-08-17 11:16:10;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;E;2018-08-17 11:26:34;2018-08-17 11:26:34;2018-08-17 11:28:54;WorkerE_#1;;;;
2;F;2018-08-17 11:28:54;2018-08-17 11:28:54;2018-08-17 11:31:14;WorkerF_#1;;;;
2;G;2018-08-17 11:31:14;2018-08-17 11:31:14;2018-08-17 11:33:34;WorkerG_#1;;;;
2;H;2018-08-17 11:33:34;2018-08-17 11:33:34;2018-08-17 11:35:54;WorkerH_#1;;;;
3;A;2018-08-17 10:47:36;2018-08-17 10:47:36;2018-08-17 10:53:18;WorkerA_#0;;;;
3;B;2018-08-17 10:53:18;2018-08-17 10:53:18;2018-08-17 10:57:00;WorkerB_#0;;;;
3;Batch Activity;2018-08-17 10:57:00;2018-08-17 10:57:00;2018-08-17 11:26:34;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
3;C;2018-08-17 11:16:10;2018-08-17 11:16:10;2018-08-17 11:20:52;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:57:00
3;D;2018-08-17 11:16:10;2018-08-17 11:20:52;2018-08-17 11:26:34;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
3;E;2018-08-17 11:26:34;2018-08-17 11:28:49;2018-08-17 11:31:31;WorkerE_#0;;;;
3;F;2018-08-17 11:31:31;2018-08-17 11:31:31;2018-08-17 11:34:13;WorkerF_#0;;;;
3;G;2018-08-17 11:34:13;2018-08-17 11:34:13;2018-08-17 11:36:55;WorkerG_#0;;;;
3;H;2018-08-17 11:36:55;2018-08-17 11:36:55;2018-08-17 11:39:37;WorkerH_#0;;;;
4;A;2018-08-17 10:59:18;2018-08-17 10:59:18;2018-08-17 11:04:21;WorkerA_#1;;;;
4;B;2018-08-17 11:04:21;2018-08-17 11:04:21;2018-08-17 11:07:24;WorkerB_#1;;;;
4;Batch Activity;2018-08-17 11:07:24;2018-08-17 11:28:34;2018-08-17 11:55:18;;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
4;C;2018-08-17 11:28:34;2018-08-17 11:28:34;2018-08-17 11:32:37;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:07:24
4;D;2018-08-17 11:28:34;2018-08-17 11:32:37;2018-08-17 11:37:40;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
4;E;2018-08-17 11:55:18;2018-08-17 11:55:18;2018-08-17 11:57:21;WorkerE_#1;;;;
4;F;2018-08-17 11:57:21;2018-08-17 11:57:21;2018-08-17 11:59:24;WorkerF_#1;;;;
4;G;2018-08-17 11:59:24;2018-08-17 11:59:24;2018-08-17 12:01:27;WorkerG_#1;;;;
4;H;2018-08-17 12:01:27;2018-08-17 12:01:27;2018-08-17 12:03:30;WorkerH_#1;;;;
5;A;2018-08-17 11:10:21;2018-08-17 11:10:21;2018-08-17 11:15:46;WorkerA_#0;;;;
5;B;2018-08-17 11:15:46;2018-08-17 11:15:46;2018-08-17 11:19:11;WorkerB_#0;;;;
5;Batch Activity;2018-08-17 11:19:11;2018-08-17 11:28:34;2018-08-17 11:55:18;;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
5;C;2018-08-17 11:37:40;2018-08-17 11:37:40;2018-08-17 11:42:05;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:19:11
5;D;2018-08-17 11:37:40;2018-08-17 11:42:05;2018-08-17 11:47:30;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
5;E;2018-08-17 11:55:18;2018-08-17 11:55:18;2018-08-17 11:57:43;WorkerE_#0;;;;
5;F;2018-08-17 11:57:43;2018-08-17 11:57:43;2018-08-17 12:00:08;WorkerF_#0;;;;
5;G;2018-08-17 12:00:08;2018-08-17 12:00:08;2018-08-17 12:02:33;WorkerG_#0;;;;
5;H;2018-08-17 12:02:33;2018-08-17 12:02:33;2018-08-17 12:04:58;WorkerH_#0;;;;
6;A;2018-08-17 11:21:46;2018-08-17 11:21:46;2018-08-17 11:26:10;WorkerA_#1;;;;
6;B;2018-08-17 11:26:10;2018-08-17 11:26:10;2018-08-17 11:28:34;WorkerB_#1;;;;
6;Batch Activity;2018-08-17 11:28:34;2018-08-17 11:28:34;2018-08-17 11:55:18;;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
6;C;2018-08-17 11:47:30;2018-08-17 11:47:30;2018-08-17 11:50:54;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:28:34
6;D;2018-08-17 11:47:30;2018-08-17 11:50:54;2018-08-17 11:55:18;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_CASEBASED;
6;E;2018-08-17 11:55:18;2018-08-17 11:57:21;2018-08-17 11:58:45;WorkerE_#1;;;;
6;F;2018-08-17 11:58:45;2018-08-17 11:59:24;2018-08-17 12:00:48;WorkerF_#1;;;;
6;G;2018-08-17 12:00:48;2018-08-17 12:01:27;2018-08-17 12:02:51;WorkerG_#1;;;;
6;H;2018-08-17 12:02:51;2018-08-17 12:03:30;2018-08-17 12:04:54;WorkerH_#1;;;;
7;A;2018-08-17 11:32:10;2018-08-17 11:32:10;2018-08-17 11:37:25;WorkerA_#0;;;;
7;B;2018-08-17 11:37:25;2018-08-17 11:37:25;2018-08-17 11:40:40;WorkerB_#0;;;;
7;Batch Activity;2018-08-17 11:40:40;2018-08-17 12:03:34;2018-08-17 12:32:40;;3;BatchSubProcess;SEQUENTIAL_CASEBASED;
7;C;2018-08-17 12:03:34;2018-08-17 12:03:34;2018-08-17 12:07:49;WorkerC_#0;3;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 11:40:40
7;D;2018-08-17 12:03:34;2018-08-17 12:07:49;2018-08-17 12:13:04;WorkerC_#0;3;BatchSubProcess;SEQUENTIAL_CASEBASED;
7;E;2018-08-17 12:32:40;2018-08-17 12:32:40;2018-08-17 12:34:55;WorkerE_#0;;;;
7;F;2018-08-17 12:34:55;2018-08-17 12:34:55;2018-08-17 12:37:10;WorkerF_#0;;;;
7;G;2018-08-17 12:37:10;2018-08-17 12:37:10;2018-08-17 12:39:25;WorkerG_#0;;;;
