Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:04;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:30:04;2018-08-17 10:53:44;2018-08-17 11:21:10;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
1;B;2018-08-17 10:53:44;2018-08-17 10:53:44;2018-08-17 10:56:47;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:30:04
1;C;2018-08-17 11:04:27;2018-08-17 11:04:27;2018-08-17 11:08:30;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:04:27
1;D;2018-08-17 11:04:27;2018-08-17 11:04:27;2018-08-17 11:09:30;WorkerD_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:04:27
1;E;2018-08-17 11:21:10;2018-08-17 11:21:10;2018-08-17 11:23:13;WorkerE_#0;;;;
1;F;2018-08-17 11:23:13;2018-08-17 11:23:13;2018-08-17 11:25:16;WorkerF_#0;;;;
1;G;2018-08-17 11:25:16;2018-08-17 11:25:16;2018-08-17 11:27:19;WorkerG_#0;;;;
1;H;2018-08-17 11:27:19;2018-08-17 11:27:19;2018-08-17 11:29:22;WorkerH_#0;;;;
2;A;2018-08-17 10:36:04;2018-08-17 10:36:04;2018-08-17 10:42:00;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:42:00;2018-08-17 10:53:44;2018-08-17 11:21:10;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
2;B;2018-08-17 10:56:47;2018-08-17 10:56:47;2018-08-17 11:00:43;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:42:00
2;C;2018-08-17 11:08:30;2018-08-17 11:08:30;2018-08-17 11:13:26;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:04:27
2;D;2018-08-17 11:09:30;2018-08-17 11:09:30;2018-08-17 11:15:26;WorkerD_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:04:27
2;E;2018-08-17 11:21:10;2018-08-17 11:21:10;2018-08-17 11:24:06;WorkerE_#1;;;;
2;F;2018-08-17 11:24:06;2018-08-17 11:24:06;2018-08-17 11:27:02;WorkerF_#1;;;;
2;G;2018-08-17 11:27:02;2018-08-17 11:27:02;2018-08-17 11:29:58;WorkerG_#1;;;;
2;H;2018-08-17 11:29:58;2018-08-17 11:29:58;2018-08-17 11:32:54;WorkerH_#1;;;;
3;A;2018-08-17 10:48:00;2018-08-17 10:48:00;2018-08-17 10:53:44;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:53:44;2018-08-17 10:53:44;2018-08-17 11:21:10;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
3;B;2018-08-17 11:00:43;2018-08-17 11:00:43;2018-08-17 11:04:27;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:53:44
3;C;2018-08-17 11:13:26;2018-08-17 11:13:26;2018-08-17 11:18:10;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:04:27
3;D;2018-08-17 11:15:26;2018-08-17 11:15:26;2018-08-17 11:21:10;WorkerD_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:04:27
3;E;2018-08-17 11:21:10;2018-08-17 11:23:13;2018-08-17 11:25:57;WorkerE_#0;;;;
3;F;2018-08-17 11:25:57;2018-08-17 11:25:57;2018-08-17 11:28:41;WorkerF_#0;;;;
3;G;2018-08-17 11:28:41;2018-08-17 11:28:41;2018-08-17 11:31:25;WorkerG_#0;;;;
3;H;2018-08-17 11:31:25;2018-08-17 11:31:25;2018-08-17 11:34:09;WorkerH_#0;;;;
4;A;2018-08-17 10:59:44;2018-08-17 10:59:44;2018-08-17 11:04:36;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:04:36;2018-08-17 11:27:04;2018-08-17 11:51:44;;2;BatchSubProcess;SEQUENTIAL_TASKBASED;
4;B;2018-08-17 11:27:04;2018-08-17 11:27:04;2018-08-17 11:29:56;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:04:36
4;C;2018-08-17 11:36:24;2018-08-17 11:36:24;2018-08-17 11:40:16;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:36:24
4;D;2018-08-17 11:36:24;2018-08-17 11:36:24;2018-08-17 11:41:16;WorkerD_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:36:24
4;E;2018-08-17 11:51:44;2018-08-17 11:51:44;2018-08-17 11:53:36;WorkerE_#1;;;;
4;F;2018-08-17 11:53:36;2018-08-17 11:53:36;2018-08-17 11:55:28;WorkerF_#1;;;;
4;G;2018-08-17 11:55:28;2018-08-17 11:55:28;2018-08-17 11:57:20;WorkerG_#1;;;;
4;H;2018-08-17 11:57:20;2018-08-17 11:57:20;2018-08-17 11:59:12;WorkerH_#1;;;;
5;A;2018-08-17 11:10:36;2018-08-17 11:10:36;2018-08-17 11:16:26;WorkerA_#0;;;;
5;Batch Activity;2018-08-17 11:16:26;2018-08-17 11:27:04;2018-08-17 11:51:44;;2;BatchSubProcess;SEQUENTIAL_TASKBASED;
5;B;2018-08-17 11:29:56;2018-08-17 11:29:56;2018-08-17 11:33:46;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:16:26
5;C;2018-08-17 11:40:16;2018-08-17 11:40:16;2018-08-17 11:45:06;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:36:24
5;D;2018-08-17 11:41:16;2018-08-17 11:41:16;2018-08-17 11:47:06;WorkerD_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:36:24
5;E;2018-08-17 11:51:44;2018-08-17 11:51:44;2018-08-17 11:54:34;WorkerE_#0;;;;
5;F;2018-08-17 11:54:34;2018-08-17 11:54:34;2018-08-17 11:57:24;WorkerF_#0;;;;
5;G;2018-08-17 11:57:24;2018-08-17 11:57:24;2018-08-17 11:59:02;WorkerG_#1;;;;
5;H;2018-08-17 11:59:02;2018-08-17 11:59:02;2018-08-17 12:01:52;WorkerH_#0;;;;
6;A;2018-08-17 11:22:26;2018-08-17 11:22:26;2018-08-17 11:27:04;WorkerA_#1;;;;
6;Batch Activity;2018-08-17 11:27:04;2018-08-17 11:27:04;2018-08-17 11:51:44;;2;BatchSubProcess;SEQUENTIAL_TASKBASED;
6;B;2018-08-17 11:33:46;2018-08-17 11:33:46;2018-08-17 11:36:24;WorkerB_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:27:04
6;C;2018-08-17 11:45:06;2018-08-17 11:45:06;2018-08-17 11:48:44;WorkerC_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:36:24
6;D;2018-08-17 11:47:06;2018-08-17 11:47:06;2018-08-17 11:51:44;WorkerD_#1;2;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:36:24
6;E;2018-08-17 11:51:44;2018-08-17 11:53:36;2018-08-17 11:55:14;WorkerE_#1;;;;
