Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:05;WorkerA_#0;;;;
1;B;2018-08-17 10:30:05;2018-08-17 10:30:05;2018-08-17 10:33:09;WorkerB_#0;;;;
1;Batch Activity;2018-08-17 10:33:09;2018-08-17 10:54:28;2018-08-17 10:59:32;;1;BatchSubProcess;PARALLEL;
1;D;2018-08-17 10:54:28;2018-08-17 10:54:28;2018-08-17 10:59:32;WorkerD_#0;1;BatchSubProcess;PARALLEL;
1;C;2018-08-17 10:54:28;2018-08-17 10:54:28;2018-08-17 10:58:32;WorkerC_#0;1;BatchSubProcess;PARALLEL;
1;F;2018-08-17 10:59:32;2018-08-17 10:59:32;2018-08-17 11:01:36;WorkerF_#0;;;;
1;G;2018-08-17 11:01:36;2018-08-17 11:01:36;2018-08-17 11:02:51;WorkerG_#1;;;;
1;H;2018-08-17 11:02:51;2018-08-17 11:02:51;2018-08-17 11:04:06;WorkerH_#1;;;;
2;A;2018-08-17 10:36:05;2018-08-17 10:36:05;2018-08-17 10:40:20;WorkerA_#1;;;;
2;B;2018-08-17 10:40:20;2018-08-17 10:40:20;2018-08-17 10:42:35;WorkerB_#1;;;;
2;Batch Activity;2018-08-17 10:42:35;2018-08-17 10:54:28;2018-08-17 10:59:32;;1;BatchSubProcess;PARALLEL;
2;D;2018-08-17 10:54:28;2018-08-17 10:54:28;2018-08-17 10:59:32;WorkerD_#0;1;BatchSubProcess;PARALLEL;
2;C;2018-08-17 10:54:28;2018-08-17 10:54:28;2018-08-17 10:58:32;WorkerC_#0;1;BatchSubProcess;PARALLEL;
2;F;2018-08-17 10:59:32;2018-08-17 10:59:32;2018-08-17 11:00:47;WorkerF_#1;;;;
2;G;2018-08-17 11:00:47;2018-08-17 11:00:47;2018-08-17 11:02:51;WorkerG_#0;;;;
2;H;2018-08-17 11:02:51;2018-08-17 11:02:51;2018-08-17 11:04:55;WorkerH_#0;;;;
3;A;2018-08-17 10:46:20;2018-08-17 10:46:20;2018-08-17 10:51:24;WorkerA_#0;;;;
3;B;2018-08-17 10:51:24;2018-08-17 10:51:24;2018-08-17 10:54:28;WorkerB_#0;;;;
3;Batch Activity;2018-08-17 10:54:28;2018-08-17 10:54:28;2018-08-17 10:59:32;;1;BatchSubProcess;PARALLEL;
3;D;2018-08-17 10:54:28;2018-08-17 10:54:28;2018-08-17 10:59:32;WorkerD_#0;1;BatchSubProcess;PARALLEL;
3;C;2018-08-17 10:54:28;2018-08-17 10:54:28;2018-08-17 10:58:32;WorkerC_#0;1;BatchSubProcess;PARALLEL;
3;F;2018-08-17 10:59:32;2018-08-17 11:00:47;2018-08-17 11:02:51;WorkerF_#1;;;;
3;G;2018-08-17 11:02:51;2018-08-17 11:02:51;2018-08-17 11:04:55;WorkerG_#0;;;;
3;H;2018-08-17 11:04:55;2018-08-17 11:04:55;2018-08-17 11:06:59;WorkerH_#1;;;;
4;A;2018-08-17 10:57:24;2018-08-17 10:57:24;2018-08-17 11:03:11;WorkerA_#1;;;;
4;B;2018-08-17 11:03:11;2018-08-17 11:03:11;2018-08-17 11:06:58;WorkerB_#1;;;;
4;Batch Activity;2018-08-17 11:06:58;2018-08-17 11:28:06;2018-08-17 11:32:21;;2;BatchSubProcess;PARALLEL;
4;D;2018-08-17 11:28:06;2018-08-17 11:28:06;2018-08-17 11:32:21;WorkerD_#1;2;BatchSubProcess;PARALLEL;
4;E;2018-08-17 11:28:06;2018-08-17 11:28:06;2018-08-17 11:30:10;WorkerE_#0;2;BatchSubProcess;PARALLEL;
4;F;2018-08-17 11:32:21;2018-08-17 11:32:21;2018-08-17 11:35:08;WorkerF_#0;;;;
4;G;2018-08-17 11:35:08;2018-08-17 11:35:08;2018-08-17 11:36:21;WorkerG_#0;;;;
4;H;2018-08-17 11:36:21;2018-08-17 11:36:21;2018-08-17 11:37:34;WorkerH_#1;;;;
5;A;2018-08-17 11:09:11;2018-08-17 11:09:11;2018-08-17 11:13:24;WorkerA_#0;;;;
5;B;2018-08-17 11:13:24;2018-08-17 11:13:24;2018-08-17 11:15:37;WorkerB_#0;;;;
5;Batch Activity;2018-08-17 11:15:37;2018-08-17 11:28:06;2018-08-17 11:32:21;;2;BatchSubProcess;PARALLEL;
5;D;2018-08-17 11:28:06;2018-08-17 11:28:06;2018-08-17 11:32:21;WorkerD_#1;2;BatchSubProcess;PARALLEL;
5;E;2018-08-17 11:28:06;2018-08-17 11:28:06;2018-08-17 11:30:10;WorkerE_#0;2;BatchSubProcess;PARALLEL;
5;F;2018-08-17 11:32:21;2018-08-17 11:32:21;2018-08-17 11:33:34;WorkerF_#1;;;;
5;G;2018-08-17 11:33:34;2018-08-17 11:33:34;2018-08-17 11:36:21;WorkerG_#1;;;;
5;H;2018-08-17 11:36:21;2018-08-17 11:36:21;2018-08-17 11:39:08;WorkerH_#0;;;;
6;A;2018-08-17 11:19:24;2018-08-17 11:19:24;2018-08-17 11:24:45;WorkerA_#1;;;;
6;B;2018-08-17 11:24:45;2018-08-17 11:24:45;2018-08-17 11:28:06;WorkerB_#1;;;;
6;Batch Activity;2018-08-17 11:28:06;2018-08-17 11:28:06;2018-08-17 11:32:21;;2;BatchSubProcess;PARALLEL;
6;D;2018-08-17 11:28:06;2018-08-17 11:28:06;2018-08-17 11:32:21;WorkerD_#1;2;BatchSubProcess;PARALLEL;
6;E;2018-08-17 11:28:06;2018-08-17 11:28:06;2018-08-17 11:30:10;WorkerE_#0;2;BatchSubProcess;PARALLEL;
6;F;2018-08-17 11:32:21;2018-08-17 11:33:34;2018-08-17 11:35:55;WorkerF_#1;;;;
6;G;2018-08-17 11:35:55;2018-08-17 11:36:21;2018-08-17 11:38:42;WorkerG_#1;;;;
6;H;2018-08-17 11:38:42;2018-08-17 11:38:42;2018-08-17 11:41:03;WorkerH_#1;;;;
7;A;2018-08-17 11:30:45;2018-08-17 11:30:45;2018-08-17 11:34:53;WorkerA_#0;;;;
7;B;2018-08-17 11:34:53;2018-08-17 11:34:53;2018-08-17 11:37:01;WorkerB_#0;;;;
7;Batch Activity;2018-08-17 11:37:01;2018-08-17 11:59:00;2018-08-17 12:04:04;;3;BatchSubProcess;PARALLEL;
7;D;2018-08-17 11:59:00;2018-08-17 11:59:00;2018-08-17 12:04:04;WorkerD_#0;3;BatchSubProcess;PARALLEL;
7;C;2018-08-17 11:59:00;2018-08-17 11:59:00;2018-08-17 12:02:15;WorkerC_#1;3;BatchSubProcess;PARALLEL;
7;F;2018-08-17 12:04:04;2018-08-17 12:04:04;2018-08-17 12:05:12;WorkerF_#0;;;;
7;G;2018-08-17 12:05:12;2018-08-17 12:05:12;2018-08-17 12:06:20;WorkerG_#0;;;;
7;H;2018-08-17 12:06:20;2018-08-17 12:06:20;2018-08-17 12:07:28;WorkerH_#0;;;;
8;A;2018-08-17 11:40:53;2018-08-17 11:40:53;2018-08-17 11:46:22;WorkerA_#1;;;;
8;B;2018-08-17 11:46:22;2018-08-17 11:46:22;2018-08-17 11:49:51;WorkerB_#1;;;;
8;Batch Activity;2018-08-17 11:49:51;2018-08-17 11:59:00;2018-08-17 12:04:04;;3;BatchSubProcess;PARALLEL;
8;D;2018-08-17 11:59:00;2018-08-17 11:59:00;2018-08-17 12:04:04;WorkerD_#0;3;BatchSubProcess;PARALLEL;
8;C;2018-08-17 11:59:00;2018-08-17 11:59:00;2018-08-17 12:02:15;WorkerC_#1;3;BatchSubProcess;PARALLEL;
8;F;2018-08-17 12:04:04;2018-08-17 12:04:04;2018-08-17 12:06:33;WorkerF_#1;;;;
8;G;2018-08-17 12:06:33;2018-08-17 12:06:33;2018-08-17 12:07:52;WorkerG_#0;;;;
8;H;2018-08-17 12:07:52;2018-08-17 12:07:52;2018-08-17 12:10:21;WorkerH_#1;;;;
9;A;2018-08-17 11:52:22;2018-08-17 11:52:22;2018-08-17 11:56:41;WorkerA_#0;;;;
9;B;2018-08-17 11:56:41;2018-08-17 11:56:41;2018-08-17 11:59:00;WorkerB_#0;;;;
9;Batch Activity;2018-08-17 11:59:00;2018-08-17 11:59:00;2018-08-17 12:04:04;;3;BatchSubProcess;PARALLEL;
9;D;2018-08-17 11:59:00;2018-08-17 11:59:00;2018-08-17 12:04:04;WorkerD_#0;3;BatchSubProcess;PARALLEL;
9;C;2018-08-17 11:59:00;2018-08-17 11:59:00;2018-08-17 12:02:15;WorkerC_#1;3;BatchSubProcess;PARALLEL;
9;F;2018-08-17 12:04:04;2018-08-17 12:05:12;2018-08-17 12:06:31;WorkerF_#0;;;;
9;G;2018-08-17 12:06:31;2018-08-17 12:06:31;2018-08-17 12:09:00;WorkerG_#1;;;;
9;H;2018-08-17 12:09:00;2018-08-17 12:09:00;2018-08-17 12:10:19;WorkerH_#0;;;;
10;A;2018-08-17 12:02:41;2018-08-17 12:02:41;2018-08-17 12:07:34;WorkerA_#1;;;;
10;B;2018-08-17 12:07:34;2018-08-17 12:07:34;2018-08-17 12:10:27;WorkerB_#1;;;;
10;Batch Activity;2018-08-17 12:10:27;2018-08-17 12:31:48;2018-08-17 12:37:35;;4;BatchSubProcess;PARALLEL;
10;D;2018-08-17 12:31:48;2018-08-17 12:31:48;2018-08-17 12:37:35;WorkerD_#1;4;BatchSubProcess;PARALLEL;
10;C;2018-08-17 12:31:48;2018-08-17 12:31:48;2018-08-17 12:35:52;WorkerC_#0;4;BatchSubProcess;PARALLEL;
10;F;2018-08-17 12:37:35;2018-08-17 12:37:35;2018-08-17 12:39:28;WorkerF_#0;;;;
10;G;2018-08-17 12:39:28;2018-08-17 12:39:28;2018-08-17 12:41:10;WorkerG_#1;;;;
10;H;2018-08-17 12:41:10;2018-08-17 12:41:10;2018-08-17 12:42:52;WorkerH_#1;;;;
11;A;2018-08-17 12:13:34;2018-08-17 12:13:34;2018-08-17 12:18:16;WorkerA_#0;;;;
11;B;2018-08-17 12:18:16;2018-08-17 12:18:16;2018-08-17 12:20:58;WorkerB_#0;;;;
11;Batch Activity;2018-08-17 12:20:58;2018-08-17 12:31:48;2018-08-17 12:37:35;;4;BatchSubProcess;PARALLEL;
11;D;2018-08-17 12:31:48;2018-08-17 12:31:48;2018-08-17 12:37:35;WorkerD_#1;4;BatchSubProcess;PARALLEL;
11;C;2018-08-17 12:31:48;2018-08-17 12:31:48;2018-08-17 12:35:52;WorkerC_#0;4;BatchSubProcess;PARALLEL;
11;F;2018-08-17 12:37:35;2018-08-17 12:37:35;2018-08-17 12:39:17;WorkerF_#1;;;;
11;G;2018-08-17 12:39:17;2018-08-17 12:39:17;2018-08-17 12:41:10;WorkerG_#0;;;;
11;H;2018-08-17 12:41:10;2018-08-17 12:41:10;2018-08-17 12:43:03;WorkerH_#0;;;;
12;A;2018-08-17 12:24:16;2018-08-17 12:24:16;2018-08-17 12:29:02;WorkerA_#1;;;;
12;B;2018-08-17 12:29:02;2018-08-17 12:29:02;2018-08-17 12:31:48;WorkerB_#1;;;;
12;Batch Activity;2018-08-17 12:31:48;2018-08-17 12:31:48;2018-08-17 12:37:35;;4;BatchSubProcess;PARALLEL;
12;D;2018-08-17 12:31:48;2018-08-17 12:31:48;2018-08-17 12:37:35;WorkerD_#1;4;BatchSubProcess;PARALLEL;
12;C;2018-08-17 12:31:48;2018-08-17 12:31:48;2018-08-17 12:35:52;WorkerC_#0;4;BatchSubProcess;PARALLEL;
12;F;2018-08-17 12:37:35;2018-08-17 12:39:17;2018-08-17 12:41:03;WorkerF_#1;;;;
12;G;2018-08-17 12:41:03;2018-08-17 12:41:10;2018-08-17 12:42:56;WorkerG_#0;;;;
12;H;2018-08-17 12:42:56;2018-08-17 12:42:56;2018-08-17 12:44:42;WorkerH_#1;;;;
13;A;2018-08-17 12:35:02;2018-08-17 12:35:02;2018-08-17 12:40:47;WorkerA_#0;;;;
13;B;2018-08-17 12:40:47;2018-08-17 12:40:47;2018-08-17 12:44:32;WorkerB_#0;;;;
13;Batch Activity;2018-08-17 12:44:32;2018-08-17 13:07:26;2018-08-17 13:11:39;;5;BatchSubProcess;PARALLEL;
13;D;2018-08-17 13:07:26;2018-08-17 13:07:26;2018-08-17 13:11:39;WorkerD_#0;5;BatchSubProcess;PARALLEL;
13;E;2018-08-17 13:07:26;2018-08-17 13:07:26;2018-08-17 13:08:41;WorkerE_#1;5;BatchSubProcess;PARALLEL;
13;F;2018-08-17 13:11:39;2018-08-17 13:11:39;2018-08-17 13:14:24;WorkerF_#0;;;;
13;G;2018-08-17 13:14:24;2018-08-17 13:14:24;2018-08-17 13:16:29;WorkerG_#0;;;;
13;H;2018-08-17 13:16:29;2018-08-17 13:16:29;2018-08-17 13:18:34;WorkerH_#1;;;;
14;A;2018-08-17 12:46:47;2018-08-17 12:46:47;2018-08-17 12:51:52;WorkerA_#1;;;;
14;B;2018-08-17 12:51:52;2018-08-17 12:51:52;2018-08-17 12:54:57;WorkerB_#1;;;;
14;Batch Activity;2018-08-17 12:54:57;2018-08-17 13:07:26;2018-08-17 13:11:39;;5;BatchSubProcess;PARALLEL;
14;D;2018-08-17 13:07:26;2018-08-17 13:07:26;2018-08-17 13:11:39;WorkerD_#0;5;BatchSubProcess;PARALLEL;
14;E;2018-08-17 13:07:26;2018-08-17 13:07:26;2018-08-17 13:08:41;WorkerE_#1;5;BatchSubProcess;PARALLEL;
14;F;2018-08-17 13:11:39;2018-08-17 13:11:39;2018-08-17 13:13:44;WorkerF_#1;;;;
14;G;2018-08-17 13:13:44;2018-08-17 13:13:44;2018-08-17 13:16:29;WorkerG_#1;;;;
14;H;2018-08-17 13:16:29;2018-08-17 13:16:29;2018-08-17 13:19:14;WorkerH_#0;;;;
15;A;2018-08-17 12:57:52;2018-08-17 12:57:52;2018-08-17 13:03:39;WorkerA_#0;;;;
15;B;2018-08-17 13:03:39;2018-08-17 13:03:39;2018-08-17 13:07:26;WorkerB_#0;;;;
15;Batch Activity;2018-08-17 13:07:26;2018-08-17 13:07:26;2018-08-17 13:11:39;;5;BatchSubProcess;PARALLEL;
15;D;2018-08-17 13:07:26;2018-08-17 13:07:26;2018-08-17 13:11:39;WorkerD_#0;5;BatchSubProcess;PARALLEL;
15;E;2018-08-17 13:07:26;2018-08-17 13:07:26;2018-08-17 13:08:41;WorkerE_#1;5;BatchSubProcess;PARALLEL;
15;F;2018-08-17 13:11:39;2018-08-17 13:13:44;2018-08-17 13:16:31;WorkerF_#1;;;;
15;G;2018-08-17 13:16:31;2018-08-17 13:16:31;2018-08-17 13:19:18;WorkerG_#1;;;;
15;H;2018-08-17 13:19:18;2018-08-17 13:19:18;2018-08-17 13:22:05;WorkerH_#1;;;;
16;A;2018-08-17 13:09:39;2018-08-17 13:09:39;2018-08-17 13:15:21;WorkerA_#1;;;;
16;B;2018-08-17 13:15:21;2018-08-17 13:15:21;2018-08-17 13:19:03;WorkerB_#1;;;;
16;Batch Activity;2018-08-17 13:19:03;2018-08-17 13:38:20;2018-08-17 13:43:41;;6;BatchSubProcess;PARALLEL;
16;D;2018-08-17 13:38:20;2018-08-17 13:38:20;2018-08-17 13:43:41;WorkerD_#1;6;BatchSubProcess;PARALLEL;
16;C;2018-08-17 13:38:20;2018-08-17 13:38:20;2018-08-17 13:43:07;WorkerC_#1;6;BatchSubProcess;PARALLEL;
16;F;2018-08-17 13:43:41;2018-08-17 13:43:41;2018-08-17 13:46:23;WorkerF_#0;;;;
16;G;2018-08-17 13:46:23;2018-08-17 13:46:23;2018-08-17 13:48:00;WorkerG_#1;;;;
16;H;2018-08-17 13:48:00;2018-08-17 13:48:00;2018-08-17 13:49:37;WorkerH_#1;;;;
17;A;2018-08-17 13:21:21;2018-08-17 13:21:21;2018-08-17 13:25:58;WorkerA_#0;;;;
17;B;2018-08-17 13:25:58;2018-08-17 13:25:58;2018-08-17 13:28:35;WorkerB_#0;;;;
17;Batch Activity;2018-08-17 13:28:35;2018-08-17 13:38:20;2018-08-17 13:43:41;;6;BatchSubProcess;PARALLEL;
17;D;2018-08-17 13:38:20;2018-08-17 13:38:20;2018-08-17 13:43:41;WorkerD_#1;6;BatchSubProcess;PARALLEL;
17;C;2018-08-17 13:38:20;2018-08-17 13:38:20;2018-08-17 13:43:07;WorkerC_#1;6;BatchSubProcess;PARALLEL;
17;F;2018-08-17 13:43:41;2018-08-17 13:43:41;2018-08-17 13:45:18;WorkerF_#1;;;;
17;G;2018-08-17 13:45:18;2018-08-17 13:45:18;2018-08-17 13:48:00;WorkerG_#0;;;;
17;H;2018-08-17 13:48:00;2018-08-17 13:48:00;2018-08-17 13:50:42;WorkerH_#0;;;;
18;A;2018-08-17 13:31:58;2018-08-17 13:31:58;2018-08-17 13:36:09;WorkerA_#1;;;;
18;B;2018-08-17 13:36:09;2018-08-17 13:36:09;2018-08-17 13:38:20;WorkerB_#1;;;;
18;Batch Activity;2018-08-17 13:38:20;2018-08-17 13:38:20;2018-08-17 13:43:41;;6;BatchSubProcess;PARALLEL;
18;D;2018-08-17 13:38:20;2018-08-17 13:38:20;2018-08-17 13:43:41;WorkerD_#1;6;BatchSubProcess;PARALLEL;
18;C;2018-08-17 13:38:20;2018-08-17 13:38:20;2018-08-17 13:43:07;WorkerC_#1;6;BatchSubProcess;PARALLEL;
18;F;2018-08-17 13:43:41;2018-08-17 13:45:18;2018-08-17 13:46:29;WorkerF_#1;;;;
18;G;2018-08-17 13:46:29;2018-08-17 13:48:00;2018-08-17 13:49:11;WorkerG_#0;;;;
18;H;2018-08-17 13:49:11;2018-08-17 13:49:37;2018-08-17 13:50:48;WorkerH_#1;;;;
19;A;2018-08-17 13:42:09;2018-08-17 13:42:09;2018-08-17 13:46:22;WorkerA_#0;;;;
19;B;2018-08-17 13:46:22;2018-08-17 13:46:22;2018-08-17 13:48:35;WorkerB_#0;;;;
19;Batch Activity;2018-08-17 13:48:35;2018-08-17 14:11:58;2018-08-17 14:16:06;;7;BatchSubProcess;PARALLEL;
19;D;2018-08-17 14:11:58;2018-08-17 14:11:58;2018-08-17 14:16:06;WorkerD_#0;7;BatchSubProcess;PARALLEL;
19;E;2018-08-17 14:11:58;2018-08-17 14:11:58;2018-08-17 14:14:02;WorkerE_#0;7;BatchSubProcess;PARALLEL;
19;F;2018-08-17 14:16:06;2018-08-17 14:16:06;2018-08-17 14:17:19;WorkerF_#0;;;;
19;G;2018-08-17 14:17:19;2018-08-17 14:17:19;2018-08-17 14:18:31;WorkerG_#0;;;;
19;H;2018-08-17 14:18:31;2018-08-17 14:18:31;2018-08-17 14:19:43;WorkerH_#1;;;;
20;A;2018-08-17 13:52:22;2018-08-17 13:52:22;2018-08-17 13:56:34;WorkerA_#1;;;;
