Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:34;WorkerA_#0;;;;
1;B;2018-08-17 10:30:34;2018-08-17 10:30:34;2018-08-17 10:34:07;WorkerB_#0;;;;
1;Batch Activity;2018-08-17 10:34:07;2018-08-17 10:55:15;2018-08-17 11:10:47;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
1;D;2018-08-17 10:55:15;2018-08-17 10:55:15;2018-08-17 11:00:48;WorkerD_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:55:15
1;C;2018-08-17 10:55:15;2018-08-17 10:55:15;2018-08-17 10:59:48;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:34:07
1;F;2018-08-17 11:10:47;2018-08-17 11:10:47;2018-08-17 11:13:20;WorkerF_#0;;;;
1;G;2018-08-17 11:13:20;2018-08-17 11:13:20;2018-08-17 11:15:37;WorkerG_#1;;;;
1;H;2018-08-17 11:15:37;2018-08-17 11:15:37;2018-08-17 11:17:54;WorkerH_#1;;;;
2;A;2018-08-17 10:36:34;2018-08-17 10:36:34;2018-08-17 10:41:51;WorkerA_#1;;;;
2;B;2018-08-17 10:41:51;2018-08-17 10:41:51;2018-08-17 10:45:08;WorkerB_#1;;;;
2;Batch Activity;2018-08-17 10:45:08;2018-08-17 10:55:15;2018-08-17 11:10:47;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
2;C;2018-08-17 10:59:48;2018-08-17 10:59:48;2018-08-17 11:04:05;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:45:08
2;D;2018-08-17 11:00:48;2018-08-17 11:00:48;2018-08-17 11:06:05;WorkerD_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:55:15
2;F;2018-08-17 11:10:47;2018-08-17 11:10:47;2018-08-17 11:13:04;WorkerF_#1;;;;
2;G;2018-08-17 11:13:04;2018-08-17 11:13:04;2018-08-17 11:15:37;WorkerG_#0;;;;
2;H;2018-08-17 11:15:37;2018-08-17 11:15:37;2018-08-17 11:18:10;WorkerH_#0;;;;
3;A;2018-08-17 10:47:51;2018-08-17 10:47:51;2018-08-17 10:52:33;WorkerA_#0;;;;
3;B;2018-08-17 10:52:33;2018-08-17 10:52:33;2018-08-17 10:55:15;WorkerB_#0;;;;
