"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:30:41";"WorkerA_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:30:40";"2018-08-17 10:52:33";"2018-08-17 11:17:40";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
1;"B";"2018-08-17 10:52:33";"2018-08-17 10:52:33";"2018-08-17 10:56:14";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:30:40"
1;"D";"2018-08-17 11:02:06";"2018-08-17 11:02:06";"2018-08-17 11:07:47";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:06"
1;"E";"2018-08-17 11:02:06";"2018-08-17 11:02:06";"2018-08-17 11:04:47";"WorkerE_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:06"
1;"F";"2018-08-17 11:17:40";"2018-08-17 11:17:40";"2018-08-17 11:20:20";"WorkerF_#0";NA;"";"";""
1;"G";"2018-08-17 11:20:20";"2018-08-17 11:20:20";"2018-08-17 11:22:29";"WorkerG_#1";NA;"";"";""
1;"H";"2018-08-17 11:22:29";"2018-08-17 11:22:29";"2018-08-17 11:24:38";"WorkerH_#1";NA;"";"";""
2;"A";"2018-08-17 10:36:41";"2018-08-17 10:36:41";"2018-08-17 10:41:50";"WorkerA_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:41:49";"2018-08-17 10:52:33";"2018-08-17 11:17:40";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
2;"B";"2018-08-17 10:56:13";"2018-08-17 10:56:13";"2018-08-17 10:59:23";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:41:49"
2;"E";"2018-08-17 11:04:46";"2018-08-17 11:04:46";"2018-08-17 11:06:56";"WorkerE_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:06"
2;"D";"2018-08-17 11:07:46";"2018-08-17 11:07:46";"2018-08-17 11:12:56";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:06"
2;"F";"2018-08-17 11:17:40";"2018-08-17 11:17:40";"2018-08-17 11:19:49";"WorkerF_#1";NA;"";"";""
2;"G";"2018-08-17 11:19:49";"2018-08-17 11:19:49";"2018-08-17 11:22:29";"WorkerG_#0";NA;"";"";""
2;"H";"2018-08-17 11:22:29";"2018-08-17 11:22:29";"2018-08-17 11:25:09";"WorkerH_#0";NA;"";"";""
3;"A";"2018-08-17 10:47:50";"2018-08-17 10:47:50";"2018-08-17 10:52:34";"WorkerA_#0";NA;"";"";""
3;"Batch Activity";"2018-08-17 10:52:33";"2018-08-17 10:52:33";"2018-08-17 11:17:40";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
3;"B";"2018-08-17 10:59:22";"2018-08-17 10:59:22";"2018-08-17 11:02:07";"WorkerB_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:52:33"
3;"E";"2018-08-17 11:06:55";"2018-08-17 11:06:55";"2018-08-17 11:08:40";"WorkerE_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:06"
3;"D";"2018-08-17 11:12:55";"2018-08-17 11:12:55";"2018-08-17 11:17:40";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 11:02:06"
3;"F";"2018-08-17 11:17:40";"2018-08-17 11:19:49";"2018-08-17 11:21:33";"WorkerF_#1";NA;"";"";""
3;"G";"2018-08-17 11:21:33";"2018-08-17 11:22:29";"2018-08-17 11:24:13";"WorkerG_#0";NA;"";"";""
