Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:29:08;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:29:08;2018-08-17 10:53:02;2018-08-17 11:00:30;;1;BatchSubProcess;PARALLEL;
1;B;2018-08-17 10:53:02;2018-08-17 10:53:02;2018-08-17 10:55:09;WorkerB_#0;1;BatchSubProcess;PARALLEL;
1;C;2018-08-17 10:55:09;2018-08-17 10:55:09;2018-08-17 10:58:16;WorkerC_#0;1;BatchSubProcess;PARALLEL;
1;D;2018-08-17 10:58:16;2018-08-17 10:58:16;2018-08-17 10:59:23;WorkerD_#0;1;BatchSubProcess;PARALLEL;
1;E;2018-08-17 10:59:23;2018-08-17 10:59:23;2018-08-17 11:00:30;WorkerE_#0;1;BatchSubProcess;PARALLEL;
1;F;2018-08-17 11:00:30;2018-08-17 11:00:30;2018-08-17 11:01:37;WorkerF_#0;;;;
1;G;2018-08-17 11:01:37;2018-08-17 11:01:37;2018-08-17 11:02:44;WorkerG_#0;;;;
1;H;2018-08-17 11:02:44;2018-08-17 11:02:44;2018-08-17 11:03:51;WorkerH_#0;;;;
2;A;2018-08-17 10:35:08;2018-08-17 10:35:08;2018-08-17 10:41:04;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:41:04;2018-08-17 10:53:02;2018-08-17 11:00:30;;1;BatchSubProcess;PARALLEL;
2;B;2018-08-17 10:53:02;2018-08-17 10:53:02;2018-08-17 10:55:09;WorkerB_#0;1;BatchSubProcess;PARALLEL;
2;C;2018-08-17 10:55:09;2018-08-17 10:55:09;2018-08-17 10:58:16;WorkerC_#0;1;BatchSubProcess;PARALLEL;
2;D;2018-08-17 10:58:16;2018-08-17 10:58:16;2018-08-17 10:59:23;WorkerD_#0;1;BatchSubProcess;PARALLEL;
2;E;2018-08-17 10:59:23;2018-08-17 10:59:23;2018-08-17 11:00:30;WorkerE_#0;1;BatchSubProcess;PARALLEL;
2;F;2018-08-17 11:00:30;2018-08-17 11:00:30;2018-08-17 11:03:26;WorkerF_#1;;;;
2;G;2018-08-17 11:03:26;2018-08-17 11:03:26;2018-08-17 11:06:22;WorkerG_#1;;;;
2;H;2018-08-17 11:06:22;2018-08-17 11:06:22;2018-08-17 11:09:18;WorkerH_#1;;;;
3;A;2018-08-17 10:47:04;2018-08-17 10:47:04;2018-08-17 10:53:02;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:53:02;2018-08-17 10:53:02;2018-08-17 11:00:30;;1;BatchSubProcess;PARALLEL;
3;B;2018-08-17 10:53:02;2018-08-17 10:53:02;2018-08-17 10:55:09;WorkerB_#0;1;BatchSubProcess;PARALLEL;
3;C;2018-08-17 10:55:09;2018-08-17 10:55:09;2018-08-17 10:58:16;WorkerC_#0;1;BatchSubProcess;PARALLEL;
3;D;2018-08-17 10:58:16;2018-08-17 10:58:16;2018-08-17 10:59:23;WorkerD_#0;1;BatchSubProcess;PARALLEL;
3;E;2018-08-17 10:59:23;2018-08-17 10:59:23;2018-08-17 11:00:30;WorkerE_#0;1;BatchSubProcess;PARALLEL;
3;F;2018-08-17 11:00:30;2018-08-17 11:01:37;2018-08-17 11:04:35;WorkerF_#0;;;;
3;G;2018-08-17 11:04:35;2018-08-17 11:04:35;2018-08-17 11:07:33;WorkerG_#0;;;;
3;H;2018-08-17 11:07:33;2018-08-17 11:07:33;2018-08-17 11:10:31;WorkerH_#0;;;;
4;A;2018-08-17 10:59:02;2018-08-17 10:59:02;2018-08-17 11:04:00;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:04:00;2018-08-17 11:26:32;2018-08-17 11:41:16;;2;BatchSubProcess;PARALLEL;
4;B;2018-08-17 11:26:32;2018-08-17 11:26:32;2018-08-17 11:30:28;WorkerB_#1;2;BatchSubProcess;PARALLEL;
4;C;2018-08-17 11:30:28;2018-08-17 11:30:28;2018-08-17 11:35:24;WorkerC_#1;2;BatchSubProcess;PARALLEL;
4;D;2018-08-17 11:35:24;2018-08-17 11:35:24;2018-08-17 11:38:20;WorkerD_#1;2;BatchSubProcess;PARALLEL;
4;E;2018-08-17 11:38:20;2018-08-17 11:38:20;2018-08-17 11:41:16;WorkerE_#1;2;BatchSubProcess;PARALLEL;
4;F;2018-08-17 11:41:16;2018-08-17 11:41:16;2018-08-17 11:43:14;WorkerF_#1;;;;
4;G;2018-08-17 11:43:14;2018-08-17 11:43:14;2018-08-17 11:45:12;WorkerG_#1;;;;
4;H;2018-08-17 11:45:12;2018-08-17 11:45:12;2018-08-17 11:47:10;WorkerH_#1;;;;
5;A;2018-08-17 11:10:00;2018-08-17 11:10:00;2018-08-17 11:15:53;WorkerA_#0;;;;
5;Batch Activity;2018-08-17 11:15:53;2018-08-17 11:26:32;2018-08-17 11:41:16;;2;BatchSubProcess;PARALLEL;
5;B;2018-08-17 11:26:32;2018-08-17 11:26:32;2018-08-17 11:30:28;WorkerB_#1;2;BatchSubProcess;PARALLEL;
5;C;2018-08-17 11:30:28;2018-08-17 11:30:28;2018-08-17 11:35:24;WorkerC_#1;2;BatchSubProcess;PARALLEL;
5;D;2018-08-17 11:35:24;2018-08-17 11:35:24;2018-08-17 11:38:20;WorkerD_#1;2;BatchSubProcess;PARALLEL;
5;E;2018-08-17 11:38:20;2018-08-17 11:38:20;2018-08-17 11:41:16;WorkerE_#1;2;BatchSubProcess;PARALLEL;
5;F;2018-08-17 11:41:16;2018-08-17 11:41:16;2018-08-17 11:44:09;WorkerF_#0;;;;
5;G;2018-08-17 11:44:09;2018-08-17 11:44:09;2018-08-17 11:47:02;WorkerG_#0;;;;
5;H;2018-08-17 11:47:02;2018-08-17 11:47:10;2018-08-17 11:48:49;WorkerH_#1;;;;
6;A;2018-08-17 11:21:53;2018-08-17 11:21:53;2018-08-17 11:26:32;WorkerA_#1;;;;
6;Batch Activity;2018-08-17 11:26:32;2018-08-17 11:26:32;2018-08-17 11:41:16;;2;BatchSubProcess;PARALLEL;
6;B;2018-08-17 11:26:32;2018-08-17 11:26:32;2018-08-17 11:30:28;WorkerB_#1;2;BatchSubProcess;PARALLEL;
6;C;2018-08-17 11:30:28;2018-08-17 11:30:28;2018-08-17 11:35:24;WorkerC_#1;2;BatchSubProcess;PARALLEL;
6;D;2018-08-17 11:35:24;2018-08-17 11:35:24;2018-08-17 11:38:20;WorkerD_#1;2;BatchSubProcess;PARALLEL;
6;E;2018-08-17 11:38:20;2018-08-17 11:38:20;2018-08-17 11:41:16;WorkerE_#1;2;BatchSubProcess;PARALLEL;
6;F;2018-08-17 11:41:16;2018-08-17 11:43:14;2018-08-17 11:44:53;WorkerF_#1;;;;
6;G;2018-08-17 11:44:53;2018-08-17 11:45:12;2018-08-17 11:46:51;WorkerG_#1;;;;
6;H;2018-08-17 11:46:51;2018-08-17 11:46:51;2018-08-17 11:49:44;WorkerH_#0;;;;
7;A;2018-08-17 11:32:32;2018-08-17 11:32:32;2018-08-17 11:38:00;WorkerA_#0;;;;
7;Batch Activity;2018-08-17 11:38:00;2018-08-17 12:00:06;2018-08-17 12:14:58;;3;BatchSubProcess;PARALLEL;
7;B;2018-08-17 12:00:06;2018-08-17 12:00:06;2018-08-17 12:04:04;WorkerB_#0;3;BatchSubProcess;PARALLEL;
7;C;2018-08-17 12:04:04;2018-08-17 12:04:04;2018-08-17 12:09:02;WorkerC_#0;3;BatchSubProcess;PARALLEL;
