Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:41;WorkerA_#0;;;;
1;Batch Activity;2018-08-17 10:30:41;2018-08-17 10:52:39;2018-08-17 11:14:55;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
1;B;2018-08-17 10:52:39;2018-08-17 10:52:39;2018-08-17 10:56:19;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:30:41
1;C;2018-08-17 11:02:17;2018-08-17 11:02:17;2018-08-17 11:06:57;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:02:17
1;D;2018-08-17 11:14:55;2018-08-17 11:14:55;2018-08-17 11:17:35;WorkerD_#0;;;;
1;E;2018-08-17 11:17:35;2018-08-17 11:17:35;2018-08-17 11:20:02;WorkerE_#1;;;;
1;F;2018-08-17 11:20:02;2018-08-17 11:20:02;2018-08-17 11:22:29;WorkerF_#1;;;;
1;G;2018-08-17 11:22:29;2018-08-17 11:22:29;2018-08-17 11:25:09;WorkerG_#0;;;;
1;H;2018-08-17 11:25:09;2018-08-17 11:25:09;2018-08-17 11:27:49;WorkerH_#0;;;;
2;A;2018-08-17 10:36:41;2018-08-17 10:36:41;2018-08-17 10:42:08;WorkerA_#1;;;;
2;Batch Activity;2018-08-17 10:42:08;2018-08-17 10:52:39;2018-08-17 11:14:55;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
2;B;2018-08-17 10:56:19;2018-08-17 10:56:19;2018-08-17 10:59:46;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:42:08
2;C;2018-08-17 11:06:57;2018-08-17 11:06:57;2018-08-17 11:11:24;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:02:17
2;D;2018-08-17 11:14:55;2018-08-17 11:14:55;2018-08-17 11:17:22;WorkerD_#1;;;;
2;E;2018-08-17 11:17:22;2018-08-17 11:17:22;2018-08-17 11:20:02;WorkerE_#0;;;;
2;F;2018-08-17 11:20:02;2018-08-17 11:20:02;2018-08-17 11:22:42;WorkerF_#0;;;;
2;G;2018-08-17 11:22:42;2018-08-17 11:22:42;2018-08-17 11:25:09;WorkerG_#1;;;;
2;H;2018-08-17 11:25:09;2018-08-17 11:25:09;2018-08-17 11:27:36;WorkerH_#1;;;;
3;A;2018-08-17 10:48:08;2018-08-17 10:48:08;2018-08-17 10:52:39;WorkerA_#0;;;;
3;Batch Activity;2018-08-17 10:52:39;2018-08-17 10:52:39;2018-08-17 11:14:55;;1;BatchSubProcess;SEQUENTIAL_TASKBASED;
3;B;2018-08-17 10:59:46;2018-08-17 10:59:46;2018-08-17 11:02:17;WorkerB_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 10:52:39
3;C;2018-08-17 11:11:24;2018-08-17 11:11:24;2018-08-17 11:14:55;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_TASKBASED;2018-08-17 11:02:17
3;D;2018-08-17 11:14:55;2018-08-17 11:17:22;2018-08-17 11:18:53;WorkerD_#1;;;;
3;E;2018-08-17 11:18:53;2018-08-17 11:20:02;2018-08-17 11:21:33;WorkerE_#0;;;;
3;F;2018-08-17 11:21:33;2018-08-17 11:22:29;2018-08-17 11:24:00;WorkerF_#1;;;;
3;G;2018-08-17 11:24:00;2018-08-17 11:25:09;2018-08-17 11:26:40;WorkerG_#0;;;;
3;H;2018-08-17 11:26:40;2018-08-17 11:27:36;2018-08-17 11:29:07;WorkerH_#1;;;;
4;A;2018-08-17 10:58:39;2018-08-17 10:58:39;2018-08-17 11:04:09;WorkerA_#1;;;;
4;Batch Activity;2018-08-17 11:04:09;2018-08-17 11:25:38;2018-08-17 11:46:36;;2;BatchSubProcess;SEQUENTIAL_TASKBASED;
