"Process.Instance";"Activity.Name";"Arrival";"Start";"Complete";"Resources";"Batch.Number";"Cluster.Id";"Batch.Type";"Natural.Arrival.Time"
1;"A";"2018-08-17 10:25:01";"2018-08-17 10:25:01";"2018-08-17 10:29:48";"WorkerA_#0";NA;"";"";""
1;"B";"2018-08-17 10:29:48";"2018-08-17 10:29:48";"2018-08-17 10:32:35";"WorkerB_#0";NA;"";"";""
1;"Batch Activity";"2018-08-17 10:32:34";"2018-08-17 10:56:13";"2018-08-17 11:11:37";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
1;"D";"2018-08-17 10:56:13";"2018-08-17 10:56:13";"2018-08-17 11:01:01";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:32:34"
1;"E";"2018-08-17 11:11:37";"2018-08-17 11:11:37";"2018-08-17 11:13:24";"WorkerE_#0";NA;"";"";""
1;"F";"2018-08-17 11:13:24";"2018-08-17 11:13:24";"2018-08-17 11:15:10";"WorkerF_#1";NA;"";"";""
1;"G";"2018-08-17 11:15:10";"2018-08-17 11:15:10";"2018-08-17 11:16:56";"WorkerG_#1";NA;"";"";""
1;"H";"2018-08-17 11:16:56";"2018-08-17 11:16:56";"2018-08-17 11:18:43";"WorkerH_#0";NA;"";"";""
2;"A";"2018-08-17 10:35:48";"2018-08-17 10:35:48";"2018-08-17 10:40:34";"WorkerA_#1";NA;"";"";""
2;"B";"2018-08-17 10:40:34";"2018-08-17 10:40:34";"2018-08-17 10:43:20";"WorkerB_#1";NA;"";"";""
2;"Batch Activity";"2018-08-17 10:43:19";"2018-08-17 10:56:13";"2018-08-17 11:11:37";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
2;"D";"2018-08-17 11:01:00";"2018-08-17 11:01:00";"2018-08-17 11:05:47";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:43:19"
2;"E";"2018-08-17 11:11:37";"2018-08-17 11:11:37";"2018-08-17 11:13:23";"WorkerE_#1";NA;"";"";""
2;"F";"2018-08-17 11:13:23";"2018-08-17 11:13:23";"2018-08-17 11:15:10";"WorkerF_#0";NA;"";"";""
2;"G";"2018-08-17 11:15:10";"2018-08-17 11:15:10";"2018-08-17 11:16:57";"WorkerG_#0";NA;"";"";""
2;"H";"2018-08-17 11:16:57";"2018-08-17 11:16:57";"2018-08-17 11:18:43";"WorkerH_#1";NA;"";"";""
3;"A";"2018-08-17 10:46:34";"2018-08-17 10:46:34";"2018-08-17 10:52:24";"WorkerA_#0";NA;"";"";""
3;"B";"2018-08-17 10:52:24";"2018-08-17 10:52:24";"2018-08-17 10:56:14";"WorkerB_#0";NA;"";"";""
3;"Batch Activity";"2018-08-17 10:56:13";"2018-08-17 10:56:13";"2018-08-17 11:11:37";"";1;"BatchSubProcess";"CONCURRENT_TASKBASED";""
3;"D";"2018-08-17 11:05:46";"2018-08-17 11:05:46";"2018-08-17 11:11:37";"WorkerD_#0";1;"BatchSubProcess";"CONCURRENT_TASKBASED";"2018-08-17 10:56:13"
