Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:30:56;WorkerA_#0;;;;
1;B;2018-08-17 10:30:56;2018-08-17 10:30:56;2018-08-17 10:34:51;WorkerB_#0;;;;
1;Batch Activity;2018-08-17 10:34:51;2018-08-17 10:57:39;2018-08-17 11:02:34;;1;BatchSubProcess;PARALLEL;
1;C;2018-08-17 10:57:39;2018-08-17 10:57:39;2018-08-17 11:02:34;WorkerC_#0;1;BatchSubProcess;PARALLEL;
1;E;2018-08-17 11:02:34;2018-08-17 11:02:34;2018-08-17 11:05:29;WorkerE_#0;;;;
1;F;2018-08-17 11:05:29;2018-08-17 11:05:29;2018-08-17 11:07:20;WorkerF_#1;;;;
1;G;2018-08-17 11:07:20;2018-08-17 11:07:20;2018-08-17 11:09:11;WorkerG_#1;;;;
1;H;2018-08-17 11:09:11;2018-08-17 11:09:11;2018-08-17 11:12:06;WorkerH_#0;;;;
2;A;2018-08-17 10:36:56;2018-08-17 10:36:56;2018-08-17 10:41:47;WorkerA_#1;;;;
2;B;2018-08-17 10:41:47;2018-08-17 10:41:47;2018-08-17 10:44:38;WorkerB_#1;;;;
2;Batch Activity;2018-08-17 10:44:38;2018-08-17 10:57:39;2018-08-17 11:02:34;;1;BatchSubProcess;PARALLEL;
2;C;2018-08-17 10:57:39;2018-08-17 10:57:39;2018-08-17 11:02:34;WorkerC_#0;1;BatchSubProcess;PARALLEL;
2;E;2018-08-17 11:02:34;2018-08-17 11:02:34;2018-08-17 11:04:25;WorkerE_#1;;;;
2;F;2018-08-17 11:04:25;2018-08-17 11:04:25;2018-08-17 11:07:20;WorkerF_#0;;;;
2;G;2018-08-17 11:07:20;2018-08-17 11:07:20;2018-08-17 11:10:15;WorkerG_#0;;;;
2;H;2018-08-17 11:10:15;2018-08-17 11:10:15;2018-08-17 11:12:06;WorkerH_#1;;;;
3;A;2018-08-17 10:47:47;2018-08-17 10:47:47;2018-08-17 10:53:43;WorkerA_#0;;;;
3;B;2018-08-17 10:53:43;2018-08-17 10:53:43;2018-08-17 10:57:39;WorkerB_#0;;;;
3;Batch Activity;2018-08-17 10:57:39;2018-08-17 10:57:39;2018-08-17 11:02:34;;1;BatchSubProcess;PARALLEL;
3;C;2018-08-17 10:57:39;2018-08-17 10:57:39;2018-08-17 11:02:34;WorkerC_#0;1;BatchSubProcess;PARALLEL;
3;E;2018-08-17 11:02:34;2018-08-17 11:04:25;2018-08-17 11:07:21;WorkerE_#1;;;;
3;F;2018-08-17 11:07:21;2018-08-17 11:07:21;2018-08-17 11:10:17;WorkerF_#0;;;;
3;G;2018-08-17 11:10:17;2018-08-17 11:10:17;2018-08-17 11:13:13;WorkerG_#1;;;;
3;H;2018-08-17 11:13:13;2018-08-17 11:13:13;2018-08-17 11:16:09;WorkerH_#0;;;;
4;A;2018-08-17 10:59:43;2018-08-17 10:59:43;2018-08-17 11:03:59;WorkerA_#1;;;;
4;B;2018-08-17 11:03:59;2018-08-17 11:03:59;2018-08-17 11:06:15;WorkerB_#1;;;;
4;Batch Activity;2018-08-17 11:06:15;2018-08-17 11:27:30;2018-08-17 11:33:25;;2;BatchSubProcess;PARALLEL;
4;D;2018-08-17 11:27:30;2018-08-17 11:27:30;2018-08-17 11:33:25;WorkerD_#0;2;BatchSubProcess;PARALLEL;
4;E;2018-08-17 11:33:25;2018-08-17 11:33:25;2018-08-17 11:34:41;WorkerE_#0;;;;
4;F;2018-08-17 11:34:41;2018-08-17 11:34:41;2018-08-17 11:35:44;WorkerF_#0;;;;
4;G;2018-08-17 11:35:44;2018-08-17 11:35:44;2018-08-17 11:36:47;WorkerG_#1;;;;
4;H;2018-08-17 11:36:47;2018-08-17 11:36:47;2018-08-17 11:38:03;WorkerH_#1;;;;
5;A;2018-08-17 11:09:59;2018-08-17 11:09:59;2018-08-17 11:14:02;WorkerA_#0;;;;
5;B;2018-08-17 11:14:02;2018-08-17 11:14:02;2018-08-17 11:16:05;WorkerB_#0;;;;
5;Batch Activity;2018-08-17 11:16:05;2018-08-17 11:27:30;2018-08-17 11:33:25;;2;BatchSubProcess;PARALLEL;
5;D;2018-08-17 11:27:30;2018-08-17 11:27:30;2018-08-17 11:33:25;WorkerD_#0;2;BatchSubProcess;PARALLEL;
5;E;2018-08-17 11:33:25;2018-08-17 11:33:25;2018-08-17 11:34:28;WorkerE_#1;;;;
5;F;2018-08-17 11:34:28;2018-08-17 11:34:28;2018-08-17 11:35:44;WorkerF_#1;;;;
5;G;2018-08-17 11:35:44;2018-08-17 11:35:44;2018-08-17 11:37:00;WorkerG_#0;;;;
5;H;2018-08-17 11:37:00;2018-08-17 11:37:00;2018-08-17 11:38:03;WorkerH_#0;;;;
6;A;2018-08-17 11:20:02;2018-08-17 11:20:02;2018-08-17 11:24:46;WorkerA_#1;;;;
6;B;2018-08-17 11:24:46;2018-08-17 11:24:46;2018-08-17 11:27:30;WorkerB_#1;;;;
6;Batch Activity;2018-08-17 11:27:30;2018-08-17 11:27:30;2018-08-17 11:33:25;;2;BatchSubProcess;PARALLEL;
6;D;2018-08-17 11:27:30;2018-08-17 11:27:30;2018-08-17 11:33:25;WorkerD_#0;2;BatchSubProcess;PARALLEL;
6;E;2018-08-17 11:33:25;2018-08-17 11:34:28;2018-08-17 11:36:12;WorkerE_#1;;;;
6;F;2018-08-17 11:36:12;2018-08-17 11:36:12;2018-08-17 11:37:56;WorkerF_#1;;;;
6;G;2018-08-17 11:37:56;2018-08-17 11:37:56;2018-08-17 11:39:40;WorkerG_#1;;;;
6;H;2018-08-17 11:39:40;2018-08-17 11:39:40;2018-08-17 11:41:24;WorkerH_#1;;;;
7;A;2018-08-17 11:30:46;2018-08-17 11:30:46;2018-08-17 11:35:24;WorkerA_#0;;;;
7;B;2018-08-17 11:35:24;2018-08-17 11:35:24;2018-08-17 11:38:02;WorkerB_#0;;;;
7;Batch Activity;2018-08-17 11:38:02;2018-08-17 12:00:28;2018-08-17 12:04:19;;3;BatchSubProcess;PARALLEL;
7;C;2018-08-17 12:00:28;2018-08-17 12:00:28;2018-08-17 12:04:19;WorkerC_#1;3;BatchSubProcess;PARALLEL;
7;E;2018-08-17 12:04:19;2018-08-17 12:04:19;2018-08-17 12:05:57;WorkerE_#0;;;;
7;F;2018-08-17 12:05:57;2018-08-17 12:05:57;2018-08-17 12:07:35;WorkerF_#0;;;;
7;G;2018-08-17 12:07:35;2018-08-17 12:07:35;2018-08-17 12:09:13;WorkerG_#0;;;;
7;H;2018-08-17 12:09:13;2018-08-17 12:09:13;2018-08-17 12:10:51;WorkerH_#0;;;;
8;A;2018-08-17 11:41:24;2018-08-17 11:41:24;2018-08-17 11:46:52;WorkerA_#1;;;;
8;B;2018-08-17 11:46:52;2018-08-17 11:46:52;2018-08-17 11:50:20;WorkerB_#1;;;;
8;Batch Activity;2018-08-17 11:50:20;2018-08-17 12:00:28;2018-08-17 12:04:19;;3;BatchSubProcess;PARALLEL;
8;C;2018-08-17 12:00:28;2018-08-17 12:00:28;2018-08-17 12:04:19;WorkerC_#1;3;BatchSubProcess;PARALLEL;
8;E;2018-08-17 12:04:19;2018-08-17 12:04:19;2018-08-17 12:06:47;WorkerE_#1;;;;
8;F;2018-08-17 12:06:47;2018-08-17 12:06:47;2018-08-17 12:09:15;WorkerF_#1;;;;
8;G;2018-08-17 12:09:15;2018-08-17 12:09:15;2018-08-17 12:11:43;WorkerG_#1;;;;
8;H;2018-08-17 12:11:43;2018-08-17 12:11:43;2018-08-17 12:13:31;WorkerH_#0;;;;
9;A;2018-08-17 11:52:52;2018-08-17 11:52:52;2018-08-17 11:57:40;WorkerA_#0;;;;
9;B;2018-08-17 11:57:40;2018-08-17 11:57:40;2018-08-17 12:00:28;WorkerB_#0;;;;
9;Batch Activity;2018-08-17 12:00:28;2018-08-17 12:00:28;2018-08-17 12:04:19;;3;BatchSubProcess;PARALLEL;
9;C;2018-08-17 12:00:28;2018-08-17 12:00:28;2018-08-17 12:04:19;WorkerC_#1;3;BatchSubProcess;PARALLEL;
9;E;2018-08-17 12:04:19;2018-08-17 12:05:57;2018-08-17 12:07:45;WorkerE_#0;;;;
