Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;A;2018-08-17 10:25:01;2018-08-17 10:25:01;2018-08-17 10:29:12;WorkerA_#0;;;;
1;B;2018-08-17 10:29:12;2018-08-17 10:29:12;2018-08-17 10:31:23;WorkerB_#0;;;;
1;Batch Activity;2018-08-17 10:31:23;2018-08-17 10:54:47;2018-08-17 11:09:09;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
1;D;2018-08-17 10:54:47;2018-08-17 10:54:47;2018-08-17 10:58:58;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:31:23
1;E;2018-08-17 11:09:09;2018-08-17 11:09:09;2018-08-17 11:10:20;WorkerE_#0;;;;
1;F;2018-08-17 11:10:20;2018-08-17 11:10:20;2018-08-17 11:11:31;WorkerF_#0;;;;
1;G;2018-08-17 11:11:31;2018-08-17 11:11:31;2018-08-17 11:12:42;WorkerG_#0;;;;
1;H;2018-08-17 11:12:42;2018-08-17 11:12:42;2018-08-17 11:13:53;WorkerH_#0;;;;
2;A;2018-08-17 10:35:12;2018-08-17 10:35:12;2018-08-17 10:39:59;WorkerA_#1;;;;
2;B;2018-08-17 10:39:59;2018-08-17 10:39:59;2018-08-17 10:42:46;WorkerB_#1;;;;
2;Batch Activity;2018-08-17 10:42:46;2018-08-17 10:54:47;2018-08-17 11:09:09;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
2;D;2018-08-17 10:58:58;2018-08-17 10:58:58;2018-08-17 11:03:45;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:42:46
2;E;2018-08-17 11:09:09;2018-08-17 11:09:09;2018-08-17 11:10:56;WorkerE_#1;;;;
2;F;2018-08-17 11:10:56;2018-08-17 11:10:56;2018-08-17 11:12:43;WorkerF_#1;;;;
2;G;2018-08-17 11:12:43;2018-08-17 11:12:43;2018-08-17 11:14:30;WorkerG_#1;;;;
2;H;2018-08-17 11:14:30;2018-08-17 11:14:30;2018-08-17 11:16:17;WorkerH_#1;;;;
3;A;2018-08-17 10:45:59;2018-08-17 10:45:59;2018-08-17 10:51:23;WorkerA_#0;;;;
3;B;2018-08-17 10:51:23;2018-08-17 10:51:23;2018-08-17 10:54:47;WorkerB_#0;;;;
3;Batch Activity;2018-08-17 10:54:47;2018-08-17 10:54:47;2018-08-17 11:09:09;;1;BatchSubProcess;SEQUENTIAL_CASEBASED;
3;D;2018-08-17 11:03:45;2018-08-17 11:03:45;2018-08-17 11:09:09;WorkerC_#0;1;BatchSubProcess;SEQUENTIAL_CASEBASED;2018-08-17 10:54:47
